date,hardware
2010-11-29 17:21:55,64-bit atom system
2011-01-21 18:36:10,gt330m
2011-01-21 18:36:10,gtx 460
2011-01-21 18:36:10,8800gtx
2011-01-21 18:36:10,macbook pro
2011-02-19 07:33:30,6 gb of ram
2011-02-19 07:33:30,2x nvidia 1gb gtx 460s
2011-02-19 07:33:30,core i7-950
2011-02-27 21:32:08,6-year old windows desktop
2011-02-27 21:32:08,laptop
2011-02-27 21:32:08,linux box
2011-02-27 21:32:08,5870
2011-02-27 21:32:08,n900 phone
2011-02-27 23:28:10,core 2 duo processor
2011-02-27 23:28:10,intel core2duo e6600
2011-02-27 23:28:10,geforce 7950gt
2011-02-27 23:28:10,cpu miner
2011-02-27 23:28:10,puddinpop's cpu miner
2011-02-28 06:32:35,core 2 duo e8400
2011-02-28 06:32:35,intel core duo 2.28
2011-02-28 06:32:35,ati mobility 3400
2011-02-28 16:33:47,zotac nm10 board
2011-02-28 16:33:47,hd5770
2011-02-28 16:33:47,hd5570
2011-03-01 13:33:58,6870
2011-03-01 13:33:58,1.5gh/s
2011-03-01 15:36:24,pci-e x16 riser card
2011-03-01 15:36:24,nvidia driver
2011-03-01 15:36:24,monitor
2011-03-01 16:55:06,comp
2011-03-01 16:55:06,machine
2011-03-01 17:03:07,9400gt
2011-03-01 17:03:07,80gb hard disk
2011-03-01 17:03:07,500gb hard disk
2011-03-01 17:03:07,4 gb ram
2011-03-01 17:03:07,sapphire hd6870 1gb
2011-03-01 17:03:07,quad core
2011-03-01 17:04:17,ati graphics cards
2011-03-01 17:04:17,computer systems
2011-03-01 17:04:17,gpu card
2011-03-01 17:04:17,lan gaming computers
2011-03-01 17:06:50,ufasoft's miner
2011-03-01 17:06:50,cpu
2011-03-01 17:06:50,gpu
2011-03-01 17:06:50,mobile intel945 express chipset family
2011-03-01 17:06:50,i945gme
2011-03-01 17:06:50,directx support: 9.0
2011-03-02 03:06:15,motherboard with pci-e x1 slots
2011-03-02 03:06:15,4850
2011-03-02 15:14:01,macmini
2011-03-02 15:14:01,diablo
2011-03-02 16:31:40,apple computer
2011-03-02 16:31:40,geforce 320m
2011-03-02 16:31:40,intel(r) core(tm)2 duo cpu l9400 @ 1.86ghz
2011-03-02 16:31:40,macbook air
2011-03-02 16:31:40,"2010 13""mbp"
2011-03-02 16:31:40,2.4 c2d
2011-03-02 16:31:40,320mi
2011-03-03 03:23:34,2gb jump drive
2011-03-03 06:41:50,gaming gpu
2011-03-03 12:24:02,hd6950 1gb
2011-03-03 12:24:02,hd4830
2011-03-03 12:24:02,6870s
2011-03-03 12:24:02,6950 2gb
2011-03-03 16:27:32,pc
2011-03-04 04:19:32,windows xp
