date,hardware_name,TH/J,max_efficiency,year
2011-02-19 07:33:30,gtx460,4.27e-07,3.78e-06,2011
2011-02-27 21:32:08,5870,1.906e-06,3.78e-06,2011
2011-03-01 13:33:58,6870,1.7264e-06,3.78e-06,2011
2011-03-01 13:33:58,5870,1.906e-06,3.78e-06,2011
2011-03-01 17:03:07,9400gt,6.7e-08,3.78e-06,2011
2011-03-02 03:06:15,4850,7.956e-07,3.78e-06,2011
2011-03-02 03:06:15,4850,7.956e-07,3.78e-06,2011
2011-03-03 12:24:02,6950,1.9399e-06,3.78e-06,2011
2011-03-04 22:50:54,5870,1.906e-06,3.78e-06,2011
2011-03-06 07:38:51,5870,1.906e-06,3.78e-06,2011
2011-03-06 07:38:51,5850,1.8195e-06,3.78e-06,2011
2011-03-06 14:10:34,5970,2.0053e-06,3.78e-06,2011
2011-03-08 03:58:44,6950,1.9399e-06,3.78e-06,2011
2011-03-08 03:58:44,6870,1.7264e-06,3.78e-06,2011
2011-03-08 03:58:44,8800gts,1.09e-07,3.78e-06,2011
2011-04-15 04:20:09,5970,2.0053e-06,3.78e-06,2011
2011-04-15 04:20:09,6950,1.9399e-06,3.78e-06,2011
2011-04-15 18:14:30,5870,1.906e-06,3.78e-06,2011
2011-04-17 14:41:46,6990,1.9056e-06,3.78e-06,2011
2011-04-17 14:41:46,5970,2.0053e-06,3.78e-06,2011
2011-04-17 14:41:46,5850,1.8195e-06,3.78e-06,2011
2011-04-17 14:41:46,5770,1.9401e-06,3.78e-06,2011
2011-04-18 00:56:02,8800gt,2.672e-07,3.78e-06,2011
2011-04-18 00:56:02,320m,3.5e-07,3.78e-06,2011
2011-04-18 03:43:25,8800gt,2.672e-07,3.78e-06,2011
2011-04-18 04:48:57,5870,1.906e-06,3.78e-06,2011
2011-04-18 14:53:13,5970,2.0053e-06,3.78e-06,2011
2011-04-18 14:53:13,5870,1.906e-06,3.78e-06,2011
2011-04-18 14:53:13,5770,1.9401e-06,3.78e-06,2011
2011-04-19 18:00:06,5770,1.9401e-06,3.78e-06,2011
2011-04-19 18:00:06,5570,1.7496e-06,3.78e-06,2011
2011-04-19 18:00:06,6990,1.9056e-06,3.78e-06,2011
2011-04-20 03:32:21,5970,2.0053e-06,3.78e-06,2011
2011-04-20 03:32:21,5870,1.906e-06,3.78e-06,2011
2011-04-21 02:52:03,5870,1.906e-06,3.78e-06,2011
2011-04-21 02:52:03,5850,1.8195e-06,3.78e-06,2011
2011-04-21 02:52:03,5770,1.9401e-06,3.78e-06,2011
2011-04-21 02:57:00,5870,1.906e-06,3.78e-06,2011
2011-04-21 21:24:27,5870,1.906e-06,3.78e-06,2011
2011-04-22 17:44:58,5970,2.0053e-06,3.78e-06,2011
2011-04-23 04:58:34,6850,1.3996e-06,3.78e-06,2011
2011-04-23 04:58:34,5870,1.906e-06,3.78e-06,2011
2011-04-23 04:58:34,6870,1.7264e-06,3.78e-06,2011
2011-05-01 05:10:56,5770,1.9401e-06,3.78e-06,2011
2011-05-07 10:31:48,6870,1.7264e-06,3.78e-06,2011
2011-05-07 18:20:20,5830,1.5452e-06,3.78e-06,2011
2011-05-07 22:40:37,5970,2.0053e-06,3.78e-06,2011
2011-05-08 14:52:21,6850,1.3996e-06,3.78e-06,2011
2011-05-08 14:52:21,6870,1.7264e-06,3.78e-06,2011
2011-05-08 14:52:21,5970,2.0053e-06,3.78e-06,2011
2011-05-08 14:52:21,5770,1.9401e-06,3.78e-06,2011
2011-05-08 17:51:57,6950,1.9399e-06,3.78e-06,2011
2011-05-08 17:51:57,5850,1.8195e-06,3.78e-06,2011
2011-05-08 19:06:34,5870,1.906e-06,3.78e-06,2011
2011-05-08 19:06:34,5870,1.906e-06,3.78e-06,2011
2011-05-09 02:46:47,5870,1.906e-06,3.78e-06,2011
2011-05-09 02:55:25,6870,1.7264e-06,3.78e-06,2011
2011-05-09 05:10:23,5870,1.906e-06,3.78e-06,2011
2011-05-09 05:10:23,5850,1.8195e-06,3.78e-06,2011
2011-05-09 05:10:23,4890,5.4e-07,3.78e-06,2011
2011-05-09 06:24:18,6870,1.7264e-06,3.78e-06,2011
2011-05-09 06:24:18,5870,1.906e-06,3.78e-06,2011
2011-05-09 06:24:18,6990,1.9056e-06,3.78e-06,2011
2011-05-15 05:12:19,5870,1.906e-06,3.78e-06,2011
2011-05-15 06:46:00,5970,2.0053e-06,3.78e-06,2011
2011-05-15 17:22:15,5870,1.906e-06,3.78e-06,2011
2011-05-15 19:26:53,5830,1.5452e-06,3.78e-06,2011
2011-05-15 19:36:02,5970,2.0053e-06,3.78e-06,2011
2011-05-15 19:36:02,5850,1.8195e-06,3.78e-06,2011
2011-05-16 00:41:16,6990,1.9056e-06,3.78e-06,2011
2011-05-16 00:41:16,6990,1.9056e-06,3.78e-06,2011
2011-05-16 04:18:24,5870,1.906e-06,3.78e-06,2011
2011-05-16 06:39:33,5970,2.0053e-06,3.78e-06,2011
2011-05-16 06:39:33,5870,1.906e-06,3.78e-06,2011
2011-05-16 07:57:12,5870,1.906e-06,3.78e-06,2011
2011-05-16 14:57:10,5870,1.906e-06,3.78e-06,2011
2011-05-16 22:42:00,9800gt,2.89e-07,3.78e-06,2011
2011-05-16 22:58:18,6990,1.9056e-06,3.78e-06,2011
2011-05-16 23:38:12,5850,1.8195e-06,3.78e-06,2011
2011-05-16 23:38:12,5750,1.401e-06,3.78e-06,2011
2011-05-16 23:50:16,6950,1.9399e-06,3.78e-06,2011
2011-05-20 20:49:21,5850,1.8195e-06,3.78e-06,2011
2011-05-22 20:36:42,6990,1.9056e-06,3.78e-06,2011
