hashrate,coins_per_block,date
4318540.0,50.0,2009-01-01
6009000.0,50.0,2009-02-01
5623000.0,50.0,2009-03-01
5712000.0,50.0,2009-04-01
5710000.0,50.0,2009-05-01
3892000.0,50.0,2009-06-01
3172600.0,50.0,2009-07-01
2615818.1818181816,50.0,2009-08-01
3628000.0,50.0,2009-09-01
3346000.0,50.0,2009-10-01
3599000.0,50.0,2009-11-01
6645454.545454546,50.0,2009-12-01
10719000.0,50.0,2010-01-01
24044444.444444444,50.0,2010-02-01
36700000.0,50.0,2010-03-01
76240000.0,50.0,2010-04-01
99036363.63636364,50.0,2010-05-01
145000000.0,50.0,2010-06-01
1205900000.0,50.0,2010-07-01
4106000000.0,50.0,2010-08-01
7083000000.0,50.0,2010-09-01
16109090909.09091,50.0,2010-10-01
51980000000.0,50.0,2010-11-01
104370000000.0,50.0,2010-12-01
153454545454.54544,50.0,2011-01-01
311777777777.7778,50.0,2011-02-01
548200000000.0,50.0,2011-03-01
726000000000.0,50.0,2011-04-01
2244000000000.0,50.0,2011-05-01
7758000000000.0,50.0,2011-06-01
12536363636363.637,50.0,2011-07-01
13000000000000.0,50.0,2011-08-01
12220000000000.0,50.0,2011-09-01
9291818181818.182,50.0,2011-10-01
8244000000000.0,50.0,2011-11-01
8295000000000.0,50.0,2011-12-01
9719000000000.0,47.5,2012-01-01
10210000000000.0,25.0,2012-02-01
11406000000000.0,25.0,2012-03-01
11312000000000.0,25.0,2012-04-01
11430000000000.0,25.0,2012-05-01
12357000000000.0,25.0,2012-06-01
13654545454545.455,25.0,2012-07-01
17500000000000.0,25.0,2012-08-01
21200000000000.0,25.0,2012-09-01
21972727272727.273,25.0,2012-10-01
24990000000000.0,25.0,2012-11-01
22630000000000.0,25.0,2012-12-01
21750000000000.0,25.0,2013-01-01
28260000000000.0,25.0,2013-02-01
44590000000000.0,25.0,2013-03-01
68830000000000.0,25.0,2013-04-01
86990000000000.0,25.0,2013-05-01
149000000000000.0,25.0,2013-06-01
223700000000000.0,25.0,2013-07-01
446545454545454.56,25.0,2013-08-01
971400000000000.0,25.0,2013-09-01
2435000000000000.0,25.0,2013-10-01
4732000000000000.0,25.0,2013-11-01
8413636363636364.0,25.0,2013-12-01
1.621e+16,25.0,2014-01-01
2.4077777777777776e+16,25.0,2014-02-01
3.514e+16,25.0,2014-03-01
5.224e+16,25.0,2014-04-01
7.439090909090909e+16,25.0,2014-05-01
1.0663e+17,25.0,2014-06-01
1.332e+17,25.0,2014-07-01
1.712e+17,25.0,2014-08-01
2.317e+17,25.0,2014-09-01
2.6972727272727274e+17,25.0,2014-10-01
2.826e+17,25.0,2014-11-01
2.845e+17,25.0,2014-12-01
3.0636363636363635e+17,25.0,2015-01-01
3.381111111111111e+17,25.0,2015-02-01
3.482e+17,25.0,2015-03-01
3.452e+17,25.0,2015-04-01
3.514e+17,25.0,2015-05-01
3.637e+17,25.0,2015-06-01
3.690909090909091e+17,25.0,2015-07-01
3.769e+17,25.0,2015-08-01
4.33e+17,25.0,2015-09-01
4.370909090909091e+17,25.0,2015-10-01
5.357e+17,25.0,2015-11-01
6.629e+17,25.0,2015-12-01
8.549e+17,25.0,2016-01-01
1.1569e+18,25.0,2016-02-01
1.18e+18,25.0,2016-03-01
1.322e+18,25.0,2016-04-01
1.427e+18,25.0,2016-05-01
1.479e+18,25.0,2016-06-01
1.5090909090909092e+18,15.909090909090908,2016-07-01
1.614e+18,12.5,2016-08-01
1.697e+18,12.5,2016-09-01
1.818181818181818e+18,12.5,2016-10-01
1.978e+18,12.5,2016-11-01
2.336e+18,12.5,2016-12-01
2.762e+18,12.5,2017-01-01
3.27e+18,12.5,2017-02-01
3.487e+18,12.5,2017-03-01
3.845e+18,12.5,2017-04-01
4.371e+18,12.5,2017-05-01
5.002e+18,12.5,2017-06-01
6.12e+18,12.5,2017-07-01
6.167272727272728e+18,12.5,2017-08-01
7.906e+18,12.5,2017-09-01
9.435e+18,12.5,2017-10-01
1.0111e+19,12.5,2017-11-01
1.3354545454545455e+19,12.5,2017-12-01
1.744e+19,12.5,2018-01-01
2.226666666666667e+19,12.5,2018-02-01
2.44e+19,12.5,2018-03-01
2.833e+19,12.5,2018-04-01
3.2518181818181816e+19,12.5,2018-05-01
3.718e+19,12.5,2018-06-01
3.866e+19,12.5,2018-07-01
4.821e+19,12.5,2018-08-01
5.169e+19,12.5,2018-09-01
5.295454545454545e+19,12.5,2018-10-01
4.434e+19,12.5,2018-11-01
3.832e+19,12.5,2018-12-01
4.337272727272727e+19,12.5,2019-01-01
