hashrate,block,date
2305080.0,50.0,2008-12-01
6416000.0,50.0,2009-01-01
5573000.0,50.0,2009-02-01
5564000.0,50.0,2009-03-01
5999000.0,50.0,2009-04-01
4561000.0,50.0,2009-05-01
3924000.0,50.0,2009-06-01
2828600.0,50.0,2009-07-01
2610363.6363636362,50.0,2009-08-01
3664000.0,50.0,2009-09-01
3321000.0,50.0,2009-10-01
4508000.0,50.0,2009-11-01
8990000.0,50.0,2009-12-01
14895000.0,50.0,2010-01-01
31700000.0,50.0,2010-02-01
50810000.0,50.0,2010-03-01
89000000.0,50.0,2010-04-01
121390909.0909091,50.0,2010-05-01
339300000.0,50.0,2010-06-01
2721000000.0,50.0,2010-07-01
5084000000.0,50.0,2010-08-01
9778000000.0,50.0,2010-09-01
29736363636.363636,50.0,2010-10-01
80390000000.0,50.0,2010-11-01
123520000000.0,50.0,2010-12-01
204363636363.63635,50.0,2011-01-01
478000000000.0,50.0,2011-02-01
602300000000.0,50.0,2011-03-01
1071300000000.0,50.0,2011-04-01
4228000000000.0,50.0,2011-05-01
11051000000000.0,50.0,2011-06-01
13063636363636.363,50.0,2011-07-01
12910000000000.0,50.0,2011-08-01
11120000000000.0,50.0,2011-09-01
8230909090909.091,50.0,2011-10-01
7915000000000.0,50.0,2011-11-01
9315000000000.0,50.0,2011-12-01
9632000000000.0,35.0,2012-01-01
10879000000000.0,25.0,2012-02-01
11332000000000.0,25.0,2012-03-01
11940000000000.0,25.0,2012-04-01
11417000000000.0,25.0,2012-05-01
13120000000000.0,25.0,2012-06-01
15236363636363.637,25.0,2012-07-01
19210000000000.0,25.0,2012-08-01
21730000000000.0,25.0,2012-09-01
23563636363636.363,25.0,2012-10-01
23170000000000.0,25.0,2012-11-01
22570000000000.0,25.0,2012-12-01
24060000000000.0,25.0,2013-01-01
34050000000000.0,25.0,2013-02-01
57330000000000.0,25.0,2013-03-01
78310000000000.0,25.0,2013-04-01
114070000000000.0,25.0,2013-05-01
182400000000000.0,25.0,2013-06-01
301000000000000.0,25.0,2013-07-01
664000000000000.0,25.0,2013-08-01
1487500000000000.0,25.0,2013-09-01
3515000000000000.0,25.0,2013-10-01
6137000000000000.0,25.0,2013-11-01
1.2005454545454546e+16,25.0,2013-12-01
1.964e+16,25.0,2014-01-01
2.911111111111111e+16,25.0,2014-02-01
4.508e+16,25.0,2014-03-01
6.07e+16,25.0,2014-04-01
8.584545454545454e+16,25.0,2014-05-01
1.229e+17,25.0,2014-06-01
1.489e+17,25.0,2014-07-01
2.04e+17,25.0,2014-08-01
2.505e+17,25.0,2014-09-01
2.7863636363636365e+17,25.0,2014-10-01
2.821e+17,25.0,2014-11-01
3.015e+17,25.0,2014-12-01
3.1636363636363635e+17,25.0,2015-01-01
3.407777777777778e+17,25.0,2015-02-01
3.516e+17,25.0,2015-03-01
3.471e+17,25.0,2015-04-01
3.576e+17,25.0,2015-05-01
3.677e+17,25.0,2015-06-01
3.62e+17,25.0,2015-07-01
4.173e+17,25.0,2015-08-01
4.305e+17,25.0,2015-09-01
4.732727272727273e+17,25.0,2015-10-01
5.947e+17,25.0,2015-11-01
7.383e+17,25.0,2015-12-01
1.0524e+18,25.0,2016-01-01
1.151e+18,25.0,2016-02-01
1.236e+18,25.0,2016-03-01
1.375e+18,25.0,2016-04-01
1.436e+18,25.0,2016-05-01
1.552e+18,22.5,2016-06-01
1.5072727272727273e+18,12.5,2016-07-01
1.679e+18,12.5,2016-08-01
1.802e+18,12.5,2016-09-01
1.8209090909090908e+18,12.5,2016-10-01
2.142e+18,12.5,2016-11-01
2.527e+18,12.5,2016-12-01
3.058e+18,12.5,2017-01-01
3.372e+18,12.5,2017-02-01
3.732e+18,12.5,2017-03-01
3.987e+18,12.5,2017-04-01
4.796e+18,12.5,2017-05-01
5.427e+18,12.5,2017-06-01
6.537e+18,12.5,2017-07-01
6.654545454545454e+18,12.5,2017-08-01
8.842e+18,12.5,2017-09-01
9.164e+18,12.5,2017-10-01
1.187e+19,12.5,2017-11-01
1.5045454545454545e+19,12.5,2017-12-01
1.991e+19,12.5,2018-01-01
2.408888888888889e+19,12.5,2018-02-01
2.64e+19,12.5,2018-03-01
2.91e+19,12.5,2018-04-01
3.5136363636363637e+19,12.5,2018-05-01
3.755e+19,12.5,2018-06-01
4.381e+19,12.5,2018-07-01
4.916e+19,12.5,2018-08-01
5.423e+19,12.5,2018-09-01
5.064545454545455e+19,12.5,2018-10-01
3.838e+19,12.5,2018-11-01
4.184e+19,12.5,2018-12-01
4.387272727272727e+19,12.5,2019-01-01
4.422222222222222e+19,12.5,2019-02-01
4.662e+19,12.5,2019-03-01
4.669e+19,12.5,2019-04-01
5.556e+19,12.5,2019-05-01
5.873e+19,12.5,2019-06-01
7.217272727272727e+19,12.5,2019-07-01
8.149e+19,12.5,2019-08-01
9.177e+19,12.5,2019-09-01
9.456363636363636e+19,12.5,2019-10-01
9.525e+19,12.5,2019-11-01
1.0132e+20,12.5,2019-12-01
1.0928e+20,12.5,2020-01-01
1.1193e+20,12.5,2020-02-01
1.0713e+20,12.5,2020-03-01
1.1182e+20,11.25,2020-04-01
9.861e+19,6.25,2020-05-01
1.181e+20,6.25,2020-06-01
1.26e+20,6.25,2020-07-01
1.255e+20,6.25,2020-08-01
1.4e+20,6.25,2020-09-01
1.2681818181818181e+20,6.25,2020-10-01
1.373e+20,6.25,2020-11-01
1.47e+20,6.25,2020-12-01
1.514e+20,6.25,2021-01-01
1.496e+20,6.25,2021-02-01
1.69e+20,6.25,2021-03-01
1.644e+20,6.25,2021-04-01
1.428e+20,6.25,2021-05-01
1.0032e+20,6.25,2021-06-01
1.0437e+20,6.25,2021-07-01
1.2927272727272727e+20,6.25,2021-08-01
1.395e+20,6.25,2021-09-01
1.587e+20,6.25,2021-10-01
1.685e+20,6.25,2021-11-01
1.8427272727272728e+20,6.25,2021-12-01
2.049e+20,6.25,2022-01-01
1.8766666666666666e+20,6.25,2022-02-01
2.071e+20,6.25,2022-03-01
2.112e+20,6.25,2022-04-01
2.1700000000000003e+20,6.25,2022-05-01
2.1629901618013195e+20,6.25,2022-06-01
2.0065639632672643e+20,6.25,2022-07-01
2.185533043373068e+20,6.25,2022-08-01
2.408505424126514e+20,6.25,2022-09-01
2.657670236003735e+20,6.25,2022-10-01
2.5427834697353255e+20,6.25,2022-11-01
2.516841314573409e+20,6.25,2022-12-01
2.783524153548504e+20,6.25,2023-01-01
3.136636336632432e+20,6.25,2023-02-01
3.386282739678342e+20,6.25,2023-03-01
3.4384576308021133e+20,6.25,2023-04-01
3.6954403189751664e+20,6.25,2023-05-01
3.708869226561158e+20,6.25,2023-06-01
3.752951558351553e+20,6.25,2023-07-01
3.903861712242319e+20,6.25,2023-08-01
4.2455437289636915e+20,6.25,2023-09-01
4.5159743595230305e+20,6.25,2023-10-01
4.852830507965135e+20,6.25,2023-11-01
5.1670686670719215e+20,6.25,2023-12-01
5.4462855823174664e+20,6.25,2024-01-01
5.782586762994906e+20,6.25,2024-02-01
5.99239782069749e+20,6.25,2024-03-01
