month,TH/J
2011-02-01,1.8887833333333335e-06
2011-03-01,1.4647222222222223e-06
2011-04-01,1.7084220338983051e-06
2011-05-01,1.6146677631578946e-06
2011-06-01,1.6656128e-06
2011-07-01,1.7120890688259107e-06
2011-08-01,1.9233327272727273e-06
2011-09-01,1.6976125e-06
2011-10-01,1.609286567164179e-06
2011-11-01,1.718582608695652e-06
2011-12-01,3.240815e-06
2012-01-01,2.232154411764706e-06
2012-02-01,2.2360923664122138e-06
2012-03-01,5.8484375e-06
2012-04-01,4.609686363636363e-06
2012-05-01,3.314882894736842e-06
2012-06-01,4.440153424657534e-06
2012-07-01,4.650308333333333e-06
2012-08-01,5.2600548780487805e-06
2012-09-01,3.3967057142857146e-06
2012-10-01,7.308551219512195e-06
2012-11-01,3.863516666666667e-06
2012-12-01,2.799063333333333e-06
2013-01-01,0.00011662744799999999
2013-02-01,4.802246666666666e-05
2013-03-01,2.6465734343434343e-05
2013-04-01,9.787448457711443e-05
2013-05-01,0.00013166192989130435
2013-06-01,0.0004497313554216868
2013-07-01,0.0004668744680327869
2013-08-01,0.0005665333994897959
2013-09-01,0.0006583346770700636
2013-10-01,0.000536655766442953
2013-11-01,0.0007128266988700565
2013-12-01,0.0006391084789215687
2014-01-01,0.0006201826467532467
2014-02-01,0.0005556695173684211
2014-03-01,0.0006143061507317073
2014-04-01,0.0006602672913043478
2014-05-01,0.0007282989491525423
2014-06-01,0.0007102680151351351
2014-07-01,0.0008748209463414634
2014-08-01,0.0010262495414634146
2014-09-01,0.0009802097159235669
2014-10-01,0.0010418516067669172
2014-11-01,0.0010546713
2014-12-01,0.0012373869085470087
2015-01-01,0.0013672029058035713
2015-02-01,0.0013151357854014596
2015-03-01,0.0012923174651006712
2015-04-01,0.0012354130158333332
2015-05-01,0.001451018575
2015-06-01,0.0014149956594405593
2015-07-01,0.0013347850461538462
2015-08-01,0.0014621222883870967
2015-09-01,0.0017858919171270717
2015-10-01,0.0017308114222857143
2015-11-01,0.0020062468127777775
2015-12-01,0.0021086577204651163
2016-01-01,0.002445284519354839
2016-02-01,0.0020971242724832214
2016-03-01,0.0023904744361111113
2016-04-01,0.002148193215833333
2016-05-01,0.002276746801234568
2016-06-01,0.003515985469565217
2016-07-01,0.004165416024545455
2016-08-01,0.005384894653508773
2016-09-01,0.005198719989393939
2016-10-01,0.005271567945833333
2016-11-01,0.005258912181818182
2016-12-01,0.004449679752325581
2017-01-01,0.0056742508144067795
2017-02-01,0.005216382925757576
2017-03-01,0.006266355348148149
2017-04-01,0.005852366348888889
2017-05-01,0.006345984869148936
2017-06-01,0.004767497305970149
2017-07-01,0.005461107425252525
2017-08-01,0.006480341344347826
2017-09-01,0.00534543087867647
2017-10-01,0.006827486070588236
2017-11-01,0.0070571278675531915
2017-12-01,0.008101507211627907
2018-01-01,0.00806617173902439
2018-02-01,0.008982747368484848
2018-03-01,0.0082877526
2018-04-01,0.008986502917894736
2018-05-01,0.009180594335789473
2018-06-01,0.008705931958333333
2018-07-01,0.00836695701830986
2018-08-01,0.008391915048571428
2018-09-01,0.009612301801694915
2018-10-01,0.009570128020967742
2018-11-01,0.009236351638235293
2018-12-01,0.00882036755
2019-01-01,0.00845340944390244
2019-02-01,0.00864118965
2019-03-01,0.01059067274
2019-04-01,0.009675912310714286
2019-05-01,0.009433871875862069
2019-06-01,0.00947318115737705
2019-07-01,0.010165934158974358
2019-08-01,0.011727269339215685
2019-09-01,0.012631930803846154
2019-10-01,0.012427573686842105
2019-11-01,0.013109859684415585
2019-12-01,0.01304324575490196
2020-01-01,0.01260112412857143
2020-02-01,0.014763421717142856
2020-03-01,0.012721628740625001
2020-04-01,0.013846275804166667
2020-05-01,0.013762313727272728
2020-06-01,0.015361246589999999
2020-07-01,0.01773509077368421
2020-08-01,0.016579315160714286
2020-09-01,0.016262290344444444
2020-10-01,0.009825595015384615
2020-11-01,0.012892716322500001
2020-12-01,0.014259108113333334
2021-01-01,0.013226764911428572
2021-02-01,0.015054544731111112
2021-03-01,0.012556222065079364
2021-04-01,0.012617334224615384
2021-05-01,0.01534508406590909
2021-06-01,0.015747245196
2021-07-01,0.015285039002222223
2021-08-01,0.018284464037704916
2021-09-01,0.018572789534545456
2021-10-01,0.01864924785238095
2021-11-01,0.01795338255
2021-12-01,0.01836004232238806
2022-01-01,0.01757910878222222
2022-02-01,0.018454452004545454
2022-03-01,0.017326807243750002
2022-04-01,0.01590933645263158
2022-05-01,0.017735167618750002
2022-06-01,0.017946720149999998
2022-07-01,0.017608561676
2022-08-01,0.017117041091666667
2022-09-01,0.013845715443333332
2022-10-01,0.02063450954090909
2022-11-01,0.017447623275
2022-12-01,0.01383541078064516
2023-01-01,0.01659519963939394
2023-02-01,0.024040336410526317
2023-03-01,0.017792199403333334
2023-04-01,0.016545114735897436
2023-05-01,0.018392415456
2023-06-01,0.022038481345833333
2023-07-01,0.01830226576521739
2023-08-01,0.018209319945454546
2023-09-01,0.022222540264285714
2023-10-01,0.023880028945454546
