Timestamp Graph,Intervals (Row),Network hashrate (TH/s),Bitcoins per block (BTC)
02/01/2009,1,4.97E-08,50
05/01/2009,2,4.97E-08,50
08/01/2009,3,6.96E-07,50
11/01/2009,4,4.42E-06,50
14/01/2009,5,6.31E-06,50
17/01/2009,6,5.02E-06,50
20/01/2009,7,5.62E-06,50
23/01/2009,8,9.89E-06,50
26/01/2009,9,5.12E-06,50
29/01/2009,10,6.01E-06,50
01/02/2009,11,6.31E-06,50
04/02/2009,12,6.01E-06,50
07/02/2009,13,6.66E-06,50
10/02/2009,14,6.51E-06,50
13/02/2009,15,7.01E-06,50
16/02/2009,16,5.87E-06,50
19/02/2009,17,6.36E-06,50
22/02/2009,18,5.32E-06,50
25/02/2009,19,4.77E-06,50
28/02/2009,20,5.27E-06,50
03/03/2009,21,5.27E-06,50
06/03/2009,22,5.52E-06,50
09/03/2009,23,5.22E-06,50
12/03/2009,24,5.67E-06,50
15/03/2009,25,6.46E-06,50
18/03/2009,26,6.06E-06,50
21/03/2009,27,4.72E-06,50
24/03/2009,28,5.77E-06,50
27/03/2009,29,5.92E-06,50
31/03/2009,30,5.62E-06,50
03/04/2009,31,5.62E-06,50
06/04/2009,32,5.72E-06,50
09/04/2009,33,4.92E-06,50
12/04/2009,34,5.72E-06,50
15/04/2009,35,5.57E-06,50
18/04/2009,36,6.06E-06,50
21/04/2009,37,6.11E-06,50
24/04/2009,38,5.62E-06,50
27/04/2009,39,5.22E-06,50
30/04/2009,40,6.56E-06,50
03/05/2009,41,5.67E-06,50
06/05/2009,42,6.81E-06,50
09/05/2009,43,4.52E-06,50
12/05/2009,44,6.31E-06,50
15/05/2009,45,7.11E-06,50
18/05/2009,46,6.16E-06,50
21/05/2009,47,4.42E-06,50
24/05/2009,48,4.77E-06,50
27/05/2009,49,6.21E-06,50
30/05/2009,50,5.12E-06,50
02/06/2009,51,4.42E-06,50
05/06/2009,52,2.83E-06,50
08/06/2009,53,3.58E-06,50
11/06/2009,54,4.62E-06,50
14/06/2009,55,3.48E-06,50
17/06/2009,56,3.83E-06,50
20/06/2009,57,4.18E-06,50
23/06/2009,58,3.78E-06,50
26/06/2009,59,4.42E-06,50
29/06/2009,60,3.78E-06,50
02/07/2009,61,3.58E-06,50
05/07/2009,62,3.98E-06,50
08/07/2009,63,3.93E-06,50
11/07/2009,64,4.18E-06,50
14/07/2009,65,3.58E-06,50
17/07/2009,66,3.23E-06,50
20/07/2009,67,3.73E-06,50
23/07/2009,68,3.28E-06,50
26/07/2009,69,6.46E-07,50
29/07/2009,70,1.59E-06,50
01/08/2009,71,1.14E-06,50
04/08/2009,72,2.88E-06,50
07/08/2009,73,3.68E-06,50
10/08/2009,74,4.08E-06,50
13/08/2009,75,4.03E-06,50
16/08/2009,76,1.24E-06,50
19/08/2009,77,7.46E-07,50
22/08/2009,78,3.98E-07,50
25/08/2009,79,2.73E-06,50
28/08/2009,80,3.18E-06,50
31/08/2009,81,4.67E-06,50
03/09/2009,82,2.98E-06,50
06/09/2009,83,3.58E-06,50
09/09/2009,84,2.88E-06,50
12/09/2009,85,3.53E-06,50
15/09/2009,86,2.78E-06,50
18/09/2009,87,4.03E-06,50
21/09/2009,88,3.68E-06,50
24/09/2009,89,4.08E-06,50
27/09/2009,90,4.42E-06,50
30/09/2009,91,4.32E-06,50
03/10/2009,92,2.88E-06,50
06/10/2009,93,2.04E-06,50
09/10/2009,94,3.88E-06,50
12/10/2009,95,3.08E-06,50
15/10/2009,96,4.23E-06,50
18/10/2009,97,3.18E-06,50
21/10/2009,98,4.13E-06,50
24/10/2009,99,3.73E-06,50
26/10/2009,100,3.28E-06,50
29/10/2009,101,3.03E-06,50
01/11/2009,102,1.64E-06,50
04/11/2009,103,3.18E-06,50
07/11/2009,104,3.48E-06,50
10/11/2009,105,3.43E-06,50
13/11/2009,106,4.13E-06,50
16/11/2009,107,4.52E-06,50
19/11/2009,108,4.08E-06,50
22/11/2009,109,4.77E-06,50
25/11/2009,110,3.88E-06,50
28/11/2009,111,2.88E-06,50
01/12/2009,112,4.87E-06,50
04/12/2009,113,2.58E-06,50
07/12/2009,114,5.92E-06,50
10/12/2009,115,6.21E-06,50
13/12/2009,116,5.37E-06,50
16/12/2009,117,8.00E-06,50
19/12/2009,118,8.70E-06,50
22/12/2009,119,8.40E-06,50
25/12/2009,120,7.90E-06,50
28/12/2009,121,8.15E-06,50
31/12/2009,122,7.00E-06,50
03/01/2010,123,1.12E-05,50
06/01/2010,124,9.35E-06,50
09/01/2010,125,1.12E-05,50
12/01/2010,126,1.03E-05,50
15/01/2010,127,8.69E-06,50
18/01/2010,128,7.72E-06,50
