month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2011-04-01,1.477275e-06,1.0,1,3.78e-06,-12.485786548332777,
2011-05-01,1.4522444444444442e-06,2.0,4,3.78e-06,-12.485786548332777,1.477274999969224e-06
2011-06-01,1.6140171874999999e-06,3.0,9,3.78e-06,-12.485786548332777,1.4681448940017777e-06
2011-07-01,1.7131827586206895e-06,4.0,16,3.78e-06,-12.485786548332777,1.478129855218533e-06
2011-08-01,1.8090159999999998e-06,5.0,25,3.78e-06,-12.485786548332777,1.5121374998232661e-06
2011-09-01,1.8162952380952382e-06,6.0,36,2.33e-05,-10.66705719739262,1.5765841296323628e-06
2011-10-01,1.6120181818181817e-06,7.0,49,2.33e-05,-10.66705719739262,1.6731115608336379e-06
2011-11-01,3.2529749999999995e-06,8.0,64,2.33e-05,-10.66705719739262,1.7681894715746347e-06
2011-12-01,2.7246576923076925e-06,9.0,81,2.33e-05,-10.66705719739262,1.6767978653017713e-06
2012-01-01,2.398322807017544e-06,10.0,100,2.33e-05,-10.66705719739262,2.150132437592643e-06
2012-02-01,1.2359876923076922e-05,11.0,121,2.33e-05,-10.66705719739262,2.5436287902636984e-06
2012-03-01,1.57727e-05,12.0,144,2.33e-05,-10.66705719739262,2.142376483632961e-06
2012-04-01,1.3673648571428572e-05,13.0,169,2.33e-05,-10.66705719739262,4.937439660020254e-06
2012-05-01,1.2616379411764706e-05,14.0,196,2.33e-05,-10.66705719739262,9.563476768973283e-06
2012-06-01,3.496109047619048e-05,15.0,225,2.33e-05,-10.66705719739262,1.2839387690619615e-05
2012-07-01,3.810571818181818e-05,16.0,256,2.33e-05,-10.66705719739262,1.2982609534321175e-05
2012-08-01,2.6205706382978726e-05,17.0,289,2.33e-05,-10.66705719739262,1.9641292847387586e-05
2012-09-01,8.84216490909091e-05,18.0,324,2.33e-05,-10.66705719739262,2.8762789152425776e-05
2012-10-01,0.000101938416,19.0,361,2.33e-05,-10.66705719739262,2.8565843698286245e-05
2012-11-01,3.614944e-06,20.0,400,2.33e-05,-10.66705719739262,4.619183412523948e-05
2012-12-01,0.00016546937272727272,21.0,441,0.00025,-8.294049640102028,7.595909132726229e-05
2013-01-01,0.00020001535909090908,22.0,484,0.00025,-8.294049640102028,5.778442952681634e-05
2013-02-01,3.8460590909090906e-05,23.0,529,0.00025,-8.294049640102028,8.142448936864843e-05
2013-03-01,9.543007752808988e-05,24.0,576,0.00025,-8.294049640102028,0.0001363920312727045
2013-04-01,0.00018869945731707317,25.0,625,0.00025,-8.294049640102028,0.0001265029956752576
2013-05-01,0.00044866822474226803,26.0,676,0.00025,-8.294049640102028,0.00010786438594448168
2013-06-01,0.000606483039408867,27.0,729,0.00025,-8.294049640102028,0.00011121213185181849
2013-07-01,0.0005306710668639054,28.0,784,0.0004,-7.824046010856292,0.00020818463248060368
2013-08-01,0.0006907074614285715,29.0,841,0.0004,-7.824046010856292,0.00037572336058504767
2013-09-01,0.0008199474113207547,30.0,900,0.0004,-7.824046010856292,0.0004858283221909751
2013-10-01,0.0006859230842975206,31.0,961,0.000909,-7.003165463786796,0.0005886351779448375
2013-11-01,0.0008253388095238095,32.0,1024,0.000909,-7.003165463786796,0.0007103112946956273
2013-12-01,0.0007936737345454546,33.0,1089,0.001429,-6.550780380034407,0.0007469254159278144
