TH/J,month
1.5418242424242424e-06,2011-02-01
1.626523076923077e-06,2011-03-01
1.6919223404255318e-06,2011-04-01
1.6177349514563107e-06,2011-05-01
1.6947565079365077e-06,2011-06-01
1.7592457516339869e-06,2011-07-01
2.018432e-06,2011-08-01
1.6920607843137255e-06,2011-09-01
1.5688851851851852e-06,2011-10-01
2.5445826086956522e-06,2011-11-01
2.665252083333333e-06,2011-12-01
2.3004579831932772e-06,2012-01-01
4.186800970873787e-06,2012-02-01
4.5561530612244895e-06,2012-03-01
4.270178666666666e-06,2012-04-01
3.2829477611940297e-06,2012-05-01
4.8812304347826085e-06,2012-06-01
4.227313513513513e-06,2012-07-01
5.24313661971831e-06,2012-08-01
4.342785074626865e-06,2012-09-01
6.274348387096774e-06,2012-10-01
2.75125306122449e-06,2012-11-01
1.0892466666666666e-05,2012-12-01
0.00010644921851851852,2013-01-01
3.6465692000000004e-05,2013-02-01
3.720416149425287e-05,2013-03-01
0.00012372271270718233,2013-04-01
0.0003382097986013986,2013-05-01
0.0005057172962406015,2013-06-01
0.0004591969267857143,2013-07-01
0.0006308864607361964,2013-08-01
0.0005952849151898734,2013-09-01
0.0006308666430555555,2013-10-01
0.0006461420927927928,2013-11-01
0.0006614505867724868,2013-12-01
0.0005799038502040816,2014-01-01
0.0006001003042553192,2014-02-01
0.0006645788584269663,2014-03-01
0.0006780928084444445,2014-04-01
0.0007263701931707317,2014-05-01
0.0007427503298913044,2014-06-01
0.001027092073929961,2014-07-01
0.0009488459288702929,2014-08-01
0.001033885883206107,2014-09-01
0.0010496465968,2014-10-01
0.0011115285011976048,2014-11-01
0.0013113741556338026,2014-12-01
0.0013850283958333333,2015-01-01
0.0012466075184,2015-02-01
0.0012579187112781954,2015-03-01
0.0012944393638888887,2015-04-01
0.0014760287390977443,2015-05-01
0.0013625588153846153,2015-06-01
0.0014720653062015503,2015-07-01
0.0015697665172972972,2015-08-01
0.0018342555229813667,2015-09-01
0.001904787502762431,2015-10-01
0.0020938987846994537,2015-11-01
0.0022816123340807177,2015-12-01
0.0021511590297619045,2016-01-01
0.0022980356471544714,2016-02-01
0.0020877632263736263,2016-03-01
0.0022817195921259843,2016-04-01
0.00296796043627451,2016-05-01
0.003790782185606061,2016-06-01
0.005393858734444444,2016-07-01
0.005165038848039216,2016-08-01
0.005191254631578947,2016-09-01
0.005091768964583333,2016-10-01
0.005830938835087719,2016-11-01
0.004552396320238095,2016-12-01
0.005554092480508475,2017-01-01
0.004860513729411765,2017-02-01
0.006870396067741935,2017-03-01
0.00634420879223301,2017-04-01
0.005097562224,2017-05-01
0.004948309998275862,2017-06-01
0.006560019480392157,2017-07-01
0.00548226709025974,2017-08-01
0.006253820320689655,2017-09-01
0.006861736653888889,2017-10-01
0.007836835059913793,2017-11-01
0.008085552265972221,2017-12-01
0.008144911252941176,2018-01-01
0.008805148916778523,2018-02-01
0.008486930600000001,2018-03-01
0.009486785713978494,2018-04-01
0.008747577061682242,2018-05-01
0.00829403392,2018-06-01
0.008371653978,2018-07-01
0.009582420420833333,2018-08-01
0.009801534996078432,2018-09-01
0.00967929167051282,2018-10-01
0.008461402442857143,2018-11-01
0.00889747412173913,2018-12-01
0.008221724137777777,2019-01-01
0.009932061676923076,2019-02-01
0.010359537765789474,2019-03-01
0.00969769994,2019-04-01
0.009457316611538463,2019-05-01
0.009325346752459017,2019-06-01
0.011800942631111111,2019-07-01
0.011705012052631579,2019-08-01
0.01317335678205128,2019-09-01
0.011566355577083333,2019-10-01
0.0134636618,2019-11-01
0.011829345658823529,2019-12-01
0.017338314606451615,2020-01-01
0.013579466245238096,2020-02-01
0.01319335866857143,2020-03-01
0.012237173076190475,2020-04-01
0.014308968405714285,2020-05-01
0.01661994197586207,2020-06-01
0.017525248925,2020-07-01
0.016689446292307692,2020-08-01
0.01470043448888889,2020-09-01
0.013753297921052633,2020-10-01
0.01114395575,2020-11-01
0.0129152516,2020-12-01
0.014896920902702704,2021-01-01
0.013804813372549019,2021-02-01
0.011888551617460316,2021-03-01
0.014012108210169492,2021-04-01
0.013621735030434783,2021-05-01
0.017682465554054054,2021-06-01
0.016260300833962266,2021-07-01
0.0171402846,2021-08-01
0.019415406320000002,2021-09-01
0.017412052553846154,2021-10-01
0.02030777829347826,2021-11-01
0.018906057956338027,2021-12-01
0.016701359288636364,2022-01-01
0.01572296283,2022-02-01
0.018932390340909093,2022-03-01
0.01737282440952381,2022-04-01
0.01779862647647059,2022-05-01
0.015446859865517241,2022-06-01
0.01795877821707317,2022-07-01
0.014804762770833334,2022-08-01
0.017162463502777777,2022-09-01
0.019018762960869566,2022-10-01
0.0169655902125,2022-11-01
0.013825445293548387,2022-12-01
0.019330421448,2023-01-01
0.020726079604166666,2023-02-01
0.01724571151304348,2023-03-01
0.01465156075263158,2023-04-01
0.02065603325833333,2023-05-01
0.0196626779,2023-06-01
0.02186509311818182,2023-07-01
0.014070864999999998,2023-08-01
0.02030741192352941,2023-09-01
0.029121983746153844,2023-10-01
