Date,ln(P_max),Data monthly average,Model ln(P_eff)
2011-01-01,-12.485786548332777,1.5657608695652174e-06,
2011-01-02,-12.485786548332777,1.5657608695652174e-06,
2011-01-03,-12.485786548332777,1.5657608695652174e-06,
2011-01-04,-12.485786548332777,1.5657608695652174e-06,
2011-01-05,-12.485786548332777,1.5657608695652174e-06,
2011-01-06,-12.485786548332777,1.5657608695652174e-06,
2011-01-07,-12.485786548332777,1.5657608695652174e-06,
2011-01-08,-12.485786548332777,1.5657608695652174e-06,
2011-01-09,-12.485786548332777,1.5657608695652174e-06,
2011-01-10,-12.485786548332777,1.5657608695652174e-06,
2011-01-11,-12.485786548332777,1.5657608695652174e-06,
2011-01-12,-12.485786548332777,1.5657608695652174e-06,
2011-01-13,-12.485786548332777,1.5657608695652174e-06,
2011-01-14,-12.485786548332777,1.5657608695652174e-06,
2011-01-15,-12.485786548332777,1.5657608695652174e-06,
2011-01-16,-12.485786548332777,1.5657608695652174e-06,
2011-01-17,-12.485786548332777,1.5657608695652174e-06,
2011-01-18,-12.485786548332777,1.5657608695652174e-06,
2011-01-19,-12.485786548332777,1.5657608695652174e-06,
2011-01-20,-12.485786548332777,1.5657608695652174e-06,
2011-01-21,-12.485786548332777,1.5657608695652174e-06,
2011-01-22,-12.485786548332777,1.5657608695652174e-06,
2011-01-23,-12.485786548332777,1.5657608695652174e-06,
2011-01-24,-12.485786548332777,1.5657608695652174e-06,
2011-01-25,-12.485786548332777,1.5657608695652174e-06,
2011-01-26,-12.485786548332777,1.5657608695652174e-06,
2011-01-27,-12.485786548332777,1.5657608695652174e-06,
2011-01-28,-12.485786548332777,1.5657608695652174e-06,
2011-01-29,-12.485786548332777,1.5657608695652174e-06,
2011-01-30,-12.485786548332777,1.5657608695652174e-06,
2011-01-31,-12.485786548332777,1.5657608695652174e-06,
2011-04-01,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-02,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-03,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-04,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-05,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-06,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-07,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-08,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-09,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-10,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-11,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-12,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-13,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-14,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-15,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-16,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-17,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-18,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-19,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-20,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-21,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-22,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-23,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-24,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-25,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-26,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-27,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-28,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-29,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-04-30,-12.485786548332777,1.6612383008356546e-06,1.5657608695648479e-06
2011-07-01,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-02,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-03,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-04,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-05,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-06,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-07,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-08,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-09,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-10,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-11,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-12,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-13,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-14,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-15,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-16,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-17,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-18,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-19,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-20,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-21,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-22,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-23,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-24,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-25,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-26,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-27,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-28,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-29,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-30,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-07-31,-12.485786548332777,1.8166383512544802e-06,1.6545853252854207e-06
2011-10-01,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-02,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-03,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-04,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-05,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-06,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-07,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-08,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-09,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-10,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-11,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
2011-10-12,-10.66705719739262,2.1694183999999998e-06,1.8312538679545509e-06
