price,real_joules_per_coin,date
0.7,3301.3609584064993,2011-02-28
0.9202,7485.378342499525,2011-03-31
0.7741,8499.070903966292,2011-04-30
3.0331,27795.191694559948,2011-05-31
9.57,93154.9037087131,2011-06-30
15.397,146445.2272329573,2011-07-31
13.0946,135182.01833370668,2011-08-31
8.21,143966.89468297389,2011-09-30
5.0324,115477.48389140978,2011-10-31
3.15,95939.52549370816,2011-11-30
3.06,51190.8269987642,2011-12-31
5.2677,91665.04128808348,2012-01-31
6.0756,182640.04033754356,2012-02-29
4.9213,78010.57974886455,2012-03-31
4.827,98158.52192665446,2012-04-30
5.0,137923.42430132683,2012-05-31
5.2748,111320.47763374832,2012-06-30
6.629,117450.6675754801,2012-07-31
9.5503,133078.4594893172,2012-08-31
9.9654,249653.6560213383,2012-09-30
12.4,120257.63581742447,2012-10-31
10.57,258728.015495382,2012-11-30
12.562,323393.8972441972,2012-12-31
13.3041,7459.650493259065,2013-01-31
20.499,23538.98244849286,2013-02-28
34.5,67392.80221190907,2013-03-31
104.0,28129.90547940795,2013-04-30
116.99,26428.292543431162,2013-05-31
129.3,13252.355941277003,2013-06-30
88.05,19165.751422871297,2013-07-31
104.0,31528.270350710223,2013-08-31
138.34,59021.651681684816,2013-09-30
132.18,181494.36955759113,2013-10-31
206.18,265534.3862681545,2013-11-30
955.85,526585.8076447013,2013-12-31
771.4,1045498.4566151996,2014-01-31
832.58,1733244.457375163,2014-02-28
565.61,2288109.924222295,2014-03-31
478.375,3164778.912298047,2014-04-30
457.76,4085734.803131357,2014-05-31
630.229,6005057.118035531,2014-06-30
640.806,6090389.150239598,2014-07-31
594.908,6672840.983914073,2014-08-31
475.725,9455119.500900067,2014-09-30
383.615,10355688.69790573,2014-10-31
324.768,10718031.295627367,2014-11-30
379.366,9196800.064228052,2014-12-31
314.136,8963223.675525693,2015-01-31
226.998,10283686.745180134,2015-02-28
260.371,10777537.544859985,2015-03-31
247.289,11176828.98191448,2015-04-30
232.155,9686988.328181809,2015-05-31
222.926,10281303.623046018,2015-06-30
258.651,11060684.569532726,2015-07-31
282.013,10311039.042180052,2015-08-31
228.046,9698235.281709,2015-09-30
237.551,10101410.320338406,2015-10-31
325.732,10680640.02072227,2015-11-30
362.387,12574824.13701141,2015-12-31
433.973,13984466.727423104,2016-01-31
372.942,22066408.08424991,2016-02-29
435.101,19745034.411154993,2016-03-31
417.822,24616035.285023212,2016-04-30
451.683,25070859.864193078,2016-05-31
537.859,16826008.102734264,2016-06-30
675.964,22772549.56003951,2016-07-31
605.969,23978184.961495534,2016-08-31
572.28,26114120.452143792,2016-09-30
613.965,27592273.674384516,2016-10-31
729.594,30089873.06292945,2016-11-30
756.528,41998528.074370384,2016-12-31
997.777,38940823.595423594,2017-01-31
989.114,50149692.559621975,2017-02-28
1221.42,44517105.15945146,2017-03-31
1080.28,52559935.87250473,2017-04-30
1422.5,55102558.10724897,2017-05-31
2401.8,83935023.83292374,2017-06-30
2435.57,89652145.96146914,2017-07-31
2713.63,76135158.93142718,2017-08-31
4879.76,118321612.29940185,2017-09-30
4361.139973296,110553136.57124352,2017-10-31
6751.169850192,114618866.93580073,2017-11-30
10967.664817444,131872207.04194887,2017-12-31
13577.188554957,172969290.15904713,2018-01-31
9171.249368766,198306070.54396176,2018-02-28
10929.765497461,235528266.13091707,2018-03-31
6830.630577316,252200441.1178623,2018-04-30
9096.810021871,283364502.3735663,2018-05-31
7525.473796775,341652107.3488187,2018-06-30
6364.401841845,369644542.6015554,2018-07-31
7596.721802762,459585205.245442,2018-08-31
7193.248733149,430198727.1426347,2018-09-30
6596.018098435,442665304.6941445,2018-10-31
6368.306136028,384047742.97633463,2018-11-30
4208.46972294,347559212.54097855,2018-12-31
3851.181614039,410463754.87242323,2019-01-31
3474.400614406,421135429.09119123,2019-02-28
3834.290290069,335616073.43179977,2019-03-31
4202.125149714,377762828.20924014,2019-04-30
5388.818932923,436978586.7611568,2019-05-31
8596.109824225,480514404.23001355,2019-06-30
10638.003271271,517807799.8226102,2019-07-31
10365.984725445,502145881.5061106,2019-08-31
9716.721909689,560864376.9520065,2019-09-30
8294.743596648,620262959.6576034,2019-10-31
9225.753942278,560677244.2223675,2019-11-30
7417.184161887,601568056.5591716,2019-12-31
7213.918462217,677653827.7754508,2020-01-31
9386.105651619,594658891.9698664,2020-02-29
8557.504357584,679912940.1079389,2020-03-31
6598.287014759,645314316.020719,2020-04-30
8832.98125113,909864896.4113994,2020-05-31
10177.770353698,1142615600.704325,2020-06-30
9225.668161404,1105563708.5526805,2020-07-31
11800.389870165,1217903140.4051175,2020-08-31
11921.754916292,1335113292.1702726,2020-09-30
10614.303326871,2164291782.040455,2020-10-31
13735.006857626,1635652214.2039087,2020-11-30
18855.043740295,1570925742.4771452,2020-12-31
29300.190935827,1775793261.4123466,2021-01-31
33513.441195617,1629275440.612392,2021-02-28
49557.936855621,2035007016.2476554,2021-03-31
58755.615177915,2061925247.985037,2021-04-30
57793.518868245,1659945288.7057943,2021-05-31
36606.39,1241004363.4148796,2021-06-30
33628.67,1026363099.0878869,2021-07-31
40120.70071620807,1039730180.31626,2021-08-31
48744.6322,1183667103.9161754,2021-09-30
48080.37283833829,1245733886.1006148,2021-10-31
61065.0310670206,1439283094.8728378,2021-11-30
57173.0795,1566247132.3009148,2021-12-31
47544.4994,1754810234.247863,2022-01-31
38761.9683,1732072262.919077,2022-02-28
44359.8712,1857006864.9898725,2022-03-31
46231.00475940512,2004357635.8412817,2022-04-30
38467.094,1992958584.0557024,2022-05-31
29789.42113357093,1958686584.8576903,2022-06-30
19336.1044410867,1861332449.6297374,2022-07-31
23311.592835340976,1942618235.9337811,2022-08-31
20145.5884,2611230597.889121,2022-09-30
19305.1719,1984278851.605384,2022-10-31
20481.5549,2394362031.5387397,2022-11-30
16956.1893,2861847339.6705074,2022-12-31
16607.069459238443,2596408273.5000834,2023-01-31
23706.0643,1946764472.092333,2023-02-28
23659.4001,2941372340.314412,2023-03-31
28464.81401778217,3318101856.4762535,2023-04-30
28084.46,3074912686.779316,2023-05-31
26806.98,2685669450.1060896,2023-06-30
30589.05,3278636216.734492,2023-07-31
29629.24,3385940202.490209,2023-08-31
25816.57,2897130610.5711036,2023-09-30
27978.1,2955222533.656996,2023-10-31
