date,max possible,archaicity,max found,regression
2009-01-01,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-02,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-03,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-04,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-05,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-06,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-07,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-08,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-09,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-10,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-11,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-12,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-13,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-14,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-15,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-16,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-17,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-18,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-19,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-20,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-21,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-22,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-23,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-24,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-25,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-26,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-27,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-28,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-29,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-30,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-01-31,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-01,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-02,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-03,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-04,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-05,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-06,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-07,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-08,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-09,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-10,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-11,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-12,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-13,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-14,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-15,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-16,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-17,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-18,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-19,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-20,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-21,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-22,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-23,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-24,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-25,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-26,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-27,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-02-28,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-01,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-02,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-03,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-04,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-05,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-06,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-07,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-08,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-09,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-10,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-11,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-12,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-13,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-14,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-15,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-16,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-17,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-18,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-19,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-20,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-21,1.14e-06,1.14e-06,,1.6507425925925926e-06
2009-03-22,1.14e-06,1.14e-06,,1.6507425925925926e-06
