date,row_index,hardware_name,TH/J,max_efficiency,year
2011-03-01,0,5870,1.906e-06,3.78e-06,2011
2011-03-01,1,6870,1.7264e-06,3.78e-06,2011
2011-03-06,3,HD5970,2.0053e-06,3.78e-06,2011
2011-03-06,4,5870,1.906e-06,3.78e-06,2011
2011-03-06,5,5850,1.8195e-06,3.78e-06,2011
2011-04-18,6,5870,1.906e-06,3.78e-06,2011
2011-04-18,8,5970,2.0053e-06,3.78e-06,2011
2011-04-18,9,5870,1.906e-06,3.78e-06,2011
2011-04-20,10,Radeon 5970,2.0053e-06,3.78e-06,2011
2011-05-16,15,5870 bios,1.906e-06,3.78e-06,2011
2011-05-16,16,3x5850,1.8195e-06,3.78e-06,2011
2011-05-16,18,non-reference Sapphire 5870,1.906e-06,3.78e-06,2011
2011-05-16,20,reference 5850,1.8195e-06,3.78e-06,2011
2011-05-17,27,Zotac ION,6.7e-08,3.78e-06,2011
2011-05-22,30,5970,2.0053e-06,3.78e-06,2011
2011-05-22,31,6990,1.9056e-06,3.78e-06,2011
2011-05-22,32,5870,1.906e-06,3.78e-06,2011
2011-05-22,33,5850,1.8195e-06,3.78e-06,2011
2011-05-22,34,5850,1.8195e-06,3.78e-06,2011
2011-05-22,36,5830,1.5451999999999998e-06,3.78e-06,2011
2011-05-22,40,GeForce 9600 GSO,1.31e-07,3.78e-06,2011
2011-05-23,42,Radeon 6990,1.9056e-06,3.78e-06,2011
2011-05-23,43,5870s,1.906e-06,3.78e-06,2011
2011-05-28,44,5870s,1.906e-06,3.78e-06,2011
2011-06-01,45,HD5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-01,46,HD5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-01,47,HD5850,1.8195e-06,3.78e-06,2011
2011-06-01,48,HD 5770,1.9401e-06,3.78e-06,2011
2011-06-01,49,HD5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-01,50,HD5850,1.8195e-06,3.78e-06,2011
2011-06-01,51,HD5850,1.8195e-06,3.78e-06,2011
2011-06-03,52,XFX 5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-04,53,6990s,1.9056e-06,3.78e-06,2011
2011-06-04,54,2 6850s,1.3996e-06,3.78e-06,2011
2011-06-04,55,5850s,1.8195e-06,3.78e-06,2011
2011-06-04,56,5830s,1.5451999999999998e-06,3.78e-06,2011
2011-06-07,58,5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-07,59,5850,1.8195e-06,3.78e-06,2011
2011-06-07,62,Sapphire 5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-08,68,3x 6950,1.8507e-06,3.78e-06,2011
2011-06-10,71,5850,1.8195e-06,3.78e-06,2011
2011-06-13,73,5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-26,74,HD 5850s,1.8195e-06,3.78e-06,2011
2011-06-27,75,5850,1.8195e-06,3.78e-06,2011
2011-06-27,76,5770,1.9401e-06,3.78e-06,2011
2011-06-28,77,5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-29,78,5830,1.5451999999999998e-06,3.78e-06,2011
2011-06-30,80,gts450,4.27e-07,3.78e-06,2011
2011-06-30,81,GT 220,8.400000000000001e-08,3.78e-06,2011
2011-07-13,83,5830,1.5451999999999998e-06,3.78e-06,2011
2011-07-13,84,5830,1.5451999999999998e-06,3.78e-06,2011
2011-07-13,85,5830,1.5451999999999998e-06,3.78e-06,2011
2011-07-17,88,6970,1.8507e-06,3.78e-06,2011
2011-08-04,89,5830,1.5451999999999998e-06,3.78e-06,2011
2012-03-02,96,5970,2.0053e-06,2.33e-05,2012
2012-03-10,98,5870,1.906e-06,2.33e-05,2012
2012-04-03,101,HD 5970s,2.0053e-06,2.33e-05,2012
2012-04-21,102,x6500,2.325e-05,2.33e-05,2012
2012-04-21,103,x6500 fpga,2.325e-05,2.33e-05,2012
2012-05-23,105,BitForce,1.04e-05,2.33e-05,2012
2012-06-25,111,2 6850's,1.3996e-06,2.33e-05,2012
2012-06-25,112,5830,1.5451999999999998e-06,2.33e-05,2012
2012-07-14,113,BitForce Jalapeno,1.04e-05,2.33e-05,2012
2012-07-25,114,5830,1.5451999999999998e-06,2.33e-05,2012
2012-07-25,115,5770,1.9401e-06,2.33e-05,2012
2012-07-25,116,5850,1.8195e-06,2.33e-05,2012
2012-07-25,117,Radeon 5970,2.0053e-06,2.33e-05,2012
2012-09-11,120,mod miner quad,2e-05,2.33e-05,2012
2012-12-17,126,single sc,0.00025,0.00025,2012
2012-12-31,127,5830,1.5451999999999998e-06,0.00025,2012
2012-12-31,128,6950,1.9399e-06,0.00025,2012
2012-12-31,130,6970,1.8507e-06,0.00025,2012
2013-01-18,131,5850,1.8195e-06,0.00025,2013
2013-02-01,134,BFL,0.00025,0.00025,2013
2013-02-02,135,Icarus FPGA,1.979e-05,0.00025,2013
2013-02-07,138,BFL,0.00025,0.00025,2013
2013-02-13,139,5970,2.0053e-06,0.00025,2013
2013-04-02,147,6950,1.9399e-06,0.00025,2013
2013-04-02,148,6870,1.7264e-06,0.00025,2013
2013-04-12,149,BFL ASIC,0.00025,0.00025,2013
2013-04-12,150,BFL 5 gh/s units,0.00025,0.00025,2013
2013-04-25,156,BFL and Icarus FPGAs,0.00025,0.00025,2013
2013-05-02,162,AMD Radeon HD 6750M,1.467e-06,0.00025,2013
2013-05-17,166,BFL,0.00025,0.00025,2013
2013-05-20,172,6950s,1.9399e-06,0.00025,2013
2013-05-27,175,bfl's FPGA,0.00025,0.00025,2013
2013-06-06,181,Butterfly Labs Jalapeno,0.00025,0.00025,2013
2013-06-06,183,Klondike,0.00016,0.00025,2013
2013-06-08,187,BFL Asic,0.00025,0.00025,2013
2013-06-19,209,Terrahash DX,0.00014,0.00025,2013
2013-06-23,213,KNC SATURN,0.0004,0.0004,2013
2013-06-26,217,KNC Miner Saturn,0.0004,0.0004,2013
2013-06-28,220,Jupiter KNCMiner,0.0004,0.0004,2013
2013-07-07,235,KNC Jupiter,0.0004,0.0004,2013
2013-07-14,241,2 KnC Jupiter 400Gh/s,0.0004,0.0004,2013
2013-09-15,315,KnCMiner,0.0004,0.0004,2013
2013-09-19,322,HashFast,0.000909,0.000909,2013
2013-09-22,324,HashFast,0.000909,0.000909,2013
2013-09-22,327,HashFast Sierra,0.000909,0.000909,2013
2013-09-23,332,HashFast Sierra,0.000909,0.000909,2013
2013-09-24,333,HashFast Sierra,0.000909,0.000909,2013
2013-09-24,335,Sierra,0.000909,0.000909,2013
2013-09-24,336,Hash Fast Baby Jet,0.000909,0.000909,2013
2013-09-26,341,KnC,0.0004,0.000909,2013
2013-09-30,346,KnCMiner Saturn,0.0004,0.000909,2013
2013-10-01,348,KnC Jupiter,0.0004,0.000909,2013
2013-10-07,351,KnC Jupiter,0.0004,0.000909,2013
2013-10-09,352,HashFast Sierra,0.000909,0.000909,2013
2013-10-10,354,HashFast Baby Jet,0.000909,0.000909,2013
2013-10-10,355,Avalon,0.000107,0.000909,2013
2013-10-10,358,Avalon,0.000107,0.000909,2013
2013-10-17,364,R5 KnC Jupiter,0.0004,0.000909,2013
2013-10-19,366,KnC Jupiter,0.0004,0.000909,2013
2013-10-24,369,KnC Jupiter,0.0004,0.000909,2013
2013-11-03,374,Avalon,0.000107,0.000909,2013
2013-11-03,375,KNC Jupiter,0.0004,0.000909,2013
2013-11-15,400,KnC Jupiter,0.0004,0.000909,2013
2013-12-03,416,AntMiner S1,0.0005,0.001429,2013
2013-12-05,418,KnCMiner Neptune,0.001429,0.001429,2013
