row_index,hardware_name
0,Breakout boards
1,Mouser Pt# 651-1711301
2,Server PSU
3,dps1000 models
4,antminers s9
5,antminers s9
6,Raspberry Pi
8,64 MB DRAM
9,USB to serial converter
11,power supply
12,Antminer S1
13,S7s
14,Block Eruptor Cubes
16,Raspberry Pi 2
17,Avalon 741
20,741s
21,AUC
22,RPI 1.2
23,Raspberry Pi 3
24,Antminer U3
25,apw3++
26,double pole breaker
27,breaker box
28,50 amp main breaker
29,150 amps
30,S1
31,S2
32,ASIC Block Erupter USB
33,RaspberryPi2
34,U1
35,BXM
36,BXF
37,S5
38,U2
39,S5 boards
40,butterfly labs jalapeno
41,server PSU
42,Corsair ATX PSU
43,240v 30a pdus
44,s9
45,Antminer S9
46,php-mpos
47,ANT Miners S9
49,antpool
50,s7
51,antminer S9
52,BF16
53,BF250
54,Antminer S9
55,Antminer S9
56,smart-ups
57,bitmain apw3++
58,H-boards
59,Antminer S9
61,S9 antminer
62,Antminer S5
64,Giga-watt tokens
65,m3 miner
66,5 other miners
67,Antminer S9
68,APW3++
70,"4"" adapter"
71,S9 miner
72,Antminer
73,PC
74,phone
76,computer
77,cell phone
80,windows
81,A/C unit
82,Antminer S9
83,S7
84,S7
85,S7
87,Antminer S7
89,S7's
90,S9
91,APC
92,S9
94,Avalon 741
96,laptop
97,Antminer S9
98,Sub Panel
99,32A BLUE (2P+E) plugs
100,Tripp Lite PDU (PDUH32HV19)
101,Bitmain AWP3++ power supply
102,Breaker Panel
103,APW3++
105,PSU
106,S9
107,server
108,attic access
109,garage
110,S9
111,cold storage
112,propane heater
113,Antminer S9
114,Antminer
115,Router
116,Ethernet
117,APW3++ Power Supply Unit
118,APW3++
119,S9
120,Netgear ProSafe FS105
121,Ethernet switch
122,IBM DPS 2000W
123,HVAC
124,Apw3
125,Nema6 receptacles
126,APW3
127,S9
128,E9
129,10/2 wire
130,ant pool
131,S9
132,Antminer S9
134,Pipes
135,Air condition 900 btu
136,S9
137,SUSE Linux Enterprise Server 11 SP2 (x86_64)
138,S9
139,Kill-A-Watt
140,APW3++
141,GTX 760
142,redfury asic
143,hashcard
144,antminer S9 14 TH
145,hash board
147,Bitmain s7/s9/t9/etc
149,power supplies
150,750s
151,1200
152,breakout boards
154,2-pole 30amp circuits
155,EVGA 1300G2 PSUs
156,GPU rigs
157,PDUs
158,30 amp breaker
159,s9
160,server room
163,blanking panels
164,server racks
165,Antminer S9
166,wireless gateway
168,APW3
169,S9
170,Antminer S9
171,PSU
174,Antminer
175,Avalon Controller
176,Router
177,air conditioners
178,PSUs
180,Antminer S7
182,psu
183,S9
184,APW3
185,Elegiant wifi repeater
186,Antminer
187,E9+
188,psu
189,6.3T e9
190,BM's custom ARM SOC computers
191,BeagleBone
193,E9+
194,computer
195,S9
196,ebit e9 plus 9T
197,Avalon 741
198,AUC3
199,Hash Boards
200,Controller
201,Miner
202,PSU
203,Raspberry Pi
204,Pi
205,Avalon 741
206,Miners
207,Avalon 741
208,SP10
210,dedicated IP
211,S9s
212,January batch S9s
213,PSU AWS3++
214,Antminer S9
215,hash boards
216,antminer s9
219,browser
220,reset button
222,port
223,Avalon1 unit
224,PSU
225,Claymore
226,ASIC
227,power supply
228,Hashboard
229,S9 13.5t
230,Bitmain PSU
231,power supply
