row_index,date
0,2018-01-05 20:16:29
1,2018-01-09 05:31:31
3,2018-01-09 05:31:31
4,2018-01-09 05:31:31
6,2018-01-09 05:31:31
7,2018-01-09 05:31:31
14,2018-02-23 22:47:34
15,2018-02-23 22:47:34
16,2018-02-26 16:34:51
21,2018-02-26 16:34:51
22,2018-02-26 16:34:51
23,2018-02-26 16:34:51
27,2018-02-28 19:35:47
28,2018-03-04 04:47:26
30,2018-03-10 16:57:56
31,2018-04-20 13:59:15
33,2018-04-30 15:34:15
34,2018-05-13 22:39:17
35,2018-05-13 22:39:17
36,2018-06-26 00:44:46
37,2018-06-26 00:44:46
38,2018-08-24 18:22:22
39,2018-08-24 18:22:22
40,2018-09-27 20:34:54
41,2019-04-26 03:53:09
42,2019-06-24 06:08:48
43,2019-06-24 06:08:48
44,2019-06-24 06:08:48
45,2019-06-26 03:14:49
46,2019-07-06 03:42:18
49,2019-07-06 03:42:18
51,2019-07-06 03:42:18
53,2019-10-06 21:48:11
55,2019-12-21 22:06:46
58,2020-02-03 00:59:24
59,2020-06-12 18:41:36
60,2021-11-24 00:16:11
61,2021-11-24 00:16:11
62,2021-11-24 00:16:11
63,2022-01-03 21:29:19
65,2022-03-04 19:45:17
66,2022-03-24 14:38:43
68,2022-05-13 05:40:45
69,2022-09-12 01:41:32
71,2023-02-13 20:06:05
79,2023-05-02 22:48:06
80,2023-08-02 23:27:17
81,2023-08-02 23:27:17
84,2023-09-17 04:33:26
