row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
0,5870,118,,2011-03-01,411.67,1.9060
1,6870,127,,2011-03-01,301.45,1.7264
2,poclbm,-1,,2011-03-05,,
3,HD5970,119,,2011-03-06,700.97,2.0053
4,5870,118,,2011-03-06,411.67,1.9060
5,5850,117,70,2011-03-06,346.78,1.8195
6,5870,118,,2011-04-18,411.67,1.9060
7,Intel Graphics Media Accelerator GMA 4500M,-1,,2011-04-18,,
8,5970,119,,2011-04-18,700.97,2.0053
9,5870,118,,2011-04-18,411.67,1.9060
10,Radeon 5970,119,,2011-04-20,700.97,2.0053
11,Amazon EC2 Cluster GPU Instances,-1,2.10,2011-05-06,,
12,Nvidia 295,-1,,2011-05-16,,
13,Thermaltake W0133RU ToughPower 1200W Modular Power Supply,-1,200,2011-05-16,,
14,iPhone,-1,,2011-05-16,,
15,5870 bios,118,,2011-05-16,411.67,1.9060
16,3x5850,117,,2011-05-16,346.78,1.8195
17,ToughPower 1350W supply,-1,220,2011-05-16,,
18,non-reference Sapphire 5870,118,,2011-05-16,411.67,1.9060
19,graphics cards,-1,,2011-05-16,,
20,reference 5850,117,,2011-05-16,346.78,1.8195
21,Intel E6300,-1,,2011-05-16,,
22,Intel D975XBX,-1,55,2011-05-16,,
23,Coolermaster 700W Silent Pro,-1,79,2011-05-16,,
24,motherboards,-1,,2011-05-16,,
25,2GB DDR2 667,-1,,2011-05-16,,
26,PSU,-1,,2011-05-16,,
27,Zotac ION,244,,2011-05-17,1.8,0.067
28,550w,-1,,2011-05-22,,
29,69xx,-1,,2011-05-22,,
30,5970,119,,2011-05-22,700.97,2.0053
31,6990,131,,2011-05-22,772.28,1.9056
32,5870,118,,2011-05-22,411.67,1.9060
33,5850,117,185,2011-05-22,346.78,1.8195
34,5850,117,,2011-05-22,346.78,1.8195
35,58xx,-1,,2011-05-22,,
36,5830,116,99,2011-05-22,300.18,1.5452
37,2.5 dual core,-1,,2011-05-22,,
38,MSI,-1,,2011-05-22,,
39,5800 series cards,-1,,2011-05-22,,
40,GeForce 9600 GSO,188,,2011-05-22,11.75,0.131
41,ATI 5xxx GPUs,-1,,2011-05-23,,
42,Radeon 6990,131,,2011-05-23,772.28,1.9056
43,5870s,118,,2011-05-23,411.67,1.9060
44,5870s,118,,2011-05-28,411.67,1.9060
45,HD5830,116,280,2011-06-01,300.18,1.5452
46,HD5830,116,126,2011-06-01,300.18,1.5452
47,HD5850,117,288,2011-06-01,346.78,1.8195
48,HD 5770,115,,2011-06-01,212.94,1.9401
49,HD5830,116,,2011-06-01,300.18,1.5452
50,HD5850,117,,2011-06-01,346.78,1.8195
51,HD5850,117,,2011-06-01,346.78,1.8195
52,XFX 5830,116,109,2011-06-03,300.18,1.5452
53,6990s,131,,2011-06-04,772.28,1.9056
54,2 6850s,126,,2011-06-04,240.41,1.3996
55,5850s,117,,2011-06-04,346.78,1.8195
56,5830s,116,,2011-06-04,300.18,1.5452
57,Tri Crossfire setup,-1,,2011-06-07,,
58,5830,116,150,2011-06-07,300.18,1.5452
59,5850,117,200,2011-06-07,346.78,1.8195
60,ATI gpu,-1,,2011-06-07,,
61,<link>,-1,,2011-06-07,,
62,Sapphire 5830,116,,2011-06-07,300.18,1.5452
63,Nvidia Geforce 8500 GT,172,,2011-06-07,2.4,unknown
64,Asrock Z68 Extreme4 motherboard,-1,,2011-06-08,,
65,i5-2500k,326,,2011-06-08,44,20.6
66,Antec 300 illusion,-1,,2011-06-08,,
67,Antec 902V3 case,-1,,2011-06-08,,
68,3x 6950,130,,2011-06-08,394.66,1.8507
69,Silverstone Strider 1200W Gold PSU,-1,,2011-06-08,,
70,PCI-E 1x to 16x adapter,-1,,2011-06-10,,
71,5850,117,,2011-06-10,346.78,1.8195
72,BitMiner,-1,,2011-06-10,,
73,5830,116,,2011-06-13,300.18,1.5452
74,HD 5850s,117,,2011-06-26,346.78,1.8195
75,5850,117,,2011-06-27,346.78,1.8195
76,5770,115,,2011-06-27,212.94,1.9401
77,5830,116,,2011-06-28,300.18,1.5452
78,5830,116,,2011-06-29,300.18,1.5452
79,MSI 890FXA-GD70 motherboard,-1,,2011-06-29,,
80,gts450,218,,2011-06-30,45.28,0.427
81,GT 220,201,,2011-06-30,10.8,0.084
82,ufasoft bulit in,-1,,2011-07-04,,
83,5830,116,,2011-07-13,300.18,1.5452
84,5830,116,,2011-07-13,300.18,1.5452
85,5830,116,800,2011-07-13,300.18,1.5452
86,Maxeler Technologies,-1,,2011-07-15,,
87,LinuxCoin,-1,,2011-07-15,,
88,6970,130,,2011-07-17,394.66,1.8507
89,5830,116,,2011-08-04,300.18,1.5452
90,ASICs,-1,,2011-10-20,,
91,FPGAs,-1,,2011-10-20,,
92,Custom FPGA Mining Board: X6000/X6500,-1,,2011-12-21,,
93,cgminer,-1,,2011-12-29,,
94,cgminer 7970,139,,2012-02-05,84.8,unknown
95,cgminer,-1,,2012-02-07,,
96,5970,119,,2012-03-02,700.97,2.0053
97,Cooler Master Power Supply,-1,,2012-03-10,,
98,5870,118,,2012-03-10,411.67,1.9060
99,BFL Singles,-1,,2012-04-03,,
100,Rig,-1,,2012-04-03,,
101,HD 5970s,119,,2012-04-03,700.97,2.0053
102,x6500,92,560.68,2012-04-21,40015,23.25
103,x6500 fpga,92,580,2012-04-21,40015,23.25
104,BeagleBone,-1,89,2012-05-13,,
105,BitForce,84,,2012-05-23,8324,10.4
106,ATI 3800,-1,,2012-05-28,,
107,ATI 3870x2,-1,,2012-05-28,,
108,BTCMiner,-1,,2012-06-13,,
109,bemicro,-1,,2012-06-18,,
110,ZTEX boards,93,,2012-06-21,9017,unknown
111,2 6850's,126,,2012-06-25,240.41,1.3996
112,5830,116,,2012-06-25,300.18,1.5452
113,BitForce Jalapeno,84,150,2012-07-14,8324,10.4
114,5830,116,,2012-07-25,300.18,1.5452
115,5770,115,,2012-07-25,212.94,1.9401
116,5850,117,,2012-07-25,346.78,1.8195
117,Radeon 5970,119,,2012-07-25,700.97,2.0053
118,cgminer,-1,,2012-09-11,,
119,BFL Single,32,,2012-09-11,60000,250
120,mod miner quad,90,,2012-09-11,80012,20
121,FPGAs,-1,,2012-09-11,,
