row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
0,5870,118,,2011-03-01,411.67,1.9060
1,6870,127,,2011-03-01,301.45,1.7264
3,HD5970,119,,2011-03-06,700.97,2.0053
4,5870,118,,2011-03-06,411.67,1.9060
5,5850,117,70,2011-03-06,346.78,1.8195
6,5870,118,,2011-04-18,411.67,1.9060
8,5970,119,,2011-04-18,700.97,2.0053
9,5870,118,,2011-04-18,411.67,1.9060
10,Radeon 5970,119,,2011-04-20,700.97,2.0053
15,5870 bios,118,,2011-05-16,411.67,1.9060
16,3x5850,117,,2011-05-16,346.78,1.8195
18,non-reference Sapphire 5870,118,,2011-05-16,411.67,1.9060
20,reference 5850,117,,2011-05-16,346.78,1.8195
27,Zotac ION,244,,2011-05-17,1.8,0.067
30,5970,119,,2011-05-22,700.97,2.0053
31,6990,131,,2011-05-22,772.28,1.9056
32,5870,118,,2011-05-22,411.67,1.9060
33,5850,117,185,2011-05-22,346.78,1.8195
34,5850,117,,2011-05-22,346.78,1.8195
36,5830,116,99,2011-05-22,300.18,1.5452
40,GeForce 9600 GSO,188,,2011-05-22,11.75,0.131
42,Radeon 6990,131,,2011-05-23,772.28,1.9056
43,5870s,118,,2011-05-23,411.67,1.9060
44,5870s,118,,2011-05-28,411.67,1.9060
45,HD5830,116,280,2011-06-01,300.18,1.5452
46,HD5830,116,126,2011-06-01,300.18,1.5452
47,HD5850,117,288,2011-06-01,346.78,1.8195
48,HD 5770,115,,2011-06-01,212.94,1.9401
49,HD5830,116,,2011-06-01,300.18,1.5452
50,HD5850,117,,2011-06-01,346.78,1.8195
51,HD5850,117,,2011-06-01,346.78,1.8195
52,XFX 5830,116,109,2011-06-03,300.18,1.5452
53,6990s,131,,2011-06-04,772.28,1.9056
54,2 6850s,126,,2011-06-04,240.41,1.3996
55,5850s,117,,2011-06-04,346.78,1.8195
56,5830s,116,,2011-06-04,300.18,1.5452
58,5830,116,150,2011-06-07,300.18,1.5452
59,5850,117,200,2011-06-07,346.78,1.8195
62,Sapphire 5830,116,,2011-06-07,300.18,1.5452
63,Nvidia Geforce 8500 GT,172,,2011-06-07,2.4,unknown
65,i5-2500k,326,,2011-06-08,44,20.6
68,3x 6950,130,,2011-06-08,394.66,1.8507
71,5850,117,,2011-06-10,346.78,1.8195
73,5830,116,,2011-06-13,300.18,1.5452
74,HD 5850s,117,,2011-06-26,346.78,1.8195
75,5850,117,,2011-06-27,346.78,1.8195
76,5770,115,,2011-06-27,212.94,1.9401
77,5830,116,,2011-06-28,300.18,1.5452
78,5830,116,,2011-06-29,300.18,1.5452
80,gts450,218,,2011-06-30,45.28,0.427
81,GT 220,201,,2011-06-30,10.8,0.084
83,5830,116,,2011-07-13,300.18,1.5452
84,5830,116,,2011-07-13,300.18,1.5452
85,5830,116,800,2011-07-13,300.18,1.5452
88,6970,130,,2011-07-17,394.66,1.8507
89,5830,116,,2011-08-04,300.18,1.5452
94,cgminer 7970,139,,2012-02-05,84.8,unknown
96,5970,119,,2012-03-02,700.97,2.0053
98,5870,118,,2012-03-10,411.67,1.9060
101,HD 5970s,119,,2012-04-03,700.97,2.0053
102,x6500,92,560.68,2012-04-21,40015,23.25
103,x6500 fpga,92,580,2012-04-21,40015,23.25
105,BitForce,84,,2012-05-23,8324,10.4
110,ZTEX boards,93,,2012-06-21,9017,unknown
111,2 6850's,126,,2012-06-25,240.41,1.3996
112,5830,116,,2012-06-25,300.18,1.5452
113,BitForce Jalapeno,84,150,2012-07-14,8324,10.4
114,5830,116,,2012-07-25,300.18,1.5452
115,5770,115,,2012-07-25,212.94,1.9401
116,5850,117,,2012-07-25,346.78,1.8195
117,Radeon 5970,119,,2012-07-25,700.97,2.0053
119,BFL Single,32,,2012-09-11,60000,250
120,mod miner quad,90,,2012-09-11,80012,20
125,Ztex boards,93,,2012-10-29,9017,unknown
126,single sc,32,,2012-12-17,60000,250
127,5830,116,,2012-12-31,300.18,1.5452
128,6950,129,,2012-12-31,366.39,1.9399
130,6970,130,,2012-12-31,394.66,1.8507
131,5850,117,,2013-01-18,346.78,1.8195
133,Avalon,20,,2013-02-01,300000,unknown
134,BFL,32,,2013-02-01,60000,250
135,Icarus FPGA,87,515.58,2013-02-02,3809,19.79
137,Avalon,20,,2013-02-07,300000,unknown
138,BFL,32,,2013-02-07,60000,250
139,5970,119,,2013-02-13,700.97,2.0053
141,Avalon ASIC,20,,2013-03-25,300000,unknown
142,AVALON,20,75,2013-03-25,300000,unknown
143,Avalon,20,,2013-03-26,300000,unknown
144,Avalon,20,,2013-03-26,300000,unknown
146,Avalon ASIC Batch 3,20,,2013-03-31,300000,unknown
147,6950,129,,2013-04-02,366.39,1.9399
148,6870,127,80,2013-04-02,301.45,1.7264
149,BFL ASIC,32,,2013-04-12,60000,250
150,BFL 5 gh/s units,32,275,2013-04-12,60000,250
152,Avalon ASIC,20,1200,2013-04-15,300000,unknown
153,ztex 1.15x FGPA,94,200,2013-04-15,21517,unknown
154,Avalon ASIC,20,,2013-04-20,300000,unknown
156,BFL and Icarus FPGAs,32,,2013-04-25,60000,250
157,Avalon ASICs,20,,2013-04-27,300000,unknown
158,Avalon ASICs,20,103960.935,2013-04-27,300000,unknown
159,Avalon ASICs,20,,2013-04-28,300000,unknown
160,Avalon ASIC chips,20,,2013-04-29,300000,unknown
162,AMD Radeon HD 6750M,125,,2013-05-02,219.5,1.467
164,Ztex 1.15y,95,599,2013-05-13,86017,unknown
165,Avalon ASIC Chips,20,,2013-05-15,300000,unknown
166,BFL,32,,2013-05-17,60000,250
169,Avalon ASIC,20,,2013-05-17,300000,unknown
170,Avalon ASIC Chips,20,,2013-05-18,300000,unknown
171,Avalon Chips,20,9.194,2013-05-19,300000,unknown
172,6950s,129,,2013-05-20,366.39,1.9399
173,Sapphire 7950 Vapor X,137,320,2013-05-22,544.25,unknown
174,Avalon ASIC Chips,20,,2013-05-24,300000,unknown
175,bfl's FPGA,32,,2013-05-27,60000,250
179,Sapphire 7950,137,,2013-05-31,544.25,unknown
181,Butterfly Labs Jalapeno,32,,2013-06-06,60000,250
183,Klondike,53,,2013-06-06,5200,160
186,Avalon,20,,2013-06-08,300000,unknown
