date,row_index,hardware_name,hardware_release_date,speed,power,noise,hash,profit,TH/J
2018-01-05 20:16:29,0,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-01-09 05:31:31,1,Antminer S7,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,0.00365815931941222
2018-01-09 05:31:31,3,S7,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,0.00365815931941222
2018-01-09 05:31:31,4,S7's,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,0.00365815931941222
2018-01-09 05:31:31,6,S7,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,0.00365815931941222
2018-01-09 05:31:31,7,S7,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,0.00365815931941222
2018-02-23 22:47:34,15,S9 Miners,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-02-26 16:34:51,16,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-02-26 16:34:51,21,Bitmain S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-02-28 19:35:47,27,Avalon 741,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,0.006347826086956522
2018-03-04 04:47:26,28,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-04-20 13:59:15,31,Avalon 841,Apr 2018,13.6Th/s,1290W,65db,SHA-256,-$2.52/day,0.010542635658914726
2018-04-30 15:34:15,33,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2018-06-26 00:44:46,37,AntMiner S3,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,0.0013060109289617485
2018-08-24 18:22:22,39,S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2019-04-26 03:53:09,41,Dragonmint T1,Apr 2018,16Th/s,1480W,75db,SHA-256,-$2.86/day,0.010810810810810811
2019-06-24 06:08:48,42,T9+,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,0.007332402234636872
2019-06-24 06:08:48,43,S9j,Aug 2018,14.5Th/s,1350W,76db,SHA-256,-$2.62/day,0.010740740740740742
2019-06-24 06:08:48,44,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2019-10-06 21:48:11,53,S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2019-12-21 22:06:46,55,Ant S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2020-02-03 00:59:24,58,Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,0.01020408163265306
2021-11-24 00:16:11,60,M32s,Nov 2020,66Th/s,3432W,75db,SHA-256,-$4.09/day,0.019230769230769232
2022-03-04 19:45:17,65,Avalon 1246,Jan 2021,90Th/s,3420W,75db,SHA-256,-$1.95/day,0.02631578947368421
2023-02-13 20:06:05,71,s19Jpro,Aug 2021,96Th/s,2832W,75db,SHA-256,$0.27/day,0.03389830508474576
2023-08-02 23:27:17,80,Innosilicon T2T-26T,Jul 2021,26Th/s,2100W,75db,SHA-256,-$3.77/day,0.012380952380952381
