,date,hardware_name
0,2021-10-05,Avalon
1,2013-11-29,AMD R9 270
2,2015-03-08,GTX 660
3,2020-12-30,Canaan Avalon 1066
4,2013-09-25,Avalon
5,2013-12-30,Antminer U1
6,2014-09-13,Antminer S1
7,2022-03-01,S9
8,2014-04-15,Bitfury
9,2013-11-26,Antminer S1
10,2021-05-06,S19
11,2022-01-04,"Innosilicon T2T, T2TZ, T2T Turbo"
12,2014-03-31,Antminer S1
13,2013-10-23,Bitmine Rig
14,2017-10-09,AvalonMiner 1
15,2013-07-21,BitFury
16,2013-03-25,BTCFPGA bASIC
17,2014-02-08,Prospero X-1
18,2014-09-02,Antminer S9
19,2013-06-25,Avalon
20,2013-05-23,Avalon Chips
