,date,hardware_price
0,2013-09-26,709 Euro
1,2013-07-04,60EUR
2,2014-10-06,0.09BTC
3,2013-10-23,$139 Paypal
4,2022-07-15,$175
5,2013-11-27,$495
6,2017-10-27,$12
7,2017-01-13,$11.03 per fan
8,2019-11-22,98 usd
9,2022-10-25,$50
10,2014-03-18,$175
11,2013-10-21,1.35BTC
12,2014-02-05,$20 ea.
13,2014-05-23,"$3,200"
14,2014-06-02,$278
15,2020-01-14,$134 + shipping
16,2023-07-18,"$10,000-$15,000"
17,2014-05-22,$1650
18,2014-03-08,0.065 bitcoin each
19,2013-03-26,76.46 BTC
20,2014-04-26,$114.73/single 11Ghash/s unit
