date,hardware_name,hardware_price
2011-03-01,5870,unknown price
2011-03-01,6870,unknown price
2011-03-05,poclbm,unknown price
2011-03-06,HD5970,unknown price
2011-03-06,5870,unknown price
2011-03-06,5850,$70
2011-04-18,5970,unknown price
2011-04-18,5870,unknown price
2011-04-18,5870,unknown price
2011-04-18,Intel Graphics Media Accelerator GMA 4500M,unknown price
2011-04-20,Radeon 5970,unknown price
2011-05-06,Amazon EC2 Cluster GPU Instances,$2.10 per hour
2011-05-16,2GB DDR2 667,unknown price
2011-05-16,motherboards,unknown price
2011-05-16,Coolermaster 700W Silent Pro,$79
2011-05-16,Intel D975XBX,$55
2011-05-16,graphics cards,unknown price
2011-05-16,Intel E6300,unknown price
2011-05-16,reference 5850,unknown price
2011-05-16,PSU,unknown price
2011-05-16,non-reference Sapphire 5870,unknown price
2011-05-16,Nvidia 295,unknown price
2011-05-16,ToughPower 1350W supply,$220
2011-05-16,3x5850,unknown price
2011-05-16,5870 bios,unknown price
2011-05-16,iPhone,unknown price
2011-05-16,Thermaltake W0133RU ToughPower 1200W Modular Power Supply,$200
2011-05-17,Zotac ION,unknown price
2011-05-22,5830,$99
2011-05-22,2.5 dual core,unknown price
2011-05-22,GeForce 9600 GSO,unknown price
2011-05-22,5800 series cards,unknown price
2011-05-22,58xx,unknown price
2011-05-22,MSI,unknown price
2011-05-22,5850,$185
2011-05-22,550w,unknown price
2011-05-22,5870,unknown price
2011-05-22,5850,unknown price
2011-05-22,6990,unknown price
2011-05-22,5970,unknown price
2011-05-22,69xx,unknown price
2011-05-23,ATI 5xxx GPUs,unknown price
2011-05-23,Radeon 6990,unknown price
2011-05-23,5870s,unknown price
2011-05-28,5870s,unknown price
2011-06-01,HD5830,$280
2011-06-01,HD5830,$126
2011-06-01,HD5850,$288
2011-06-01,HD 5770,unknown price
2011-06-01,HD5830,unknown price
2011-06-01,HD5850,unknown price
2011-06-01,HD5850,unknown price
2011-06-03,XFX 5830,$109
2011-06-04,5850s,unknown price
2011-06-04,5830s,unknown price
2011-06-04,2 6850s,unknown price
2011-06-04,6990s,unknown price
2011-06-07,Tri Crossfire setup,unknown price
2011-06-07,5830,$150
2011-06-07,5850,$200-300
2011-06-07,ATI gpu,unknown price
2011-06-07,<link>,unknown price
2011-06-07,Sapphire 5830,unknown price
2011-06-07,Nvidia Geforce 8500 GT,unknown price
2011-06-08,3x 6950,unknown price
2011-06-08,Antec 902V3 case,unknown price
2011-06-08,Silverstone Strider 1200W Gold PSU,unknown price
2011-06-08,Antec 300 illusion,unknown price
2011-06-08,i5-2500k,unknown price
2011-06-08,Asrock Z68 Extreme4 motherboard,unknown price
2011-06-10,PCI-E 1x to 16x adapter,unknown price
2011-06-10,5850,unknown price
2011-06-10,BitMiner,unknown price
2011-06-13,5830,unknown price
2011-06-26,HD 5850s,unknown price
2011-06-27,5770,unknown price
2011-06-27,5850,unknown price
2011-06-28,5830,unknown price
2011-06-29,5830,unknown price
2011-06-29,MSI 890FXA-GD70 motherboard,unknown price
2011-06-30,gts450,unknown price
2011-06-30,GT 220,unknown price
