date,hardware_name,hardware_price,hashrate,efficiency
2013-06-09,Bitfury-Metabank ASIC,3000$,120000,705
2013-06-17,Avalon chips,40€,unknown,unknown
2013-07-01,BFL,0.29BTC,500000,185
2013-07-09,ASICMiner USB,0.99BTC,336,130
2013-07-12,BFL ASIC Chips,59$,500000,185
2013-07-16,ASICMINER ERUPTER USB,1BTC,336,130
2013-07-23,KnCMiner Jupiter,1.2BTC,500000,400
2013-07-23,KnCMiner Jupiter,1.1BTC,500000,400
2013-08-16,KNCminer Jupiter,4BTC,500000,400
2013-08-29,ASICMINER USB Block Erupter,0.4BTC,336,130
2013-08-30,CoinTerra,1BTC,160000,unknown
2013-09-03,Hashfast Babyjet,1.09BTC,400000,909
2013-09-04,NEW Blade Miners,4BTC,unknown,unknown
2013-09-04,CoinTerra,13999$,160000,unknown
2013-09-09,XCrowd Cloud Hosting,85000$,unknown,unknown
2013-10-08,BFL ASICs,12.5$,500000,185
2013-10-18,Terraminer IV,1.5BTC,180000,140
2013-10-26,Black Arrow Bullet Run,123$,100000,1000
2013-11-08,ASICMiner Blades (Rev2),0.80BTC,10752,129
2013-11-28,Neptune GB,4BTC,unknown,unknown
2013-12-02,KNCminer Neptune,0.66BTC,300000,1429
2013-12-14,KnC NEPTUNE,0.05BTC,300000,1429
2014-02-04,ANTMINER S1 Dual Blades,1.35BTC,180000,500
