date,hardware_name,hardware_price,hashrate,efficiency
2013-06-09,Bitfury-Metabank ASIC,3000$,120000,705
2013-06-17,Avalon chips,40€,unknown,unknown
2013-07-01,BFL,24.406$,500000,185
2013-07-09,ASICMiner USB,74.26$,336,130
2013-07-12,BFL ASIC Chips,59$,500000,185
2013-07-16,ASICMINER ERUPTER USB,91.6$,336,130
2013-07-23,KnCMiner Jupiter,104.244$,500000,400
2013-07-23,KnCMiner Jupiter,95.557$,500000,400
2013-08-16,KNCminer Jupiter,393.0$,500000,400
2013-08-29,ASICMINER USB Block Erupter,47.432$,336,130
2013-08-30,CoinTerra,124.86$,160000,unknown
2013-09-03,Hashfast Babyjet,140.806$,400000,909
2013-09-04,NEW Blade Miners,488.76$,unknown,unknown
2013-09-04,CoinTerra,13999$,160000,unknown
2013-09-09,XCrowd Cloud Hosting,85000$,unknown,unknown
2013-10-08,BFL ASICs,12.5$,500000,185
2013-10-18,Terraminer IV,229.335$,180000,140
2013-10-26,Black Arrow Bullet Run,123$,100000,1000
2013-11-08,ASICMiner Blades (Rev2),267.2$,10752,129
2013-11-28,Neptune GB,4044.0$,unknown,unknown
2013-12-02,KNCminer Neptune,686.4$,300000,1429
2013-12-14,KnC NEPTUNE,42.75$,300000,1429
2014-02-04,ANTMINER S1 Dual Blades,1080.162$,180000,500
