row_index,hardware_name,hardware_index
0,5870,118
1,6870,127
2,poclbm,unknown
3,HD5970,119
4,5870,118
5,5850,117
6,5870,118
7,Intel Graphics Media Accelerator GMA 4500M,unknown
8,5970,119
9,5870,118
10,Radeon 5970,119
11,Amazon EC2 Cluster GPU Instances,unknown
12,Nvidia 295,unknown
13,Thermaltake W0133RU ToughPower 1200W Modular Power Supply,unknown
14,iPhone,unknown
15,5870 bios,118
16,3x5850,117
17,ToughPower 1350W supply,unknown
18,non-reference Sapphire 5870,118
19,graphics cards,unknown
20,reference 5850,117
21,Intel E6300,unknown
22,Intel D975XBX,unknown
23,Coolermaster 700W Silent Pro,unknown
24,motherboards,unknown
25,2GB DDR2 667,unknown
26,PSU,unknown
27,Zotac ION,244
28,550w,unknown
29,69xx,unknown
30,5970,119
31,6990,131
32,5870,118
33,5850,117
34,5850,117
35,58xx,unknown
36,5830,116
37,2.5 dual core,unknown
38,MSI,unknown
39,5800 series cards,unknown
40,GeForce 9600 GSO,188
41,ATI 5xxx GPUs,unknown
42,Radeon 6990,131
43,5870s,118
44,5870s,118
45,HD5830,116
46,HD5830,116
47,HD5850,117
48,HD 5770,115
49,HD5830,116
50,HD5850,117
51,HD5850,117
52,XFX 5830,116
53,6990s,131
54,2 6850s,126
55,5850s,117
56,5830s,116
57,Tri Crossfire setup,unknown
58,5830,116
59,5850,117
60,ATI gpu,unknown
61,<link>,unknown
62,Sapphire 5830,116
63,Nvidia Geforce 8500 GT,172
64,Asrock Z68 Extreme4 motherboard,unknown
65,i5-2500k,326
66,Antec 300 illusion,unknown
67,Antec 902V3 case,unknown
68,3x 6950,130
69,Silverstone Strider 1200W Gold PSU,unknown
70,PCI-E 1x to 16x adapter,unknown
71,5850,117
72,BitMiner,unknown
73,5830,116
74,HD 5850s,117
75,5850,117
76,5770,115
77,5830,116
78,5830,116
79,MSI 890FXA-GD70 motherboard,unknown
80,gts450,218
81,GT 220,201
82,ufasoft bulit in,unknown
83,5830,116
84,5830,116
85,5830,116
86,Maxeler Technologies,unknown
87,LinuxCoin,unknown
88,6970,130
89,5830,116
90,ASICs,unknown
91,FPGAs,unknown
92,Custom FPGA Mining Board: X6000/X6500,unknown
93,cgminer,unknown
94,cgminer 7970,139
95,cgminer,unknown
96,5970,119
97,Cooler Master Power Supply,unknown
98,5870,118
99,BFL Singles,unknown
100,Rig,unknown
101,HD 5970s,119
102,x6500,92
103,x6500 fpga,92
104,BeagleBone,unknown
105,BitForce,84
106,ATI 3800,unknown
107,ATI 3870x2,unknown
108,BTCMiner,unknown
109,bemicro,unknown
110,ZTEX boards,93
111,2 6850's,126
112,5830,116
113,BitForce Jalapeno,84
114,5830,116
115,5770,115
116,5850,117
117,Radeon 5970,119
118,cgminer,unknown
119,BFL Single,32
120,mod miner quad,90
121,FPGAs,unknown
122,5870m,unknown
123,Alienware M17xr2 laptop,unknown
124,DD-WRT router,unknown
125,Ztex boards,93
126,single sc,32
127,5830,116
128,6950,129
129,pentium 4 pc,unknown
130,6970,130
131,5850,117
132,Avlon,unknown
133,Avalon,20
134,BFL,32
135,Icarus FPGA,87
136,BFL Announcement Trolling Museum #2,unknown
137,Avalon,20
138,BFL,32
139,5970,119
140,Gigabyte GV-R797OC-3GD,unknown
141,Avalon ASIC,20
142,AVALON,20
143,Avalon,20
144,Avalon,20
145,BFGMiner,unknown
146,Avalon ASIC Batch 3,20
147,6950,129
148,6870,127
149,BFL ASIC,32
150,BFL 5 gh/s units,32
151,25 GH/s ASIC miner,unknown
152,Avalon ASIC,20
153,ztex 1.15x FGPA,94
154,Avalon ASIC,20
155,BitMinter miner,unknown
156,BFL and Icarus FPGAs,32
157,Avalon ASICs,20
158,Avalon ASICs,20
159,Avalon ASICs,20
160,Avalon ASIC chips,20
161,poclbm,unknown
162,AMD Radeon HD 6750M,125
163,Dragon Bitcoin / Litecoin Mining Rig,unknown
164,Ztex 1.15y,95
165,Avalon ASIC Chips,20
166,BFL,32
167,ASIC,unknown
168,ASICMiner,unknown
169,Avalon ASIC,20
170,Avalon ASIC Chips,20
171,Avalon Chips,20
172,6950s,129
173,Sapphire 7950 Vapor X,137
174,Avalon ASIC Chips,20
175,bfl's FPGA,32
176,ASICMiner Erupter USB,unknown
177,ASICMiner Erupter USB,unknown
178,ATI cards,unknown
179,Sapphire 7950,137
180,Block Erupter USB,unknown
181,Butterfly Labs Jalapeno,32
182,Bitfury-Metabank ASIC 120 Gh/s,unknown
183,Klondike,53
184,KNCMiner,unknown
185,K16 Miner Assembly,unknown
186,Avalon,20
187,BFL Asic,32
188,Bitmine,unknown
189,AsicMiner,unknown
190,AVALON CHIPs,20
191,Jupiter KNCMiner,unknown
192,KNCminer Jupiter,unknown
193,Jupiter KNCMiner,unknown
194,K16 miner from 40 EUR,unknown
195,Avalon chips,20
196,KNCminer Jupiter,unknown
197,K16 Miner Assembly,unknown
198,AVALON CHIPs,20
199,ASICMiner Erupter USB,unknown
200,ASICMiner Erupter USB,unknown
201,K16 miner from 40 EUR,unknown
202,Avalon chips,unknown
203,Block Erupter USB,unknown
204,Bitfury ASIC,unknown
205,Avalon chips,unknown
206,K16 miner from 40 EUR,unknown
207,Avalon chips,unknown
208,K16 miner from 40 EUR,unknown
209,Terrahash DX,74
210,BFL 4 GH/s Chips,unknown
211,BFL Single SC Power Brick,unknown
212,Avalon ASIC chips,unknown
213,KNC SATURN,54
214,BFL 4 GH/s Chips,unknown
215,Spieder 8 Chips,unknown
216,KNCMiner,unknown
217,KNC Miner Saturn,54
218,Avalon Chip,unknown
219,XFX 6770,124
220,Jupiter KNCMiner,54
221,KNCMiner,unknown
222,ASICMINER USB Block Erupter,unknown
223,KNCMiner,unknown
224,ASICMiner Erupter USB,unknown
225,BFL asic,unknown
226,AVALON CHIPs,unknown
227,BFL(BitPay),unknown
228,K16 Miner Assembly,unknown
229,K16 from 40 EUR,unknown
230,Avalon Chips,unknown
231,Avalon chips,unknown
232,Avalon reference design from BitSyncom,unknown
233,KnC,unknown
234,BITFURY group buy,unknown
235,KNC Jupiter,54
236,Avalon,unknown
237,ASICMiner USB,unknown
238,ASICMiner Erupter USB,unknown
239,BFL ASIC Chips,unknown
240,USB Erupters,unknown
241,2 KnC Jupiter 400Gh/s,54
242,ASICMiner Erupter USB,unknown
243,BITFURY hosting,unknown
244,ASICMiner Erupter USB,unknown
245,Block Erupter USB,unknown
246,ASICMINER USB Block Erupter,unknown
247,USB Asic miners,unknown
248,ASICMINER,unknown
249,KNC,unknown
250,singles,unknown
251,BitburnersXX,unknown
252,BFL jalapenos,unknown
253,Bicknellski K1 Nano,unknown
254,AM blades,unknown
255,USBs,unknown
256,Bitfury,unknown
257,Avalon B3 4 module,unknown
258,Avalon K1,unknown
259,Avalon,unknown
260,minirigs,unknown
261,AsicMiner's USB,unknown
262,BFL,unknown
263,Bitfury 400gh,unknown
264,BFL ASIC Group Buy #2,unknown
265,ASICMiner Erupter USB,unknown
266,ASICminer Block Erupter USB,unknown
267,USB ASICs,unknown
268,block erupters,unknown
269,Bitfury ASIC Chips,unknown
270,Avalon Reselling and Hosting Plan,unknown
271,ASICminer Block Erupter USB,unknown
272,ASICMINER Erupter USB Miner,unknown
273,ASICminer Erupter USB,unknown
274,Kncminer,unknown
