date,hardware_name,hardware_price
2011-07-01,Saphires,unknown price
2011-07-01,5830's,unknown price
2011-07-01,HD 5770,unknown price
2011-09-14,5850s,unknown price
2013-01-02,GUI miner,unknown price
2013-06-08,AMD 6750M,unknown price
2013-06-08,FTDI drivers,unknown price
2013-07-09,ASICMiner USB,0.99 BTC
2013-09-04,CoinTerra,"$13,999"
2013-09-09,XCrowd Cloud Hosting,"$85,000 USD"
2013-10-08,BFL ASICs,$12.5/(GH/s)
2013-12-14,KnC NEPTUNE,0.05 B/Sh
2014-02-17,AntminerS1,0.0205BTC
2014-03-19,CGWatcher 1.3.5,unknown price
2014-09-06,Neptune,unknown price
2014-12-20,Bitmaintech Antminer S1,unknown price
2016-11-04,Avalon6,unknown price
2018-06-12,GPUs,unknown price
2018-06-12,S9,unknown price
2021-01-17,Innosilicon T2TZ,unknown price
2021-04-11,T17e PSU,unknown price
2021-04-18,A1 Love Core Aisen 24th,unknown price
2021-08-09,Avalon 1166,unknown price
2022-05-11,Raptor Power PDU,unknown price
2022-05-11,Raspberry Pi Zero,unknown price
2022-05-11,EKM,unknown
2022-11-05,ZTE f680 router,unknown price
