month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2013-01-01,0.00010472296,1.0,1,0.00025,-8.294049640102028,
2013-03-01,0.00012591657499999998,2.0,4,0.00025,-8.294049640102028,0.00010472295999974027
2013-04-01,0.0001257335,3.0,9,0.00025,-8.294049640102028,0.00011688625207990063
2013-05-01,0.00019365665000000004,4.0,16,0.00025,-8.294049640102028,0.00011607861267440323
2013-06-01,0.00035666666666666664,5.0,25,0.00025,-8.294049640102028,0.00014903959796793697
2013-08-01,0.0004,6.0,36,0.0004,-7.824046010856292,0.00021818522910536852
2013-09-01,0.0006663333333333333,7.0,49,0.0004,-7.824046010856292,0.00028852496227093326
2013-10-01,0.0003511666666666667,8.0,64,0.000909,-7.003165463786796,0.00046509900889486993
2013-11-01,0.0010605555555555555,9.0,81,0.000909,-7.003165463786796,0.0004201063263506114
2013-12-01,0.0009861343,10.0,100,0.001429,-6.550780380034407,0.000745308597630187
2014-01-01,0.00030078226,11.0,121,0.001429,-6.550780380034407,0.0006992788718981219
2014-02-01,0.0004502185,12.0,144,0.001429,-6.550780380034407,0.0007451023116902824
2014-03-01,0.0005,13.0,169,0.001429,-6.550780380034407,0.0006914691169018719
2014-04-01,0.0008236999999999999,14.0,196,0.002,-6.214608098422191,0.0004283421956230375
2014-05-01,0.0008937000000000001,15.0,225,0.002,-6.214608098422191,0.000586770055158414
2014-06-01,0.0009,16.0,256,0.002,-6.214608098422191,0.0006865016930764639
2014-07-01,0.00075275,17.0,289,0.002,-6.214608098422191,0.0008452082338700283
2014-08-01,0.000895,18.0,324,0.00316,-5.757183251383316,0.0008393775406017932
2014-09-01,0.00113025,19.0,361,0.00316,-5.757183251383316,0.0008750148718407684
2014-10-01,0.0010884285714285714,20.0,400,0.00535,-5.230658718074222,0.0009159660058093609
2014-11-01,0.0009645,21.0,441,0.00535,-5.230658718074222,0.0009933090086988341
2014-12-01,0.0013084475,22.0,484,0.00535,-5.230658718074222,0.0010526158532464546
2015-01-01,0.001403,23.0,529,0.00535,-5.230658718074222,0.001148757665734224
2015-03-01,0.0016285,24.0,576,0.00535,-5.230658718074222,0.001179103011254005
2015-04-01,0.0010940000000000001,25.0,625,0.00535,-5.230658718074222,0.0014203781608523106
2015-05-01,0.0014785,26.0,676,0.00535,-5.230658718074222,0.0013209427014002487
2015-06-01,0.0011595,27.0,729,0.00535,-5.230658718074222,0.0014820705428217494
2015-07-01,0.00166075,28.0,784,0.00535,-5.230658718074222,0.0012010076002560745
2015-08-01,0.0016235,29.0,841,0.00535,-5.230658718074222,0.0014784216693375146
2015-10-01,0.0025828,30.0,900,0.00714,-4.9420425026306445,0.0014149968664134856
2015-11-01,0.0016118,31.0,961,0.00714,-4.9420425026306445,0.0019599842308968517
2015-12-01,0.001429,32.0,1024,0.00714,-4.9420425026306445,0.0017646344095723673
2016-01-01,0.004,33.0,1089,0.00714,-4.9420425026306445,0.0019769534704288977
2016-02-01,0.0012156666666666668,34.0,1156,0.00714,-4.9420425026306445,0.0024774978187116783
2016-04-01,0.0029785000000000002,35.0,1225,0.00714,-4.9420425026306445,0.0017572096228465131
2016-06-01,0.0033190000000000003,36.0,1296,0.0102,-4.585367558691911,0.00308733561449479
2016-07-01,0.004,37.0,1369,0.0102,-4.585367558691911,0.002357471648153205
2016-10-01,0.003774,38.0,1444,0.0102,-4.585367558691911,0.0033193171957757537
2016-11-01,0.0009000000000000001,39.0,1521,0.0102,-4.585367558691911,0.003560156895547534
2016-12-01,0.006149428571428571,40.0,1600,0.0102,-4.585367558691911,0.0028258767187763784
2017-01-01,0.0039785,41.0,1681,0.0102,-4.585367558691911,0.0041904090510481475
2017-02-01,0.004,42.0,1764,0.0102,-4.585367558691911,0.0029367538240711887
2017-03-01,0.010182,43.0,1849,0.0102,-4.585367558691911,0.004808999054307303
2017-04-01,0.010182,44.0,1936,0.0102,-4.585367558691911,0.006273021043343506
2017-06-01,0.003193142857142857,45.0,2025,0.0102,-4.585367558691911,0.007147760259021287
2017-07-01,0.0031579999999999998,46.0,2116,0.0102,-4.585367558691911,0.0073888707504081285
2017-08-01,0.008121333333333333,47.0,2209,0.0102,-4.585367558691911,0.0065884327055899475
