row_index,date
0,2018-01-01 14:35:32
1,2018-01-01 14:35:32
2,2018-01-01 14:35:32
3,2018-01-01 18:00:35
4,2018-01-01 18:31:49
5,2018-01-01 18:31:49
6,2018-01-02 05:07:14
8,2018-01-02 05:07:14
9,2018-01-02 05:07:14
11,2018-01-02 05:07:14
12,2018-01-02 05:07:14
13,2018-01-02 05:17:30
14,2018-01-02 13:39:41
16,2018-01-02 16:08:08
17,2018-01-02 16:08:08
20,2018-01-02 16:08:08
21,2018-01-02 16:08:08
22,2018-01-02 16:08:08
23,2018-01-02 16:08:08
24,2018-01-03 02:17:29
25,2018-01-03 02:53:59
26,2018-01-03 02:53:59
27,2018-01-03 02:53:59
28,2018-01-03 02:53:59
29,2018-01-03 02:53:59
30,2018-01-03 10:33:03
31,2018-01-03 10:33:03
32,2018-01-03 10:33:03
33,2018-01-03 10:33:03
34,2018-01-03 10:33:03
35,2018-01-03 10:33:03
36,2018-01-03 10:33:03
37,2018-01-03 10:33:03
38,2018-01-03 10:33:03
39,2018-01-03 16:23:39
40,2018-01-03 20:10:40
41,2018-01-03 20:14:17
42,2018-01-03 20:14:17
43,2018-01-03 20:14:17
44,2018-01-03 20:14:17
45,2018-01-04 11:20:55
46,2018-01-04 12:13:44
47,2018-01-04 16:36:22
49,2018-01-04 21:02:43
50,2018-01-04 21:02:43
51,2018-01-05 07:29:01
52,2018-01-05 14:42:15
53,2018-01-05 14:42:15
54,2018-01-05 20:16:29
55,2018-01-05 21:21:23
56,2018-01-05 21:21:23
57,2018-01-05 21:21:23
58,2018-01-05 21:21:23
59,2018-01-06 01:43:14
61,2018-01-07 03:23:56
62,2018-01-07 10:25:12
64,2018-01-07 10:49:27
65,2018-01-07 16:34:03
66,2018-01-07 16:34:03
67,2018-01-07 16:46:41
68,2018-01-07 16:46:41
70,2018-01-07 18:12:48
71,2018-01-07 18:12:48
72,2018-01-07 23:16:54
73,2018-01-07 23:16:54
74,2018-01-07 23:16:54
76,2018-01-07 23:16:54
77,2018-01-07 23:16:54
80,2018-01-07 23:34:53
81,2018-01-07 23:34:53
82,2018-01-08 23:40:51
83,2018-01-09 05:31:31
84,2018-01-09 05:31:31
85,2018-01-09 05:31:31
87,2018-01-09 05:31:31
89,2018-01-09 05:31:31
90,2018-01-09 18:45:59
91,2018-01-09 18:45:59
92,2018-01-09 19:35:52
94,2018-01-09 20:33:17
96,2018-01-09 20:33:17
97,2018-01-10 00:49:32
98,2018-01-10 00:49:32
99,2018-01-10 00:49:32
100,2018-01-10 00:49:32
101,2018-01-10 00:49:32
102,2018-01-10 00:49:32
103,2018-01-10 01:43:42
105,2018-01-10 01:43:42
106,2018-01-10 01:43:42
107,2018-01-10 01:54:50
108,2018-01-10 01:54:50
109,2018-01-10 01:54:50
110,2018-01-10 01:54:50
111,2018-01-10 01:54:50
112,2018-01-10 01:54:50
113,2018-01-10 01:55:13
114,2018-01-10 02:36:00
115,2018-01-10 02:36:00
116,2018-01-10 02:36:00
117,2018-01-10 02:42:09
118,2018-01-10 04:45:31
119,2018-01-10 04:45:31
120,2018-01-10 04:45:31
121,2018-01-10 04:45:31
122,2018-01-10 05:52:46
123,2018-01-10 05:52:46
124,2018-01-10 05:52:46
125,2018-01-10 14:19:11
126,2018-01-10 14:19:11
127,2018-01-10 14:19:11
128,2018-01-10 14:19:11
129,2018-01-10 14:19:11
130,2018-01-10 16:28:43
131,2018-01-10 16:28:43
132,2018-01-10 18:13:47
134,2018-01-10 19:28:22
135,2018-01-10 19:28:22
136,2018-01-10 19:28:22
137,2018-01-10 19:52:18
138,2018-01-11 02:34:11
139,2018-01-11 02:34:11
140,2018-01-11 02:34:11
141,2018-01-11 04:35:03
142,2018-01-11 04:35:03
143,2018-01-11 04:42:23
144,2018-01-11 04:42:23
145,2018-01-11 04:42:23
147,2018-01-11 04:42:23
149,2018-01-11 14:07:33
150,2018-01-11 14:07:33
151,2018-01-11 14:07:33
152,2018-01-11 14:07:33
154,2018-01-11 19:20:09
155,2018-01-11 19:20:09
156,2018-01-11 19:20:09
157,2018-01-11 19:20:09
158,2018-01-11 19:20:09
159,2018-01-11 19:20:09
160,2018-01-11 19:20:09
163,2018-01-12 05:01:53
164,2018-01-12 05:01:53
165,2018-01-12 13:23:03
166,2018-01-12 13:23:03
168,2018-01-12 13:23:03
169,2018-01-12 19:39:53
170,2018-01-12 20:27:17
171,2018-01-12 20:27:17
174,2018-01-12 22:10:47
175,2018-01-13 00:53:28
176,2018-01-13 00:53:28
177,2018-01-13 04:02:14
178,2018-01-13 04:02:14
180,2018-01-13 04:14:37
182,2018-01-13 15:00:10
183,2018-01-13 15:00:10
184,2018-01-13 15:00:10
185,2018-01-13 18:03:08
186,2018-01-13 18:03:08
187,2018-01-14 16:57:06
188,2018-01-14 16:57:06
189,2018-01-14 16:57:06
190,2018-01-14 19:39:33
191,2018-01-14 19:39:33
193,2018-01-15 03:59:35
194,2018-01-15 03:59:35
195,2018-01-15 03:59:35
196,2018-01-15 03:59:35
197,2018-01-15 12:43:00
198,2018-01-15 13:10:32
199,2018-01-15 13:10:32
200,2018-01-15 13:10:32
201,2018-01-15 13:10:32
202,2018-01-15 13:10:32
203,2018-01-15 13:10:32
204,2018-01-15 13:10:32
205,2018-01-15 13:10:32
206,2018-01-15 13:54:06
207,2018-01-15 13:54:06
208,2018-01-15 21:38:34
210,2018-01-15 22:11:43
211,2018-01-15 22:11:43
212,2018-01-15 22:11:43
213,2018-01-15 22:17:12
214,2018-01-15 22:17:12
215,2018-01-15 22:17:12
216,2018-01-15 22:49:56
219,2018-01-15 22:49:56
220,2018-01-15 22:49:56
222,2018-01-15 22:49:56
223,2018-01-16 14:01:15
224,2018-01-16 19:55:17
225,2018-01-17 00:43:04
226,2018-01-17 01:29:31
227,2018-01-17 01:29:31
228,2018-01-17 01:29:31
229,2018-01-17 01:29:31
230,2018-01-17 02:18:57
231,2018-01-17 04:57:39
232,2018-01-17 04:57:39
233,2018-01-17 04:57:39
234,2018-01-17 04:57:39
235,2018-01-17 05:51:16
236,2018-01-17 16:26:34
237,2018-01-17 16:26:34
238,2018-01-17 16:26:34
239,2018-01-17 16:26:34
240,2018-01-17 16:26:34
241,2018-01-17 20:04:55
242,2018-01-17 20:04:55
243,2018-01-17 20:44:14
244,2018-01-17 20:44:14
245,2018-01-17 22:50:11
246,2018-01-17 22:50:11
247,2018-01-17 22:50:11
248,2018-01-17 22:50:11
249,2018-01-17 22:50:11
250,2018-01-17 23:54:49
251,2018-01-18 03:47:20
252,2018-01-18 03:47:20
253,2018-01-18 03:47:20
254,2018-01-18 03:47:20
