row_index,hardware_name,hardware_index
0,Breakout boards,unknown
1,Mouser Pt# 651-1711301,unknown
2,Server PSU,unknown
3,dps1000 models,unknown
4,antminers s9,115
5,antminers s9,115
6,Raspberry Pi,unknown
8,64 MB DRAM,unknown
9,USB to serial converter,unknown
11,power supply,unknown
12,Antminer S1,unknown
13,S7s,124
14,Block Eruptor Cubes,unknown
16,Raspberry Pi 2,unknown
17,Avalon 741,121
20,741s,121
21,AUC,unknown
22,RPI 1.2,unknown
23,Raspberry Pi 3,unknown
24,Antminer U3,unknown
25,apw3++,unknown
26,double pole breaker,unknown
27,breaker box,unknown
28,50 amp main breaker,unknown
29,150 amps,unknown
30,S1,unknown
31,S2,unknown
32,ASIC Block Erupter USB,unknown
33,RaspberryPi2,unknown
34,U1,unknown
35,BXM,unknown
36,BXF,unknown
37,S5,127
38,U2,unknown
39,S5 boards,127
40,butterfly labs jalapeno,unknown
41,server PSU,unknown
42,Corsair ATX PSU,unknown
43,240v 30a pdus,unknown
44,s9,115
45,Antminer S9,115
46,php-mpos,unknown
47,ANT Miners S9,115
49,antpool,unknown
50,s7,124
51,antminer S9,115
52,BF16,unknown
53,BF250,unknown
54,Antminer S9,115
55,Antminer S9,115
56,smart-ups,unknown
57,bitmain apw3++,unknown
58,H-boards,unknown
59,Antminer S9,115
61,S9 antminer,115
62,Antminer S5,127
64,Giga-watt tokens,unknown
65,m3 miner,unknown
66,5 other miners,unknown
67,Antminer S9,115
68,APW3++,unknown
70,"4"" adapter",unknown
71,S9 miner,115
72,Antminer,unknown
73,PC,unknown
74,phone,unknown
76,computer,unknown
77,cell phone,unknown
80,windows,unknown
81,A/C unit,unknown
82,Antminer S9,115
83,S7,124
84,S7,124
85,S7,124
87,Antminer S7,124
89,S7's,124
90,S9,115
91,APC,unknown
92,S9,115
94,Avalon 741,121
96,laptop,unknown
97,Antminer S9,115
98,Sub Panel,unknown
99,32A BLUE (2P+E) plugs,unknown
100,Tripp Lite PDU (PDUH32HV19),unknown
101,Bitmain AWP3++ power supply,unknown
102,Breaker Panel,unknown
103,APW3++,unknown
105,PSU,unknown
106,S9,115
107,server,unknown
108,attic access,unknown
109,garage,unknown
110,S9,115
111,cold storage,unknown
112,propane heater,unknown
113,Antminer S9,115
114,Antminer,unknown
115,Router,unknown
116,Ethernet,unknown
117,APW3++ Power Supply Unit,unknown
118,APW3++,unknown
119,S9,unknown
120,Netgear ProSafe FS105,unknown
121,Ethernet switch,unknown
122,IBM DPS 2000W,unknown
123,HVAC,unknown
124,Apw3,unknown
125,Nema6 receptacles,unknown
126,APW3,unknown
127,S9,unknown
128,E9,unknown
129,10/2 wire,unknown
130,ant pool,unknown
131,S9,unknown
132,Antminer S9,unknown
134,Pipes,unknown
135,Air condition 900 btu,unknown
136,S9,unknown
137,SUSE Linux Enterprise Server 11 SP2 (x86_64),unknown
138,S9,unknown
139,Kill-A-Watt,unknown
140,APW3++,unknown
141,GTX 760,unknown
142,redfury asic,unknown
143,hashcard,unknown
144,antminer S9 14 TH,unknown
145,hash board,unknown
147,Bitmain s7/s9/t9/etc,unknown
149,power supplies,unknown
150,750s,unknown
151,1200,unknown
152,breakout boards,unknown
154,2-pole 30amp circuits,unknown
155,EVGA 1300G2 PSUs,unknown
156,GPU rigs,unknown
157,PDUs,unknown
158,30 amp breaker,unknown
159,s9,unknown
160,server room,unknown
163,blanking panels,unknown
164,server racks,unknown
165,Antminer S9,unknown
166,wireless gateway,unknown
168,APW3,unknown
169,S9,unknown
