date,hardware_name,TH/J,max_efficiency
2018-01-22 07:20:02,Ebit E9+,0.022222222,0.01021
2018-04-01 14:38:56,Ebang Ebit Miner E9+,0.022222222,0.01021
2018-11-13 23:29:43,S9j-14T,0.033898305,0.01021
2019-10-03 01:54:57,Antminer S9j,0.032786885,0.0253
2021-07-25 01:36:23,MicroBT Whatsminer M20,0.050263004,0.0339
2022-08-30 04:38:28,Bitmain,0.0625,0.0465
2023-01-26 21:57:43,Bitmain Antminer S19j,0.027692308,-1
2023-01-29 03:00:59,Bitmain Antminer T19,0.026666667,-1
2023-01-29 23:58:36,Bitmain Antminer T17+,0.02,-1
2023-01-30 23:51:50,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-02-02 23:32:37,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-04 09:30:26,Canaan AvalonMiner 921,0.011764706,-1
2023-02-06 12:53:01,Bitmain Antminer R4,0.010295858,-1
2023-02-11 01:36:52,Bitmain Antminer S19,0.029230769,-1
2023-02-13 04:03:21,Bitmain Antminer S17+,0.025,-1
2023-02-13 19:31:55,Bitmain Antminer S19j Pro,0.033898305,-1
2023-02-13 19:31:55,Bitmain Antminer S19 Pro,0.033846154,-1
2023-02-13 19:31:55,Bitmain Antminer S19 Pro,0.033846154,-1
2023-02-13 20:06:05,Bitmain Antminer S19j Pro,0.033898305,-1
2023-02-16 16:54:45,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-02-16 19:55:22,Bitmain Antminer S19,0.029230769,-1
2023-02-20 11:09:30,Bitmain Antminer S9,0.010204082,-1
2023-02-20 14:05:05,Bitmain Antminer R4,0.010295858,-1
2023-02-20 17:41:06,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-21 07:03:28,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-21 23:15:07,Bitmain Antminer S17,0.022222222,-1
2023-02-21 23:19:50,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-24 22:08:50,Canaan AvalonMiner 1126 Pro,0.019883041,-1
2023-02-25 03:08:55,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-25 22:45:03,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-27 06:51:56,Bitmain Antminer S17 Pro,0.025316456,-1
2023-02-27 18:51:05,Bitmain Antminer S9,0.010204082,-1
2023-02-27 23:08:08,Bitmain Antminer S9j,0.010740741,-1
2023-02-28 03:50:55,Bitmain Antminer S17+,0.025,-1
2023-03-01 15:28:23,Bitmain Antminer S9,0.010204082,-1
2023-03-03 12:37:09,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-03-05 23:42:41,Bitmain Antminer S9j,0.010740741,-1
2023-03-06 18:32:30,Bitmain Antminer S19 Pro,0.033846154,-1
2023-03-10 20:09:19,Bitmain Antminer S19 Pro,0.033846154,-1
2023-03-12 03:11:25,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-03-13 19:39:17,Bitmain Antminer S19,0.029230769,-1
2023-03-13 19:39:17,Bitmain Antminer S9,0.010204082,-1
2023-03-14 14:18:59,Bitmain Antminer S19 XP,0.046511628,-1
2023-03-16 06:11:20,Bitmain Antminer S9,0.010204082,-1
2023-03-19 22:31:09,Bitfury B8,0.00765625,-1
2023-03-20 08:42:58,Avalon 1166Pro 81th,0.023823529,-1
2023-03-22 12:29:17,S9,0.010204082,-1
2023-03-22 12:29:17,T17e,0.018181818,-1
2023-03-24 07:59:06,Antminer s9,0.010204082,-1
2023-03-24 07:59:06,Antminer S19 Pro,0.033846154,-1
2023-03-26 22:42:21,S19j Pro,0.033898305,-1
2023-03-27 02:43:59,1166,0.023823529,-1
2023-03-30 06:24:41,Ipollo B1L,0.02,-1
2023-03-30 06:24:41,S19jpro,0.033898305,-1
2023-04-01 19:23:33,S17pro,0.025316456,-1
2023-04-01 19:23:33,T17+,0.02,-1
2023-04-03 00:06:38,Bitmain S19 Xp 141T,0.046511628,-1
2023-04-03 06:06:49,Innosilicon T3+,0.017272727,-1
2023-04-03 16:28:58,Antminer S17+,0.025,-1
2023-04-03 22:01:09,whatsminer m50,0.034482759,-1
2023-04-03 22:01:09,whatsminer m30,0.026315789,-1
2023-04-04 09:55:36,S19XP,0.046511628,-1
2023-04-07 18:44:01,S19j Pro,0.033898305,-1
2023-04-08 23:34:06,Antminer T19,0.026315789,-1
2023-04-09 11:07:36,Whatsminer M50,0.034482759,-1
2023-04-09 11:07:36,S19 J Pro,0.033898305,-1
2023-04-09 21:05:21,S9K,0.010305344,-1
2023-04-10 02:30:30,Bitmain S9,0.010204082,-1
2023-04-10 09:33:49,A921,0.011764706,-1
2023-04-10 09:33:49,A741,0.006347826,-1
2023-04-13 03:08:20,S19 XP,0.046511628,-1
2023-04-14 12:28:14,S19,0.029230769,-1
2023-04-14 12:28:14,S17,0.022222222,-1
2023-04-14 12:28:14,Antminer S9,0.010204082,-1
2023-04-15 12:56:23,S9,0.010204082,-1
2023-04-18 03:06:08,S9,0.010204082,-1
2023-04-18 03:06:08,S17,0.022222222,-1
2023-04-19 19:01:10,Bitmain Antminer S9,0.010204082,-1
2023-04-20 10:11:40,Bitmain Antminer S17,0.022222222,-1
2023-04-20 10:11:40,Bitmain Antminer S19,0.029230769,-1
2023-04-21 14:58:45,Bitmain Antminer S19,0.029230769,-1
2023-04-21 20:13:05,Innosilicon T3+ 57T,0.017272727,-1
2023-04-22 03:37:22,Bitmain Antminer S7,0.003658159,-1
2023-04-22 03:37:22,Bitmain Antminer S9,0.010204082,-1
2023-04-22 03:37:22,Canaan AvalonMiner 841,0.010542636,-1
2023-04-22 03:37:22,Bitmain Antminer R4,0.010295858,-1
2023-04-22 03:37:22,Bitmain Antminer S3,0.001306011,-1
2023-04-24 10:51:22,Bitmain Antminer S9j,0.010740741,-1
2023-04-24 10:51:22,Bitmain Antminer R4,0.010295858,-1
2023-04-24 10:51:22,Bitmain Antminer S9k,0.010305344,-1
2023-04-26 01:13:01,Bitmain Antminer S5,0.001957627,-1
2023-04-27 23:26:22,Bitmain Antminer S9,0.010204082,-1
2023-04-27 23:26:22,Bitmain Antminer S5,0.001957627,-1
2023-04-29 14:27:06,Bitmain Antminer T17,0.018181818,-1
2023-04-30 13:01:35,Bitmain Antminer S19j Pro,0.033898305,-1
2023-04-30 13:21:49,Bitmain Antminer S9,0.010204082,-1
2023-05-02 21:01:39,Innosilicon T3+ 57th,0.017272727,-1
2023-05-03 13:01:57,Bitmain Antminer S9,0.010204082,-1
2023-05-06 21:37:10,Bitmain Antminer S17+,0.025,-1
2023-05-08 05:07:45,Bitmain Antminer S9,0.010204082,-1
2023-05-10 15:35:20,MicroBT Whatsminer M50,0.034482759,-1
2023-05-14 22:25:45,MicroBT Whatsminer M20S,0.020238095,-1
2023-05-14 22:25:45,MicroBT Whatsminer M30S,0.026315789,-1
2023-05-14 22:25:45,MicroBT Whatsminer M50,0.034482759,-1
2023-05-17 03:30:32,Bitmain Antminer S9,0.010204082,-1
2023-05-18 12:48:21,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-05-19 03:27:20,Bitmain Antminer S19j Pro,0.033898305,-1
2023-05-19 10:39:32,Bitmain Antminer S19j Pro+,0.036363636,-1
2023-05-22 15:48:13,Canaan AvalonMiner 1166 Pro,0.023823529,-1
