row_index,hardware_name,hardware_index,date,owned,hardware_release_date,speed,power,noise,hash,profit,Mhash/J
4,antminers s9,115,2018-01-01 18:31:49,0.9918326139450072,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
5,antminers s9,115,2018-01-01 18:31:49,0.9813207983970642,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
13,S7s,124,2018-01-02 05:17:30,0.9773612022399902,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
17,Avalon 741,121,2018-01-02 16:08:08,0.9699227809906006,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
20,741s,121,2018-01-02 16:08:08,0.9745203852653505,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
37,S5,127,2018-01-03 10:33:03,0.964358925819397,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
39,S5 boards,127,2018-01-03 16:23:39,0.9128713011741638,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
44,s9,115,2018-01-03 20:14:17,0.8508154153823853,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
45,Antminer S9,115,2018-01-04 11:20:55,0.9083487391471864,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
47,ANT Miners S9,115,2018-01-04 16:36:22,0.979066014289856,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
50,s7,124,2018-01-04 21:02:43,0.978090524673462,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
51,antminer S9,115,2018-01-05 07:29:01,0.9716877937316896,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
54,Antminer S9,115,2018-01-05 20:16:29,0.92698734998703,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
55,Antminer S9,115,2018-01-05 21:21:23,0.9895825386047364,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
59,Antminer S9,115,2018-01-06 01:43:14,0.905221700668335,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
61,S9 antminer,115,2018-01-07 03:23:56,0.8422918915748596,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
62,Antminer S5,127,2018-01-07 10:25:12,0.9816603660583496,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
67,Antminer S9,115,2018-01-07 16:46:41,0.8641446232795715,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
71,S9 miner,115,2018-01-07 18:12:48,0.935419261455536,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
82,Antminer S9,115,2018-01-08 23:40:51,0.920678734779358,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
83,S7,124,2018-01-09 05:31:31,0.9551180601119996,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
84,S7,124,2018-01-09 05:31:31,0.9332945346832277,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
85,S7,124,2018-01-09 05:31:31,0.9475253820419312,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
87,Antminer S7,124,2018-01-09 05:31:31,0.9069403409957886,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
89,S7's,124,2018-01-09 05:31:31,0.9451031684875488,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
90,S9,115,2018-01-09 18:45:59,0.8877014517784119,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
92,S9,115,2018-01-09 19:35:52,0.9869217872619628,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
