row_index,date
0,2011-03-01
1,2011-03-01
2,2011-03-05
3,2011-03-06
4,2011-03-06
5,2011-03-06
6,2011-04-18
7,2011-04-18
8,2011-04-18
9,2011-04-18
10,2011-04-20
11,2011-05-06
12,2011-05-16
13,2011-05-16
14,2011-05-16
15,2011-05-16
16,2011-05-16
17,2011-05-16
18,2011-05-16
19,2011-05-16
20,2011-05-16
21,2011-05-16
22,2011-05-16
23,2011-05-16
24,2011-05-16
25,2011-05-16
26,2011-05-16
27,2011-05-17
28,2011-05-22
29,2011-05-22
30,2011-05-22
31,2011-05-22
32,2011-05-22
33,2011-05-22
34,2011-05-22
35,2011-05-22
36,2011-05-22
37,2011-05-22
38,2011-05-22
39,2011-05-22
40,2011-05-22
41,2011-05-23
42,2011-05-23
43,2011-05-23
44,2011-05-28
45,2011-06-01
46,2011-06-01
47,2011-06-01
48,2011-06-01
49,2011-06-01
50,2011-06-01
51,2011-06-01
52,2011-06-03
53,2011-06-04
54,2011-06-04
55,2011-06-04
56,2011-06-04
57,2011-06-07
58,2011-06-07
59,2011-06-07
60,2011-06-07
61,2011-06-07
62,2011-06-07
63,2011-06-07
64,2011-06-08
65,2011-06-08
66,2011-06-08
67,2011-06-08
68,2011-06-08
69,2011-06-08
70,2011-06-10
71,2011-06-10
72,2011-06-10
73,2011-06-13
74,2011-06-26
75,2011-06-27
76,2011-06-27
77,2011-06-28
78,2011-06-29
79,2011-06-29
80,2011-06-30
81,2011-06-30
82,2011-07-04
83,2011-07-13
84,2011-07-13
85,2011-07-13
86,2011-07-15
87,2011-07-15
88,2011-07-17
89,2011-08-04
90,2011-10-20
91,2011-10-20
92,2011-12-21
93,2011-12-29
94,2012-02-05
95,2012-02-07
96,2012-03-02
97,2012-03-10
98,2012-03-10
99,2012-04-03
100,2012-04-03
101,2012-04-03
102,2012-04-21
103,2012-04-21
104,2012-05-13
105,2012-05-23
106,2012-05-28
107,2012-05-28
108,2012-06-13
109,2012-06-18
110,2012-06-21
111,2012-06-25
112,2012-06-25
113,2012-07-14
114,2012-07-25
115,2012-07-25
116,2012-07-25
117,2012-07-25
118,2012-09-11
119,2012-09-11
120,2012-09-11
121,2012-09-11
122,2012-09-27
123,2012-09-27
124,2012-10-29
125,2012-10-29
126,2012-12-17
127,2012-12-31
128,2012-12-31
129,2012-12-31
130,2012-12-31
131,2013-01-18
132,2013-01-31
133,2013-02-01
134,2013-02-01
135,2013-02-02
136,2013-02-06
137,2013-02-07
138,2013-02-07
139,2013-02-13
140,2013-02-15
141,2013-03-25
142,2013-03-25
143,2013-03-26
144,2013-03-26
145,2013-03-28
146,2013-03-31
147,2013-04-02
148,2013-04-02
149,2013-04-12
150,2013-04-12
151,2013-04-14
152,2013-04-15
153,2013-04-15
154,2013-04-20
155,2013-04-25
156,2013-04-25
157,2013-04-27
158,2013-04-27
159,2013-04-28
160,2013-04-29
161,2013-05-02
162,2013-05-02
163,2013-05-10
164,2013-05-13
165,2013-05-15
166,2013-05-17
167,2013-05-17
168,2013-05-17
169,2013-05-17
170,2013-05-18
171,2013-05-19
172,2013-05-20
173,2013-05-22
174,2013-05-24
175,2013-05-27
176,2013-05-30
177,2013-05-30
178,2013-05-30
179,2013-05-31
180,2013-06-05
181,2013-06-06
182,2013-06-06
183,2013-06-06
184,2013-06-07
185,2013-06-08
186,2013-06-08
187,2013-06-08
188,2013-06-08
189,2013-06-08
190,2013-06-08
191,2013-06-09
192,2013-06-10
193,2013-06-10
194,2013-06-12
195,2013-06-12
196,2013-06-12
197,2013-06-13
198,2013-06-13
199,2013-06-13
200,2013-06-15
201,2013-06-15
202,2013-06-15
203,2013-06-16
204,2013-06-16
205,2013-06-16
206,2013-06-16
207,2013-06-16
208,2013-06-16
209,2013-06-19
210,2013-06-20
211,2013-06-22
212,2013-06-22
213,2013-06-23
214,2013-06-24
215,2013-06-24
216,2013-06-24
217,2013-06-26
218,2013-06-27
219,2013-06-27
220,2013-06-28
221,2013-06-29
222,2013-07-01
223,2013-07-02
224,2013-07-02
225,2013-07-03
226,2013-07-04
227,2013-07-04
228,2013-07-04
229,2013-07-05
230,2013-07-05
231,2013-07-05
232,2013-07-05
233,2013-07-06
234,2013-07-06
235,2013-07-07
236,2013-07-08
237,2013-07-09
238,2013-07-10
239,2013-07-12
240,2013-07-13
241,2013-07-14
242,2013-07-15
243,2013-07-18
244,2013-07-21
245,2013-07-21
246,2013-07-23
247,2013-07-25
248,2013-07-28
249,2013-07-28
250,2013-07-29
251,2013-07-29
252,2013-07-29
253,2013-07-29
254,2013-07-29
255,2013-07-29
256,2013-07-29
257,2013-07-29
258,2013-07-29
259,2013-07-29
