date,row_index,hardware_name,hardware_price_usd,Mhash/s/$,TH/J
2011-03-01,0,5870,,411.67,1.9059999999999998e-06
2011-03-01,1,6870,,301.45,1.7264e-06
2011-03-06,3,HD5970,,700.97,2.0053e-06
2011-03-06,4,5870,,411.67,1.9059999999999998e-06
2011-03-06,5,5850,70.0,346.78,1.8195e-06
2011-04-18,6,5870,,411.67,1.9059999999999998e-06
2011-04-18,8,5970,,700.97,2.0053e-06
2011-04-18,9,5870,,411.67,1.9059999999999998e-06
2011-04-20,10,Radeon 5970,,700.97,2.0053e-06
2011-05-16,15,5870 bios,,411.67,1.9059999999999998e-06
2011-05-16,16,3x5850,,346.78,1.8195e-06
2011-05-16,18,non-reference Sapphire 5870,,411.67,1.9059999999999998e-06
2011-05-16,20,reference 5850,,346.78,1.8195e-06
2011-05-17,27,Zotac ION,,1.8,6.7e-08
2011-05-22,30,5970,,700.97,2.0053e-06
2011-05-22,31,6990,,772.28,1.9056e-06
2011-05-22,32,5870,,411.67,1.9059999999999998e-06
2011-05-22,33,5850,185.0,346.78,1.8195e-06
2011-05-22,34,5850,,346.78,1.8195e-06
2011-05-22,36,5830,99.0,300.18,1.5451999999999998e-06
2011-05-22,40,GeForce 9600 GSO,,11.75,1.31e-07
2011-05-23,42,Radeon 6990,,772.28,1.9056e-06
2011-05-23,43,5870s,,411.67,1.9059999999999998e-06
2011-05-28,44,5870s,,411.67,1.9059999999999998e-06
2011-06-01,45,HD5830,280.0,300.18,1.5451999999999998e-06
2011-06-01,46,HD5830,126.0,300.18,1.5451999999999998e-06
2011-06-01,47,HD5850,288.0,346.78,1.8195e-06
2011-06-01,48,HD 5770,,212.94,1.9401e-06
2011-06-01,49,HD5830,,300.18,1.5451999999999998e-06
2011-06-01,50,HD5850,,346.78,1.8195e-06
2011-06-01,51,HD5850,,346.78,1.8195e-06
2011-06-03,52,XFX 5830,109.0,300.18,1.5451999999999998e-06
2011-06-04,53,6990s,,772.28,1.9056e-06
2011-06-04,54,2 6850s,,240.41,1.3996e-06
2011-06-04,55,5850s,,346.78,1.8195e-06
2011-06-04,56,5830s,,300.18,1.5451999999999998e-06
2011-06-07,58,5830,150.0,300.18,1.5451999999999998e-06
2011-06-07,59,5850,200.0,346.78,1.8195e-06
2011-06-07,62,Sapphire 5830,,300.18,1.5451999999999998e-06
2011-06-08,65,i5-2500k,,44,2.0600000000000003e-05
2011-06-08,68,3x 6950,,394.66,1.8507e-06
2011-06-10,71,5850,,346.78,1.8195e-06
2011-06-13,73,5830,,300.18,1.5451999999999998e-06
2011-06-26,74,HD 5850s,,346.78,1.8195e-06
