row_index,hardware_price
5,$70
11,$2.10 per hour
13,$200
17,$220
22,$55
23,$79
33,$185
36,$99
45,$280
46,$126
47,$288
52,$109
58,$150
59,$200-300
85,$800
102,107 BTC
103,$580
104,$89
113,$150
135,26 BTC
142,$75 and $101
148,$80
150,$275
151,"$2,000"
152,$1200
153,$200
158,807.1501152800002 BTC
164,$599
171,0.079 BTC
173,$320
176,$2.03636
177,$2.03636
182,$5000
183,4.5 Ghz
184,0.5 BTC shares
185,60EUR
190,0.082BTC
191,0.5 BTC shares
192,2.3 BTC
193,0.5 BTC shares
196,20.7
197,60EUR
198,0.082BTC
199,$2.04236
200,2.04236 btc
209,1 BTC per share
210,0.65 BTC
213,175 GHs Miner
214,.57 btc per chip
215,4.56 BTC
217,4 Btc
224,1.01618 ea.
226,0.082BTC
227,75$
228,60EUR
230,0.081 BTC
235,$7k
237,0.99 BTC
238,1.01693878 ea.
239,$59/chip
240,0.89BTC
241,1BTC/share
243,1btc= 3 GH/s
244,$0.95 per device
245,BTC1.15
246,BTC1.15
247,0.95 BTC
251,4BTC
253,$65
262,"$27,5/chip"
265,.41 to .55 btc
266,$58
267,$20
271,$58
272,0.35 BTC
273,$45
274,1.475 BTC
275,0.10 btc
276,1.65 btc
277,฿1.65
282,1k
285,$42.50
287,$42.50
291,0.75BTC
292,0.57 BTC
293,30BTC
294,10.24 BTC
297,฿4.5
299,$250-300
305,2k euros
307,฿2
310,$10-13/GH
311,$595
312,4BTC
313,$6-$7
317,.13 BTC
321,.13 BTC
322,$150 per at-cost share
323,0.83 - 0.9 BTC
325,0.87 BTC
328,At-Cost +Host
332,"$6,000"
333,$69
334,1.5 BTC
336,0.1BTC
338,3.85BTC
339,0.155BTC
343,.125 BTC
345,$43
346,1.05BTC
347,"$6,299"
348,$57* in BTC
349,฿1.2
350,3.0 BTC
351,$78 ea.
352,$120 USD
354,$43
356,0.9 BTC
357,$70=8GH/s
360,1.6 BTC
361,$70
363,$139
366,$78 ea.
367,1.90 BTC
368,$60
369,$78
370,$123
371,$123
372,$123
373,0.035 BTC
374,$6000
375,$5000
377,1.1 btc/Blade
378,0.49BTC
379,0.80 BTC
381,0.50 BTC
382,0.80 BTC
383,฿1.5 = 50GH/s
384,0.7 BTC
385,0.40btc each
387,$10.74
388,$123
391,sale
392,sale
396,0.25btc each
397,.39 BTC
398,.32 BTC
399,.35 BTC
400,$78
401,.35 BTC
402,.25 BTC
403,0.65 btc per Blade
404,0.49 btc
405,0.035 btc
406,1.1 btc
407,0.99 BTC
408,฿.25=20GH/s
409,.06 btc per chip
410,$225/100 Shares
414,$50
418,$160
419,$135
420,0.05 B/Share
425,8.5 BTC
426,1.0 btc
427,$125
428,$160
429,0.05 B/Sh
430,.55 Per share
431,$130
432,0.4 BTC
433,0.008B/Sh
434,.55 Per share
435,0.008B/Sh
436,0.008B/Sh
437,.6
440,0.066BTC
443,.85 btc per CUBE
444,$50-$60
446,0.07 - 0.08 per unit
448,$10000
450,$6000
452,2.45BTC
453,.35BTC
454,BTC 2.2
456,0.50 BTC per share
468,$28.99
470,$14.99
471,0.0775btc/0.0725 Btc
473,USB bitcoin miners
481,45 BTC
482,0.09BTC
486,0.50 BTC
487,$2.9usd a share
489,0.50 btc
492,0.1BTC
493,2000 USD
494,1800 USD
497,$250
500,1.45 BTC
501,$85
502,1.45 BTC
503,1.45 BTC
504,1.5 BTC
505,6500
511,0.6 BTC
512,0.75 BTC
513,0.35BTC
514,42.5BTC/THps
515,0.009BTC
548,1
551,$4 per gh
555,$225
556,$190
560,$230 per unit
565,$259
567,factory price of $3250
570,$165USD
571,$225
572,190$/unit or 150$ with hosting
573,$187
577,0.005 BTC per Share
578,"$15,000"
579,$3500
580,$45
591,$165
593,0.5 BTC
594,115$
595,60$
598,2500 USD
599,"$6,000USD"
600,$0.0385
601,$3600
602,115$
607,$7.50/GH
608,$2700
611,"$8,519.00"
615,$1950
616,389/807 EUR
617,$119
618,$950
624,$1650
625,$1650
626,"$4,500"
627,"$2,200"
628,"$1,800"
629,"$5,800"
630,"$2,900"
631,"$1,500"
633,.051 per 10 GH/s
635,$129.99
636,$2800
638,.10 btc
641,$4000
647,$2450
648,$2450
651,"$1,600"
652,$10k
657,$200
659,2699/2499$
660,1799/1599$
661,209 EUR
663,1275$
667,0.00735 BTC
682,0.2482BTC
683,$1499.99
685,$1449.99
689,.41 to .55 btc
690,1.01618 ea.
692,$113
694,$975
696,$1745
697,1.04 btc
698,$349
700,1.01693878 ea.
702,$0.037-$0.035 unit
703,$399
705,160 usd
706,1.47 BTC
709,0.85btc
714,0.85btc
722,0.155 BTC per unit
723,1.47 BTC
724,1.54 BTC
725,.6 BTC
730,$500
731,$160
734,$480
735,$6
738,$404 per miner
750,390$
760,$362.50
762,$70
763,$18
770,$360
784,$25
797,$25
805,$34.99
806,.185 BTC
835,$400
858,0.65
860,$1369
861,$1100
862,$1299
864,$2400
872,"$2,475"
873,$0.3/GH
942,$175
946,$1.8
947,$260
953,$399
962,$250
963,$400
975,$714
977,$600.00
980,$3000
990,6BTC
1003,$100 USD
1006,$0.319/GH & 0.51W/GH
1019,2.4BTC
1026,$1368
1034,$3600.00
1040,$792
1042,$600
1044,$680.00
1046,$150
1052,$1156
1053,$845
1054,$1617
1065,$396
1087,"$15,000"
1089,$10
1108,$888
1109,$100
1128,40w/th - 50$/th
1132,$500
1137,"$1,000"
1163,4833
1176,under 200 USD
1179,under 50 USD
1192,$4000
1198,$1200
1210,$200
1211,$400
