index,date,output
16648.0,2014-03-28 10:53:26,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""financial_products"""
16649.0,2014-03-28 10:58:30,"```json
{
  ""categories"": [ 
    ""other"""
16650.0,2014-03-28 11:13:21,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""altcoins"""
16651.0,2014-03-28 13:02:32,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
16652.0,2014-03-28 13:50:34,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""other"""
16653.0,2014-03-28 15:17:23,"```json
{
  ""categories"": [ 
    ""educational_resources"""
16654.0,2014-03-28 16:19:53,"```json
{
  ""categories"": [ 
    ""scams"""
16655.0,2014-03-28 16:20:57,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_challenges"""
16656.0,2014-03-28 17:02:01,"```json
{
  ""categories"": [ 
    ""other"""
16657.0,2014-03-28 17:13:48,"```json
{
  ""categories"": [ 
    ""other"""
16658.0,2014-03-28 17:41:37,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_challenges"",
    ""other"""
16659.0,2014-03-28 17:42:01,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
16660.0,2014-03-28 17:50:02,"```json
{
  ""categories"": [ 
    ""other"""
16661.0,2014-03-28 18:11:09,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
16662.0,2014-03-28 18:16:40,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""pessimistic_speculation"""
16663.0,2014-03-28 18:32:07,"```json
{
  ""categories"": [ 
    ""other"""
16664.0,2014-03-28 19:12:36,"```json
{
  ""categories"": [ 
    ""educational_resources"""
16665.0,2014-03-28 19:14:40,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
16666.0,2014-03-28 19:50:54,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_challenges"",
    ""other"""
16667.0,2014-03-28 20:16:23,"```json
{
  ""categories"": [ 
    ""pessimistic_speculation"",
    ""bitcoin_challenges"""
16668.0,2014-03-28 20:29:35,"```json
{
  ""categories"": [ 
    ""other"""
16669.0,2014-03-28 20:42:09,"```json
{
  ""categories"": [ 
    ""other"""
16670.0,2014-03-28 20:43:04,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""bitcoin_technology"",
    ""other"""
16671.0,2014-03-29 00:25:20,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
16672.0,2014-03-29 03:19:52,"```json
{
  ""categories"": [ 
    ""other"""
