index,date,output
54301.0,2021-02-06 01:31:42,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54302.0,2021-02-06 08:37:27,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
54303.0,2021-02-06 09:16:58,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54304.0,2021-02-06 09:38:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
54305.0,2021-02-06 10:06:30,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54306.0,2021-02-06 12:15:15,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54307.0,2021-02-06 13:49:23,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54308.0,2021-02-06 15:06:38,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
54309.0,2021-02-06 18:56:45,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
54310.0,2021-02-06 19:25:57,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54311.0,2021-02-06 19:48:58,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""neutral"""
54312.0,2021-02-06 19:52:48,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54313.0,2021-02-06 20:16:08,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54314.0,2021-02-07 11:52:35,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
54315.0,2021-02-07 11:55:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54316.0,2021-02-07 14:00:45,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
54317.0,2021-02-07 16:16:51,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54318.0,2021-02-07 17:28:22,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
54319.0,2021-02-07 18:38:29,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54320.0,2021-02-08 06:10:10,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
54321.0,2021-02-08 07:26:11,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
54322.0,2021-02-08 12:41:34,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54323.0,2021-02-08 13:03:48,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54324.0,2021-02-08 13:28:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54325.0,2021-02-08 15:15:09,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54326.0,2021-02-08 17:56:40,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""negative"""
54327.0,2021-02-08 18:18:07,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""neutral"""
54328.0,2021-02-08 19:00:37,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54329.0,2021-02-08 20:43:10,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54330.0,2021-02-08 23:00:41,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54331.0,2021-02-08 23:06:27,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54332.0,2021-02-09 00:02:20,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54333.0,2021-02-09 03:07:04,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54334.0,2021-02-09 03:18:10,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
54335.0,2021-02-09 06:32:44,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""negative"""
54336.0,2021-02-09 07:02:59,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54337.0,2021-02-09 07:06:28,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54338.0,2021-02-09 07:47:49,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54339.0,2021-02-09 10:12:54,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""negative"""
54340.0,2021-02-09 10:17:07,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54341.0,2021-02-09 11:40:31,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
54342.0,2021-02-09 13:55:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54343.0,2021-02-09 14:59:22,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
54344.0,2021-02-09 17:36:13,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54345.0,2021-02-09 19:26:36,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54346.0,2021-02-09 19:56:49,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54347.0,2021-02-09 20:01:59,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
54348.0,2021-02-09 21:03:15,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54349.0,2021-02-10 01:32:45,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54350.0,2021-02-10 02:41:46,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
54351.0,2021-02-10 03:17:26,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54352.0,2021-02-10 06:28:11,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54353.0,2021-02-10 07:08:43,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54354.0,2021-02-10 07:36:16,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
54355.0,2021-02-10 11:04:55,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54356.0,2021-02-10 12:02:28,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""positive"""
54357.0,2021-02-10 14:44:06,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54358.0,2021-02-10 19:50:41,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
54359.0,2021-02-10 21:56:44,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
54360.0,2021-02-10 22:22:23,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
54361.0,2021-02-11 10:39:40,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
54362.0,2021-02-11 11:26:20,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
54363.0,2021-02-11 11:32:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
