index,date,output
33413.0,2017-08-09 10:14:11,"```json
{
  ""categories"": [ 
    ""other"""
33414.0,2017-08-09 10:27:46,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
33415.0,2017-08-09 10:30:32,"```json
{
  ""categories"": [ 
    ""scams"""
33416.0,2017-08-09 10:50:01,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""optimistic_speculation"""
33417.0,2017-08-09 12:27:36,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""bitcoin_mining"""
33418.0,2017-08-09 12:57:41,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"""
33419.0,2017-08-09 15:25:10,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""optimistic_speculation"""
33420.0,2017-08-09 16:23:23,"```json
{
  ""categories"": [ 
    ""other"""
33421.0,2017-08-09 16:54:24,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
33422.0,2017-08-09 17:11:49,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
33423.0,2017-08-09 18:44:42,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""optimistic_speculation"""
33424.0,2017-08-09 19:36:12,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
33425.0,2017-08-09 21:53:55,"```json
{
  ""categories"": [ 
    ""other"""
33426.0,2017-08-09 22:11:45,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
33427.0,2017-08-09 22:22:47,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""bitcoin_mining"""
33428.0,2017-08-09 22:36:48,"```json
{
  ""categories"": [ 
    ""other"""
33429.0,2017-08-09 23:08:20,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
33430.0,2017-08-10 05:09:49,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
33431.0,2017-08-10 06:31:32,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""educational_resources"",
    ""other"""
33432.0,2017-08-10 07:16:59,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
33433.0,2017-08-10 08:48:58,"```json
{
  ""categories"": [ 
    ""other"""
33434.0,2017-08-10 08:50:42,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
33435.0,2017-08-10 10:33:42,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_mining"""
33436.0,2017-08-10 12:59:11,"```json
{
  ""categories"": [ 
    ""other"""
33437.0,2017-08-10 13:41:54,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
33438.0,2017-08-10 14:35:29,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""altcoins"""
33439.0,2017-08-10 14:45:26,"```json
{
  ""categories"": [ 
    ""other"""
33440.0,2017-08-10 16:18:35,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"""
