month,optimistic_speculation,pessimistic_speculation,bitcoin_adoption,bitcoin_technology,financial_products,bitcoin_challenges,scams,bitcoin_mining,altcoins,educational_resources,other
2010-01,0,0,0,6,0,1,0,5,0,8,3
2010-02,0,0,0,9,0,1,0,2,0,9,3
2010-03,0,0,1,4,1,1,0,1,0,5,3
2010-04,0,0,0,4,0,3,0,4,1,4,1
2010-05,0,0,1,0,1,1,0,1,0,2,0
2010-06,0,0,1,5,0,5,0,4,0,8,4
2010-07,1,2,1,53,0,24,2,30,0,48,16
2010-08,1,1,2,47,5,26,0,19,6,41,30
2010-09,0,0,1,18,2,9,0,6,2,23,18
2010-10,2,0,7,18,3,10,1,8,2,25,32
2010-11,1,0,8,49,5,17,2,17,3,60,50
2010-12,2,1,5,48,0,23,2,15,3,54,40
2011-01,1,0,3,40,2,14,3,14,3,50,36
2011-02,7,2,11,58,6,27,5,23,6,76,56
2011-03,3,0,10,97,3,44,3,49,3,130,102
2011-04,8,5,17,97,21,74,9,53,7,134,127
2011-05,11,9,36,188,24,137,26,115,14,273,253
2011-06,108,75,83,438,463,537,337,218,38,669,738
2011-07,28,23,71,190,126,180,89,110,13,298,366
2011-08,17,14,25,154,88,138,86,62,16,229,270
2011-09,8,6,29,79,49,60,34,39,6,133,187
2011-10,14,10,36,80,46,85,26,44,9,137,172
2011-11,3,1,25,58,40,57,14,18,4,93,114
2011-12,2,0,26,42,19,34,10,12,3,89,97
2012-01,6,3,22,65,21,51,16,22,6,85,115
2012-02,2,0,20,48,26,46,13,18,1,70,89
2012-03,5,4,24,74,17,40,17,29,6,95,102
2012-04,2,0,27,54,13,26,10,11,2,83,108
2012-05,3,0,14,90,27,37,14,20,2,107,111
2012-06,7,1,19,80,21,36,16,17,1,120,117
2012-07,3,0,20,89,15,37,26,10,4,111,101
2012-08,4,2,17,57,12,40,22,19,0,78,80
2012-09,5,3,21,79,13,80,27,23,2,94,111
2012-10,1,1,16,41,5,39,4,10,1,66,68
2012-11,2,0,23,32,5,20,7,10,3,70,96
2012-12,1,0,11,45,5,22,8,15,2,62,54
2013-01,5,2,19,53,9,22,3,5,1,79,65
2013-02,7,0,31,88,9,56,4,20,2,102,98
2013-03,22,5,40,150,23,132,21,55,10,170,190
2013-04,44,22,78,170,83,210,47,69,19,294,311
2013-05,12,6,58,182,76,165,39,68,26,234,255
2013-06,9,5,31,126,14,92,15,53,9,175,179
2013-07,4,1,35,84,14,78,18,36,18,125,128
2013-08,3,1,38,79,10,62,19,26,5,133,134
2013-09,6,3,22,74,6,68,11,28,7,93,95
2013-10,8,2,29,50,12,48,15,21,7,86,113
2013-11,41,8,71,187,19,200,45,72,37,267,346
2013-12,51,20,128,183,60,217,40,73,30,314,352
2014-01,35,14,131,204,44,170,51,87,46,321,387
2014-02,43,17,87,218,196,332,182,66,43,330,410
2014-03,32,13,81,198,88,225,101,53,34,321,469
2014-04,25,13,86,157,59,162,39,50,39,267,288
2014-05,34,11,95,117,45,153,44,28,21,214,270
2014-06,35,7,98,126,37,141,44,92,19,168,223
2014-07,39,8,113,141,60,145,40,51,24,234,268
2014-08,26,13,89,115,20,114,31,33,19,194,245
2014-09,24,15,103,110,27,124,48,30,23,183,236
2014-10,15,9,62,151,35,140,48,43,27,205,232
2014-11,12,4,52,85,15,71,20,26,5,146,176
2014-12,15,4,73,95,23,76,20,27,20,175,221
2015-01,36,22,50,117,47,137,62,38,22,170,173
2015-02,19,7,79,92,33,126,68,25,22,145,206
2015-03,13,4,51,107,27,84,41,41,15,149,163
2015-04,14,6,54,93,30,94,56,28,23,126,164
2015-05,11,4,30,119,35,90,22,31,23,123,122
2015-06,16,3,43,149,22,110,22,33,22,116,125
2015-07,22,3,59,166,24,136,31,51,21,194,150
2015-08,17,8,43,275,27,217,53,73,25,185,169
2015-09,12,5,22,155,15,136,25,53,10,102,118
2015-10,9,2,42,99,20,84,23,14,12,122,98
2015-11,21,6,35,110,29,80,30,28,16,130,121
2015-12,18,3,25,124,13,76,41,38,15,126,139
2016-01,15,6,44,185,26,172,49,55,26,156,157
2016-02,11,3,37,167,16,116,33,51,18,166,120
2016-03,11,0,23,131,14,98,23,37,21,101,99
2016-04,13,0,43,101,18,60,37,28,15,119,125
2016-05,18,5,35,131,20,89,63,51,20,144,170
2016-06,30,8,44,109,37,97,42,40,25,139,131
2016-07,28,11,37,96,18,83,28,54,18,130,129
2016-08,10,1,21,96,35,77,42,24,23,140,110
2016-09,9,2,20,79,17,55,28,20,22,92,77
2016-10,9,1,38,92,17,65,17,21,16,105,77
2016-11,12,0,34,105,17,81,13,45,12,96,73
2016-12,11,1,23,92,14,76,18,29,13,110,64
2017-01,12,8,39,129,26,116,25,41,19,145,99
2017-02,15,7,40,148,29,142,24,44,22,128,97
2017-03,35,14,31,304,66,295,52,127,74,176,105
2017-04,11,10,39,188,23,165,71,87,29,103,93
2017-05,47,18,52,197,26,192,45,72,63,158,123
2017-06,43,23,49,190,24,201,33,76,64,180,110
2017-07,56,35,44,320,60,255,58,102,95,268,122
2017-08,88,21,67,274,44,248,50,129,98,252,174
2017-09,118,86,103,189,106,348,118,96,95,301,238
2017-10,137,54,122,358,97,358,80,111,159,435,264
2017-11,313,159,156,411,207,575,146,235,292,562,318
2017-12,345,200,132,474,300,670,181,191,311,782,410
2018-01,263,159,146,418,251,622,186,186,304,710,419
2018-02,252,170,166,280,181,452,216,109,226,556,396
2018-03,233,164,196,284,184,445,182,126,221,580,464
2018-04,171,88,101,151,106,251,108,62,112,324,221
2018-05,64,40,55,132,57,163,55,47,85,193,167
2018-06,54,43,61,83,57,127,69,51,58,147,119
2018-07,93,27,90,99,84,144,45,29,41,172,107
2018-08,97,45,67,95,102,145,52,37,62,166,122
2018-09,43,19,31,37,33,45,20,13,22,63,41
