month,speculation,adoption,altcoins,none,posts_count
2010-01,0,10,0,1,11
2010-02,0,13,0,0,13
2010-03,0,8,0,1,9
2010-04,0,9,0,1,10
2010-05,1,2,0,0,3
2010-06,0,15,0,1,16
2010-07,2,80,0,7,89
2010-08,2,69,1,15,87
2010-09,1,33,0,7,41
2010-10,3,46,0,11,60
2010-11,5,85,1,22,113
2010-12,3,83,0,19,105
2011-01,1,74,1,16,92
2011-02,10,104,0,39,153
2011-03,8,171,0,53,232
2011-04,22,188,1,86,297
2011-05,47,366,1,172,586
2011-06,296,829,15,828,1968
2011-07,80,476,2,272,830
2011-08,53,310,6,236,605
2011-09,23,204,6,126,359
2011-10,30,216,1,118,365
2011-11,13,144,0,76,233
2011-12,7,129,0,50,186
2012-01,14,143,4,60,221
2012-02,11,114,1,52,178
2012-03,18,153,0,58,229
2012-04,4,127,1,51,183
2012-05,7,146,1,77,231
2012-06,6,160,1,69,236
2012-07,9,147,0,71,227
2012-08,11,104,0,59,174
2012-09,13,153,0,71,237
2012-10,10,93,1,30,134
2012-11,2,97,1,48,148
2012-12,2,80,0,40,122
2013-01,9,105,0,30,144
2013-02,16,170,0,34,220
2013-03,45,273,1,107,426
2013-04,102,461,6,150,719
2013-05,32,390,14,156,592
2013-06,20,258,3,114,395
2013-07,12,190,3,65,270
2013-08,9,189,3,80,281
2013-09,9,160,1,55,225
2013-10,14,132,1,70,217
2013-11,72,424,11,201,708
2013-12,69,534,10,164,777
2014-01,51,576,20,172,819
2014-02,95,541,18,355,1009
2014-03,74,476,12,348,910
2014-04,50,419,8,156,633
2014-05,49,350,7,147,553
2014-06,43,371,6,100,520
2014-07,32,408,10,133,583
2014-08,47,319,3,118,487
2014-09,37,316,8,119,480
2014-10,36,346,14,120,516
2014-11,21,226,1,94,342
2014-12,22,275,7,110,414
2015-01,74,267,4,125,470
2015-02,30,278,8,125,441
2015-03,19,253,2,104,378
2015-04,17,234,6,109,366
2015-05,14,218,3,88,323
2015-06,17,243,3,68,331
2015-07,27,304,3,88,422
2015-08,27,380,5,136,548
2015-09,13,249,3,75,340
2015-10,11,191,1,59,262
2015-11,26,209,4,90,329
2015-12,23,192,5,115,335
2016-01,28,296,5,124,453
2016-02,18,266,3,77,364
2016-03,10,202,4,68,284
2016-04,11,179,8,96,294
2016-05,28,229,3,167,427
2016-06,58,195,6,100,359
2016-07,44,203,7,74,328
2016-08,19,171,8,98,296
2016-09,8,155,5,55,223
2016-10,12,165,4,49,230
2016-11,16,186,2,34,238
2016-12,17,166,3,34,220
2017-01,34,217,8,63,322
2017-02,27,239,4,68,338
2017-03,64,414,12,103,593
2017-04,25,267,4,108,404
2017-05,69,314,14,85,482
2017-06,59,334,12,73,478
2017-07,125,434,22,94,675
2017-08,113,456,18,122,709
2017-09,240,526,25,113,904
2017-10,200,677,62,130,1069
2017-11,529,877,75,182,1663
2017-12,624,992,111,294,2021
2018-01,452,1030,136,244,1862
2018-02,423,791,113,267,1594
2018-03,397,855,82,247,1581
2018-04,259,460,49,104,872
2018-05,105,319,29,62,515
2018-06,110,250,25,61,446
2018-07,95,298,13,52,458
2018-08,146,270,10,61,487
2018-09,100,236,5,35,376
2018-10,51,213,2,44,310
2018-11,102,184,12,49,347
2018-12,71,156,4,29,260
2019-01,33,144,4,35,216
2019-02,16,110,4,16,146
2019-03,19,110,4,25,158
2019-04,30,124,3,36,193
2019-05,66,185,9,66,326
2019-06,51,167,3,40,261
2019-07,47,135,12,45,239
2019-08,30,105,8,46,189
2019-09,33,103,6,38,180
2019-10,53,158,10,33,254
2019-11,56,149,5,37,247
2019-12,57,125,1,39,222
2020-01,47,121,4,31,203
2020-02,32,103,2,34,171
2020-03,56,86,1,26,169
2020-04,43,83,0,35,161
2020-05,45,121,7,50,223
2020-06,34,114,0,48,196
2020-07,20,91,3,41,155
2020-08,32,103,5,23,163
2020-09,20,127,4,36,187
2020-10,48,119,3,37,207
2020-11,80,164,3,46,293
2020-12,100,151,5,38,294
2021-01,133,167,8,72,380
2021-02,71,139,6,39,255
2021-03,38,120,2,38,198
2021-04,49,114,2,24,189
2021-05,63,131,2,23,219
2021-06,49,140,2,30,221
2021-07,28,114,2,26,170
2021-08,28,126,1,24,179
2021-09,27,123,0,37,187
2021-10,32,77,0,17,126
2021-11,18,79,1,11,109
2021-12,41,80,0,28,149
2022-01,35,89,0,19,143
2022-02,15,99,0,18,132
2022-03,26,118,3,32,179
2022-04,27,116,3,34,180
2022-05,31,101,0,30,162
2022-06,58,101,4,13,176
2022-07,37,106,3,27,173
2022-08,27,103,0,33,163
2022-09,26,83,0,28,137
2022-10,35,91,3,17,146
2022-11,31,95,2,22,150
2022-12,27,101,3,33,164
2023-01,25,115,0,18,158
2023-02,21,116,2,28,167
2023-03,60,140,2,34,236
2023-04,60,125,2,30,217
2023-05,45,168,4,31,248
2023-06,31,122,3,30,186
2023-07,33,97,5,24,159
2023-08,38,105,4,24,171
2023-09,47,115,3,41,206
2023-10,66,116,2,31,215
2023-11,40,133,5,30,208
2023-12,53,129,5,34,221
2024-01,55,134,5,28,222
2024-02,33,92,2,29,156
2024-03,36,51,1,28,116
