date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2023-12-31,38658.06,1397249022408.723,388124.7284468675,11643.741853406023,21346.860064577715,32602.477189536872,27014.318146593974,17311.199935422283,6055.5828104631255
2023-10-31,27978.1,1773133520194.1943,492537.08894283173,14776.112668284952,27089.539891855748,41373.11547119787,13201.987331715047,888.560108144251,-13395.015471197868
2023-09-30,25816.57,1738278366342.6611,482855.1017618503,14485.653052855509,26557.030596901768,40559.82854799543,11330.916947144491,-740.4605969017684,-14743.258547995429
2023-08-31,29629.24,2031564121494.1204,564323.3670817001,16929.701012451,31037.78518949351,47403.162834862815,12699.538987549,-1408.5451894935068,-17773.922834862813
2023-07-31,30589.05,1967181730040.685,546439.3694557458,16393.181083672374,30054.165320066022,45900.90703428265,14195.868916327625,534.8846799339772,-15311.857034282653
2023-06-30,26806.98,1611401670063.6516,447611.575017681,13428.347250530429,24618.63662597246,37599.37230148521,13378.63274946957,2188.3433740275395,-10792.392301485208
2023-05-31,28084.46,1844947612067.5896,512485.4477965527,15374.56343389658,28186.699628810402,43048.77761491043,12709.89656610342,-102.23962881040279,-14964.317614910433
2023-04-30,28464.81401778217,1990861113885.748,553016.9760793744,16590.509282381234,30415.933684365595,46453.425990667456,11874.304735400936,-1951.119666583425,-17988.611972885286
2023-03-31,23659.4001,1764823404188.6438,490228.72338573437,14706.86170157203,26962.579786215396,41179.212764401695,8952.538398427969,-3303.179686215397,-17519.812664401696
2023-02-28,23706.0643,1168058683255.3987,324460.74534872186,9733.822360461656,17845.340994179704,27254.70260929264,13972.241939538342,5860.723305820295,-3548.6383092926408
2023-01-31,16607.069459238443,1557844964100.0464,432734.7122500129,12982.041367500387,23800.409173750715,36349.715829001085,3625.028091738055,-7193.339714512273,-19742.646369762642
2022-12-31,16956.1893,1717108403802.2969,476974.5566117491,14309.236698352473,26233.600613646206,40065.86275538693,2646.9526016475247,-9277.411313646207,-23109.673455386932
