Quarter,Average power efficiency (TH/J),Max attainable power efficiency (TH/J)
2011Q1,1676752.7777777778,3780000.0
2011Q2,1662900.8656853999,3780000.0
2011Q3,1777678.0986995462,23300000.0
2011Q4,2189561.391953277,23300000.0
2012Q1,3438894.7593923067,23300000.0
2012Q2,4121574.227676913,23300000.0
2012Q3,4435689.641889276,23300000.0
2012Q4,4657043.739837398,250000000.0
2013Q1,63705216.33670033,1250000000.0
2013Q2,226422589.96336854,1250000000.0
2013Q3,563914181.5308821,1250000000.0
2013Q4,629530314.7448593,1430000000.0
2014Q1,596719438.2844583,2000000000.0
2014Q2,699611418.530675,2000000000.0
2014Q3,960426734.5761482,5350000000.0
2014Q4,1111303271.7713087,5350000000.0
2015Q1,1324885385.435234,5350000000.0
2015Q2,1367142416.7579641,5350000000.0
2015Q3,1527599750.5560048,7140000000.0
2015Q4,1948571985.1762028,7140000000.0
2016Q1,2310961075.983057,7140000000.0
2016Q2,2646975162.211039,10200000000.0
2016Q3,4916343555.816055,10200000000.0
2016Q4,4993386626.659032,10200000000.0
2017Q1,5718996362.770835,10300000000.0
2017Q2,5655282841.335991,10300000000.0
2017Q3,5762293216.092274,10300000000.0
2017Q4,7328707049.923111,10300000000.0
2018Q1,8445557235.836413,11100000000.0
2018Q2,8957676404.005846,11100000000.0
2018Q3,8790391289.5254,15699999999.999998
2018Q4,9208949069.734346,20000000000.0
2019Q1,9228423944.634146,20000000000.0
2019Q2,9527655114.651136,25300000000.0
2019Q3,11508378100.678732,25300000000.0
2019Q4,12860226375.38655,25300000000.0
2020Q1,13362058195.446428,33900000000.0
2020Q2,14323278707.146463,33900000000.0
2020Q3,16858898759.614313,33900000000.0
2020Q4,12325806483.739317,33900000000.0
2021Q1,13612510569.20635,33900000000.0
2021Q2,14569887828.841492,33900000000.0
2021Q3,17380764191.490864,33900000000.0
2021Q4,18320890908.256336,33900000000.0
2022Q1,17786789343.50589,33900000000.0
2022Q2,17197074740.460526,33900000000.0
2022Q3,16190439403.666666,46500000000.0
2022Q4,17305847865.51808,46500000000.0
2023Q1,19475911817.751198,46500000000.0
2023Q2,18992003845.910255,46500000000.0
2023Q3,19578041991.652554,46500000000.0
2023Q4,29146312722.727272,54100000000.0
