date,joules_per_coin
2023-12-31,1397249022408.723
2023-10-31,1773133520194.1943
2023-09-30,1738278366342.6611
2023-08-31,2031564121494.1204
2023-07-31,1967181730040.685
2023-06-30,1611401670063.6516
2023-05-31,1844947612067.5896
2023-04-30,1990861113885.7478
2023-03-31,1764823404188.6438
2023-02-28,1168058683255.3987
2023-01-31,1557844964100.0464
2022-12-31,1717108403802.2969
2022-11-30,1436617218923.244
2022-10-31,1190567310963.2253
2022-09-30,1566738358733.4692
2022-08-31,1165570941560.264
2022-07-31,1116799469777.8425
2022-06-30,1175211950914.608
2022-05-31,1195775150433.4211
2022-04-30,1202614581504.7632
2022-03-31,1114204118993.923
2022-02-28,1039243357751.4434
2022-01-31,1052886140548.7164
2021-12-31,939748279380.5458
2021-11-30,863569856923.7028
2021-10-31,747440331660.3667
2021-09-30,710200262349.7029
2021-08-31,623838108189.7555
2021-07-31,615817859452.7312
2021-06-30,744602618048.9277
2021-05-31,995967173223.4707
2021-04-30,1237155148791.0142
2021-03-31,1221004209748.587
2021-02-28,977565264367.4343
2021-01-31,1065475956847.402
2020-12-31,942555445486.2848
2020-11-30,981391328522.3453
2020-10-31,1298575069224.2708
2020-09-30,801067975302.1614
2020-08-31,730741884243.0665
2020-07-31,663338225131.6079
2020-06-30,685569360422.5907
2020-05-31,545918937846.8385
2020-04-30,387188589612.4295
2020-03-31,407947764064.76324
2020-02-29,356795335181.9185
2020-01-31,406592296665.2694
2019-12-31,360940833935.5012
2019-11-30,336406346533.4184
2019-10-31,372157775794.5619
2019-09-30,336518626171.2024
2019-08-31,301287528903.6641
2019-07-31,310684679893.5644
2019-06-30,288308642538.00665
2019-05-31,262187152056.69217
2019-04-30,226657696925.542
2019-03-31,201369644059.07986
2019-02-28,252681257454.71475
2019-01-31,246278252923.4528
2018-12-31,208535527524.58713
2018-11-30,230428645785.79852
2018-10-31,265599182816.48538
2018-09-30,258119236285.58038
2018-08-31,275751123147.2643
2018-07-31,221786725560.93164
2018-06-30,204991264409.29044
2018-05-31,170018701424.1385
2018-04-30,151320264670.71674
2018-03-31,141316959678.55026
2018-02-28,118983642326.37639
2018-01-31,103781574095.42711
2017-12-31,79123324225.16927
2017-11-30,68771320161.47955
2017-10-31,66331881942.74575
2017-09-30,70992967379.6402
2017-08-31,45681095358.856125
2017-07-31,53791287576.88124
2017-06-30,50361014299.753716
2017-05-31,33061534864.349186
2017-04-30,31535961523.50237
2017-03-31,26710263095.670666
2017-02-28,30089815535.772747
2017-01-31,23364494157.25383
2016-12-31,25199116844.62178
2016-11-30,18053923837.75739
2016-10-31,16555364204.630608
2016-09-30,15668472271.286158
2016-08-31,14386910976.897125
2016-07-31,13663529736.023525
2016-06-30,10095604861.64051
2016-05-31,15042515918.515396
2016-04-30,14769621171.0137
2016-03-31,11847020646.692942
2016-02-29,13239844850.549812
2016-01-31,8390680036.45373
2015-12-31,7544894482.206787
2015-11-30,6408384012.433115
2015-10-31,6060846192.202993
2015-09-30,5818941169.025168
2015-08-31,6186623425.307623
2015-07-31,6636410741.719405
2015-06-30,6168782173.827351
2015-05-31,5812192996.909085
2015-04-30,6706097389.148507
2015-03-31,6466522526.915635
2015-02-28,6170212047.107801
2015-01-31,5377934205.315135
2014-12-31,5518080038.536792
2014-11-30,6430818777.376421
2014-10-31,6213413218.743336
2014-09-30,5673071700.539653
2014-08-31,4003704590.3483872
2014-07-31,3654233490.1434937
2014-06-30,3603034270.82114
2014-05-31,2451440881.878671
2014-04-30,1898867347.3786905
2014-03-31,1372865954.533361
2014-02-28,1039946674.4250582
2014-01-31,627299073.9690725
2013-12-31,315951484.5867868
2013-11-30,159320631.76088005
2013-10-31,108896621.73454392
2013-09-30,35412991.00900747
2013-08-31,18916962.210422937
2013-07-31,11499450.853720637
2013-06-30,7951413.564764665
2013-05-31,15856975.526058173
2013-04-30,16877943.28764477
2013-03-31,40435681.32714544
2013-02-28,14123389.469095716
2013-01-31,4475790.295951601
2012-12-31,194036338.3465183
2012-11-30,155236809.2972292
2012-10-31,72154581.49045469
2012-09-30,149792193.61280298
2012-08-31,79847075.69359033
2012-07-31,70470400.54528806
2012-06-30,66792286.58024899
2012-05-31,82754054.58079611
2012-04-30,58895113.15599267
2012-03-31,46806347.84931873
2012-02-29,109584024.20252614
2012-01-31,54999024.77285009
2011-12-31,30714496.19925852
2011-11-30,57563715.2962249
2011-10-31,69286490.33484587
2011-09-30,86380136.80978432
2011-08-31,81109211.00022404
2011-07-31,87867136.33977437
2011-06-30,55892942.225227855
2011-05-31,16677115.01673597
2011-04-30,5099442.542379775
2011-03-31,4491227.005499715
2011-02-28,1980816.5750438997
