hardware_index,hardware_name,hardware_release_date
0,Bitmain Antminer S21 Hyd,Feb 2024
1,Bitmain Antminer S21,Feb 2024
2,MicroBT WhatsMiner M60S,Feb 2024
3,Bitmain Antminer T21,Feb 2024
4,MicroBT WhatsMiner M60,Feb 2024
5,Canaan Avalon Made A1466,Sep 2023
6,Canaan Avalon Made A1446,Sep 2023
7,MicroBT Whatsminer M53S,May 2023
8,MicroBT Whatsminer M53,May 2023
9,MicroBT Whatsminer M36S+,May 2023
10,Bitmain Antminer S19k Pro,Apr 2023
11,MicroBT WhatsMiner M56S,Jan 2023
12,MicroBT WhatsMiner M56,Jan 2023
13,Bitmain Antminer S19 Pro Hyd,Jan 2023
14,Bitmain Antminer S19j Pro+,Dec 2022
15,MicroBT Whatsminer M33S++,Dec 2022
16,Canaan Avalon Made A1366,Nov 2022
17,Canaan Avalon Made A1346,Nov 2022
18,Bitmain Antminer S19 XP Hyd,Oct 2022
19,Bitmain Antminer S19 Hydro,Oct 2022
20,Bitmain Antminer T19 Hydro,Oct 2022
21,Bitmain Antminer T19 Hydro,Oct 2022
22,Bitmain Antminer S19 XP,Jul 2022
23,MicroBT Whatsminer M50S,Jul 2022
24,MicroBT Whatsminer M50,Jul 2022
25,Bitmain Antminer S19 Pro+ Hyd,May 2022
26,iPollo B1L,Mar 2022
27,Ebang Ebit E10D,Sep 2021
28,Canaan AvalonMiner 1126 Pro,Aug 2021
29,Bitmain Antminer S19j Pro,Aug 2021
30,Bolon Miner B11,Aug 2021
31,Bitmain Antminer T19,Aug 2021
32,Innosilicon T2 Turbo HF+,Jul 2021
33,Bitmain Antminer S19j Pro,Jul 2021
34,StrongU Hornbill H8 Pro,Jul 2021
35,Innosilicon T2 Turbo 26T,Jul 2021
36,Bitmain Antminer S19j Pro,Jun 2021
37,Bitmain Antminer S19j,Jun 2021
38,Aisen A1 Pro,May 2021
39,Canaan AvalonMiner 1246,Jan 2021
40,MicroBT Whatsminer M31S+,Dec 2020
41,MicroBT Whatsminer M32S,Nov 2020
42,MicroBT Whatsminer M30S++,Oct 2020
43,MicroBT Whatsminer M30S+,Oct 2020
44,StrongU Hornbill H8,Oct 2020
45,Canaan AvalonMiner 1166 Pro,Aug 2020
46,Canaan AvalonMiner 1146 Pro,Aug 2020
47,MicroBT Whatsminer M32,Jul 2020
48,Bitmain Antminer T19,Jun 2020
49,Bitmain Antminer S19 Pro,May 2020
50,Bitmain Antminer S19,May 2020
51,MicroBT Whatsminer M30S,Apr 2020
52,MicroBT Whatsminer M31S,Apr 2020
53,Bitmain Antminer S17+,Dec 2019
54,Bitmain Antminer T17+,Dec 2019
55,Bitmain Antminer S17e,Nov 2019
56,Bitmain Antminer T17e,Nov 2019
57,Ebang Ebit E12+,Sep 2019
58,Ebang Ebit E12,Sep 2019
59,Canaan AvalonMiner 1047,Sep 2019
60,Innosilicon T3+ 57T,Sep 2019
61,Canaan AvalonMiner 1066,Sep 2019
62,StrongU STU-U8 Pro,Sep 2019
63,MicroBT Whatsminer M21,Aug 2019
64,MicroBT Whatsminer M20S,Aug 2019
65,Bitmain Antminer S9k,Aug 2019
66,Innosilicon T3 50T,Jul 2019
67,StrongU STU-U8,Jul 2019
68,Bitmain Antminer S9 SE,Jul 2019
69,MicroBT Whatsminer M21S,Jun 2019
70,Bitmain Antminer T17,May 2019
71,Innosilicon T3+ 52T,May 2019
72,Bitmain Antminer S17 Pro,Apr 2019
73,Bitmain Antminer S17 Pro,Apr 2019
74,Bitmain Antminer S17,Apr 2019
75,Bitmain Antminer S17,Apr 2019
76,Innosilicon T3 39T,Mar 2019
77,Innosilicon T3 43T,Jan 2019
78,Holic H22,Dec 2018
79,Holic H28,Dec 2018
80,Bitfury Tardis,Nov 2018
81,Bitmain Antminer S11,Nov 2018
82,GMO miner B3,Nov 2018
83,Ebang Ebit E11++,Oct 2018
84,Ebang Ebit E11+,Oct 2018
85,Ebang Ebit E11,Oct 2018
86,GMO miner B2,Oct 2018
87,Ebang Ebit E9,Sep 2018
88,Canaan AvalonMiner 921,Sep 2018
89,MicroBT Whatsminer M10,Sep 2018
90,MicroBT Whatsminer M10S,Sep 2018
91,Innosilicon T2 Turbo+ 32T,Sep 2018
92,Bitmain Antminer S9 Hydro,Aug 2018
93,Bitfily Snow Panther B1+,Aug 2018
94,Bitmain Antminer S9j,Aug 2018
95,Innosilicon T2 Turbo,Aug 2018
96,Ebang Ebit E9i,Jul 2018
97,Bitfily Snow Panther B1,Jul 2018
98,Innosilicon T2 Terminator,May 2018
99,Ebang Ebit E9.3,May 2018
100,Bitmain Antminer S9i,May 2018
101,Ebang Ebit E9.2,May 2018
102,Bitmain Antminer S9i,May 2018
103,Canaan AvalonMiner 841,Apr 2018
104,Halong Mining DragonMint T1,Apr 2018
105,MicroBT Whatsminer M3X,Mar 2018
106,Bitmain Antminer V9,Mar 2018
107,Canaan AvalonMiner 821,Feb 2018
108,Ebang Ebit E10,Feb 2018
109,Ebang Ebit E9+,Jan 2018
110,Bitmain Antminer T9+,Jan 2018
111,Pantech WX6,Jan 2018
112,Bitfily Snow Panther A1,Jan 2018
113,MicroBT Whatsminer M3,Jan 2018
114,Bitfury B8,Dec 2017
115,Bitmain Antminer S9,Nov 2017
116,Pantech SX6,Sep 2017
117,Bitmain Antminer S9,Sep 2017
118,Bitmain Antminer T9,Aug 2017
119,Bitmain Antminer S9,Jul 2017
120,Bitmain Antminer T9,Apr 2017
121,Canaan AvalonMiner 741,Apr 2017
122,Bitmain Antminer R4,Feb 2017
123,Bitmain Antminer S9,Feb 2017
124,Bitmain Antminer S7-LN,Jun 2016
125,Bitmain Antminer S9,Jun 2016
126,Bitmain Antminer S7,Sep 2015
127,Bitmain Antminer S5,Dec 2014
128,Bitmain Antminer S3,Jul 2014
