hardware_name;release_date
8400 gs;Jul 12th, 2010
9400gt;Jun 13th, 2012
ion;unknown
quadro nvs 295;May 7th, 2009
3410;May 7th, 2009
gt220;Oct 12th, 2009
quadro nvs 135m;unknown
8800gts;unknown
g210;Oct 12th, 2009
quadro fx 1600m;unknown
8800 gts;unknown
9600gso512;unknown
9500gt;May 19th, 2010
quadro fx 580;Apr 9th, 2009
gt230;Oct 12th, 2009
9600gt;unknown
gtx260;Dec 8th, 2009
9800gx2;unknown
9800gtx;unknown
gtx275;Jan 15th, 2009
9600gso;unknown
gts250;Mar 4th, 2009
gtx280;unknown
gtx260c216;unknown
quadro nvs 3100m;unknown
9800gtx+;Jan 16th, 2009
gtx285;Jan 15th, 2009
9800gt ee;unknown
8800gt;unknown
gt240;Nov 17th, 2009
9800gt;unknown
4550;unknown
quadro fx 2800m;Dec 1st, 2009
4570m;unknown
9400m;unknown
gtx465;May 31st, 2010
4350;Jan 9th, 2009
gt530;May 14th, 2011
gtx295;Jun 16th, 2009
gtx 560m;unknown
quadro fx 2000m;unknown
gtx480;Mar 26th, 2010
gt430;Oct 11th, 2010
gt240m;Jun 15th, 2009
gtx460;Jul 12th, 2010
gts450;Sep 13th, 2010
gtx560 ti;Jan 25th, 2011
quadro 5000;Feb 23rd, 2011
gtx470;Mar 26th, 2010
gtx560;May 17th, 2011
quadro fx 3600m;unknown
4860;Sep 9th, 2009
4890;Apr 2nd, 2009
4830;Mar 3rd, 2009
6310m;unknown
gtx570;Dec 7th, 2010
5450;unknown
gtx580;Nov 9th, 2010
4670;Jul 17th, 2009
4650;Jan 9th, 2009
4870;Jan 9th, 2009
4730;Jun 8th, 2009
6490m;Jul 4th, 2011
4850;Jan 9th, 2009
4770;Apr 28th, 2009
5550;unknown
6750;Jan 21st, 2011
gtx670;May 10th, 2012
gtx680;Mar 22nd, 2012
gts 350m;unknown
5650;unknown
5670;unknown
6850;Oct 21st, 2010
5750;Oct 13th, 2009
6790;Apr 4th, 2011
6570;Apr 19th, 2011
5830;Feb 25th, 2010
6670;Apr 19th, 2011
6450;Apr 7th, 2011
6870;Oct 21st, 2010
5570;unknown
5850;Sep 30th, 2009
6970;Dec 14th, 2010
6990;Mar 8th, 2011
5870;Sep 23rd, 2009
7850;Mar 5th, 2012
6950;Dec 14th, 2010
5770;Oct 13th, 2009
5970;Nov 18th, 2009
7770;Feb 15th, 2012
7750;Feb 15th, 2012
7870 xt;Nov 19th, 2012
7970;Dec 22nd, 2011
