hardware_name,hashrate,efficiency,hardware_index
AntMiner S1,180000,500,0
AntMiner S2,100000,900,1
AntMiner S3,441000,1300,2
AntMiner S3+,453000,1282,3
AntMiner S4,200000,1429,4
AntMiner S5,115500,1957,5
AntMiner S5+,772200,2247,6
AntMiner S7,486000,4000,7
AntMiner S9,140000,10182,8
AntMiner U1,1600,800,9
AntMiner U2+,2000,1000,10
AntMiner U3,63000,1000,11
ASICMiner BE Blade,10752,129,12
ASICMiner BE Cube,30000,150,13
ASICMiner BE Sapphire,336,130,14
ASICMiner BE Tube,800000,888,15
ASICMiner BE Prisma,140000,1333,16
Avalon Batch 1,66300,107,17
Avalon Batch 2,82000,117,18
Avalon Batch 3,82000,117,19
Avalon2,300000,unknown,20
Avalon3,800000,unknown,21
Avalon6,350000,3240.7,22
Avalon721,600000,6000,23
Avalon741,730000,6350,24
Avalon761,880000,6670,25
Avalon821,110000,9170,26
bi*fury,5000,1176,27
BFL SC,5000,166,28
BFL Little Single,30000,unknown,29
BFL Single 'SC',60000,250,30
BFL  Rack Mount,230000,unknown,31
BFL  Mini Rig SC,500000,185,32
BFL Monarch,700000,1428,33
BitFury S.B.,unknown,unknown,34
Bitmine.ch Avalon Clone 85GH,85000,130.76,35
Black Arrow Prospero X-1,100000,1000,36
Black Arrow Prospero X-3,200000,1000,37
Blue Fury,2500,1000,38
BTC Garden AM-V1,310000,954,39
CoinTerra TerraMiner IV,160000,761.90,40
Drillbit,unknown,unknown,41
Ebit E9,630000,7140,42
Ebit E9+,900000,6900,43
Ebit E9++,140000,10500,44
Ebit E10,180000,11100,45
HashBuster Micro,20000,869,46
HashBuster Nano,unknown,unknown,47
HashCoins Apollo v3,110000,1100,48
HashCoins Zeus v3,450000,1500,49
HashFast Baby Jet,400000,909,50
HashFast Sierra,120000,909,51
HashFast Sierra Evo 3,200000,909,52
Klondike,5200,160,53
KnCMiner Mercury,100000,400,54
KnC Saturn,250000,400,55
KnC Jupiter,500000,400,56
KnC Neptune,300000,1429,57
LittleFury,unknown,unknown,58
Metabank,120000,705,59
NanoFury / IceFury,2000,800,60
NanoFury NF2,3700,740,61
Red/BlueFury,2600,1040,62
RKMINER R3-BOX,450000,1000,63
RKMINER R4-BOX,470000,1000,64
RKMINER Rocket BOX,450000,937,65
RKMINER R-BOX,32000,711,66
RKMINER R-BOX 110G,110000,917,67
RKMINER T1 800G,800000,800,68
Spondooliestech SP10 Dawson,140000,1120,69
Spondooliestech SP20 Jackson,170000,1545,70
Spondooliestech SP30 Yukon,450000,1500,71
Spondooliestech SP31 Yukon,490000,1633,72
Spondooliestech SP35 Yukon,550000,1506,73
TerraHash Klondike 16,4500,140,74
TerraHash Klondike 64,18000,140,75
TerraHash DX Mini,90000,140,76
TerraHash DX Large,180000,140,77
Twinfury,4500,1174,78
WhatsMiner M1,unknown,unknown,79
WhatsMiner M2,920000,4496.5,80
WhatsMiner M3,115000,6442.5,81
Avnet Spartan-6 LX150T Development Kit,100,unknown,82
Bitcoin Dominator X5000,100,14.7,83
BitForce SHA256 Single,832,10.4,84
Butterflylabs Mini Rig,25200,20.16,85
Digilent Nexys 2 500K,5,unknown,86
Icarus,380,19.79,87
KnCMiner Mars,6000,unknown,88
Lancelot,400,15.384,89
ModMiner Quad,800,20,90
Terasic DE2-115,80,unknown,91
X6500 FPGA Miner,400,23.25,92
ZTEX USB-FPGA Module 1.15b,90,unknown,93
ZTEX USB-FPGA Module 1.15x,215,unknown,94
ZTEX USB-FPGA Module 1.15y,860,unknown,95
3410,0.89,0.074,96
4350,8.2425,0.346,97
4550,7.5150,0.289,98
4650,31.33,0.653,99
4670,42.083,0.646,100
4730,72.29,0.657,101
4770,72.29,0.904,102
4830,62.035,0.5429,103
4850,87.62,0.7956,104
4860,67.47,0.519,105
4870,96.666,0.6532,106
4890,107.32,0.54,107
5450,14.662,0.631,108
5470,17.1,unknown,109
5550,51.345,1.041,110
5570,77.322,1.7496,111
5650,54.6,1.37,112
5670,92.898,1.3784,113
5750,152.13,1.401,114
5770,212.94,1.9401,115
5830,300.18,1.5452,116
5850,346.78,1.8195,117
5870,411.67,1.9060,118
5970,700.97,2.0053,119
6450,32.466,1.709,120
6570,92.42,1.4836,121
6670,112.01,1.69,122
6750,160.53,1.0702,123
6770,211,unknown,124
6790,219.5,1.467,125
6850,240.41,1.3996,126
6870,301.45,1.7264,127
6930,354,unknown,128
6950,366.39,1.9399,129
6970,394.66,1.8507,130
6990,772.28,1.9056,131
7750,126.14,2.66,132
7770,197.5,2.3795,133
7790,319,unknown,134
7850,326.33,191,135
7870,423.25,unknown,136
7950,544.25,unknown,137
7970,681.08,3.1826,138
3XXX,unknown,unknown,139
42XX,unknown,unknown,140
4570M,8.8099,0.2985,141
5750 Vapor-X,195,1.56,142
5770 Hawk,182,unknown,143
5830M,120,unknown,144
5830 black,310,unknown,145
5870M,170.85,unknown,146
6310M,9.821,0.545,147
6470M,27.55,unknown,148
6480G,24.1,unknown,149
6490M,20.194,0.708,150
6520G,33.8,unknown,151
6530D,40.5,unknown,152
6550D,66.2,unknown,153
6630M,55.9,unknown,154
6750M,50.739,unknown,155
7870 XT,485,3.09,156
7870xt,520,unknown,157
FirePro V3800,69,unknown,158
FirePro V4800,79.7,unknown,159
FirePro V8700,84.8,unknown,160
FirePro M5800,65.35,unknown,161
FirePro M5950,96.7,unknown,162
FirePro V5800,141.33,unknown,163
FirePro V7750,35.7,unknown,164
FirePro V7800,254.85,unknown,165
FirePro M7740  [DELL],63,unknown,166
FirePro M7820,150,unknown,167
ION,1.8,0.067,168
8200 mGPU,1.2,0.001,169
8400 GS,1.95,0.013,170
8400M GS,2,unknown,171
8500GT,2.4,0.0026,172
8600M GT,4.365,unknown,173
8600GT,5.66,0.0047,174
8800GT,29.279,0.2672,175
8800GTS,16.8,0.109,176
8800 GTS,26.1,0.124,177
8800 GTX,27.5,0.0195,178
8800m GTX,16.3,unknown,179
9300GE,1.57,0.0012,180
9300GS,1.69,0.0012,181
9300/nForce 730i,2.15,0.0017,182
9400GT,3.37,0.067,183
9400M,1.9,0.32,184
9500M GS,3.2,0.0033,185
9500GT,7.05,0.135,186
9600GSO,19.88,0.237,187
9600GSO512,11.75,0.131,188
9600GT,15.66,0.165,189
9600GT Zotac,15,0.0090,190
9600M GS,4,0.0037,191
9800GT,30.36,0.289,192
9800GT EE,19.7,0.263,193
9800GTX,32.54,0.232,194
9800GTX+,36.284,0.259,195
9800GX2,42.915,0.2179,196
G210,3.585,0.1175,197
GT220,10.8,0.084,198
GT230,15.5,0.161,199
GT240,22.903,0.281,200
GT240M,9.8,0.426,201
GTS250,35.295,0.2435,202
GTX260M,22.5,0.045,203
GTX260,39.955,0.21,204
GTX260c216,45.933,0.248,205
GTX275,54.375,0.232,206
GTX280,55.59,0.2435,207
GTX285,59.075,0.262,208
GTX295,109.26,0.3783,209
GT 320M,6.12,0.0050,210
320M,7,0.35,211
GT 325M,8.6633,5.3206,212
GT330,21.65,unknown,213
GT 330M,9.385,0.0144,214
GTS 350M,17,1.214,215
GTS 360M,25,unknown,216
GT430,20.24,0.413,217
GT440,20.4,0.0124,218
GT530,17.9,0.358,219
GT520M,8.9,unknown,220
GT525M,14.6,unknown,221
GT540M,16,unknown,222
GT550M,17.08,unknown,223
GT610M,9.371,0.0126,224
GT650M,17.8,0.0197,225
GTS450,45.28,0.427,226
GTX460SE,56.39,0.376,227
GTX460,67.315,0.427,228
GTX460 768MB,57.8,0.0428,229
GTX460 1GB DirectCU,80.9,0.0605,230
GTX460 1GB,71.4,8.2052,231
GTX465,64.41,0.322,232
GTX470,101.45,0.4505,233
GTX480,120.85,0.405,234
GTX480 AMP!Zotac,140.1,0.0824,235
GTX550 Ti,45,unknown,236
GTX560 Ti,80.433,0.4320,237
GTX 560M,39.3,0.38,238
GTX560,86.7,0.51,239
GTX570,145.56,0.613,240
GTX580,156.6,0.642,241
GTX590,1157.2,1.1779,242
GTX670,112,1.1,243
GTX680,119.10,1.2,244
Quadro FX 580,5.7,0.14,245
Quadro FX 770M,6.07,0.0121,246
Quadro FX 880M,9.6,unknown,247
Quadro FX 1600M,6,0.12,248
Quadro FX 1800,13.6,unknown,249
Quadro FX 2000M,23,0.397,250
Quadro FX 2800M,22,0.293,251
