hardware_name,hardware_release_date,speed,power,noise,hash,profit,Mhash/J,hardware_index
Bitmain Antminer S21 Hyd,Feb 2024,335Th/s,5360W,50db,SHA-256,$13.97/day,62500.0,0
Bitmain Antminer S21,Feb 2024,200Th/s,3550W,75db,SHA-256,$7.47/day,56338.028169014084,1
MicroBT WhatsMiner M60S,Feb 2024,186Th/s,3441W,75db,SHA-256,$6.41/day,54054.05405405406,2
Bitmain Antminer T21,Feb 2024,190Th/s,3610W,75db,SHA-256,$6.28/day,52631.57894736842,3
MicroBT WhatsMiner M60,Feb 2024,172Th/s,3422W,75db,SHA-256,$5.24/day,50263.00409117475,4
Canaan Avalon Made A1466,Sep 2023,150Th/s,3230W,75db,SHA-256,$3.86/day,46439.62848297214,5
Canaan Avalon Made A1446,Sep 2023,135Th/s,3310W,75db,SHA-256,$2.32/day,40785.49848942598,6
MicroBT Whatsminer M53S,May 2023,260Th/s,6760W,50db,SHA-256,$3.35/day,38461.53846153846,7
MicroBT Whatsminer M53,May 2023,230Th/s,6670W,50db,SHA-256,$0.98/day,34482.75862068965,8
MicroBT Whatsminer M36S+,May 2023,164Th/s,5576W,50db,SHA-256,-$1.66/day,29411.764705882353,9
Bitmain Antminer S19k Pro,Apr 2023,136Th/s,3264W,75db,SHA-256,$2.54/day,41666.666666666664,10
MicroBT WhatsMiner M56S,Jan 2023,212Th/s,5550W,45db,SHA-256,$2.62/day,38198.198198198195,11
MicroBT WhatsMiner M56,Jan 2023,194Th/s,5550W,45db,SHA-256,$1.04/day,34954.95495495495,12
Bitmain Antminer S19 Pro Hyd,Jan 2023,177Th/s,5221W,50db,SHA-256,$0.50/day,33901.551426929705,13
Bitmain Antminer S19j Pro+,Dec 2022,122Th/s,3355W,75db,SHA-256,$1.05/day,36363.63636363636,14
MicroBT Whatsminer M33S++,Dec 2022,242Th/s,7260W,40db,SHA-256,$0.33/day,33333.333333333336,15
Canaan Avalon Made A1366,Nov 2022,130Th/s,3250W,75db,SHA-256,$2.05/day,40000.0,16
Canaan Avalon Made A1346,Nov 2022,110Th/s,3300W,75db,SHA-256,$0.15/day,33333.333333333336,17
Bitmain Antminer S19 XP Hyd,Oct 2022,255Th/s,5304W,50db,SHA-256,$7.11/day,48076.92307692308,18
Bitmain Antminer S19 Hydro,Oct 2022,158Th/s,5451W,50db,SHA-256,-$1.83/day,28985.507246376812,19
Bitmain Antminer T19 Hydro,Oct 2022,158Th/s,5451W,40db,SHA-256,-$1.83/day,28985.507246376812,20
Bitmain Antminer T19 Hydro,Oct 2022,145Th/s,5438W,40db,SHA-256,-$2.94/day,26664.21478484737,21
Bitmain Antminer S19 XP,Jul 2022,140Th/s,3010W,75db,SHA-256,$3.62/day,46511.62790697674,22
MicroBT Whatsminer M50S,Jul 2022,126Th/s,3276W,75db,SHA-256,$1.62/day,38461.53846153846,23
MicroBT Whatsminer M50,Jul 2022,114Th/s,3306W,75db,SHA-256,$0.48/day,34482.75862068965,24
Bitmain Antminer S19 Pro+ Hyd,May 2022,198Th/s,5445W,50db,SHA-256,$1.70/day,36363.63636363636,25
