hardware_index,hardware_name
0,AntMiner S1
1,AntMiner S2
2,AntMiner S3
3,AntMiner S3+
4,AntMiner S4
5,AntMiner S5
6,AntMiner S5+
7,AntMiner S7
8,AntMiner S9
9,AntMiner U1
10,AntMiner U2+
11,AntMiner U3
12,ASICMiner BE Blade
13,ASICMiner BE Cube
14,ASICMiner BE Sapphire
15,ASICMiner BE Tube
16,ASICMiner BE Prisma
17,Avalon Batch 1
18,Avalon Batch 2
19,Avalon Batch 3
20,Avalon2
21,Avalon3
22,Avalon6
23,Avalon721
24,Avalon741
25,Avalon761
26,Avalon821
27,bi*fury
28,BFL SC
29,BFL Little Single
30,BFL Single 'SC'
31,BFL  Rack Mount
32,BFL  Mini Rig SC
33,BFL Monarch
34,BitFury S.B.
35,Bitmine.ch Avalon Clone 85GH
36,Black Arrow Prospero X-1
37,Black Arrow Prospero X-3
38,Blue Fury
39,BTC Garden AM-V1
40,CoinTerra TerraMiner IV
41,Drillbit
42,Ebit E9
43,Ebit E9+
44,Ebit E9++
45,Ebit E10
46,HashBuster Micro
47,HashBuster Nano
48,HashCoins Apollo v3
49,HashCoins Zeus v3
50,HashFast Baby Jet
51,HashFast Sierra
52,HashFast Sierra Evo 3
53,Klondike
54,KnCMiner Mercury
55,KnC Saturn
56,KnC Jupiter
57,KnC Neptune
58,LittleFury
59,Metabank
60,NanoFury / IceFury
61,NanoFury NF2
62,Red/BlueFury
63,RKMINER R3-BOX
64,RKMINER R4-BOX
65,RKMINER Rocket BOX
66,RKMINER R-BOX
67,RKMINER R-BOX 110G
68,RKMINER T1 800G
69,Spondooliestech SP10 Dawson
70,Spondooliestech SP20 Jackson
71,Spondooliestech SP30 Yukon
72,Spondooliestech SP31 Yukon
73,Spondooliestech SP35 Yukon
74,TerraHash Klondike 16
75,TerraHash Klondike 64
76,TerraHash DX Mini
77,TerraHash DX Large
78,Twinfury
79,WhatsMiner M1
80,WhatsMiner M2
81,WhatsMiner M3
82,Avnet Spartan-6 LX150T Development Kit
83,Bitcoin Dominator X5000
84,BitForce SHA256 Single
85,Butterflylabs Mini Rig
86,Digilent Nexys 2 500K
87,Icarus
88,KnCMiner Mars
89,Lancelot
90,ModMiner Quad
91,Terasic DE2-115
92,X6500 FPGA Miner
93,ZTEX USB-FPGA Module 1.15b
94,ZTEX USB-FPGA Module 1.15x
95,ZTEX USB-FPGA Module 1.15y
96,3410
97,4350
98,4550
99,4650
100,4670
101,4730
102,4770
103,4830
104,4850
105,4860
106,4870
107,4890
108,5450
109,5470
110,5550
111,5570
112,5650
113,5670
114,5750
115,5770
116,5830
117,5850
118,5870
119,5970
120,6450
121,6570
122,6670
123,6750
124,6770
125,6790
126,6850
127,6870
128,6930
129,6950
130,6970
131,6990
132,7750
133,7770
134,7790
135,7850
136,7870
137,7950
138,7970
139,3XXX
140,42XX
141,4570M
142,5750 Vapor-X
143,5770 Hawk
144,5830M
145,5830 black
146,5870M
147,6310M
148,6470M
149,6480G
150,6490M
151,6520G
152,6530D
153,6550D
154,6630M
155,6750M
156,7870 XT
157,7870xt
158,FirePro V3800
159,FirePro V4800
160,FirePro V8700
161,FirePro M5800
162,FirePro M5950
163,FirePro V5800
164,FirePro V7750
165,FirePro V7800
166,FirePro M7740  [DELL]
167,FirePro M7820
168,ION
169,8200 mGPU
170,8400 GS
171,8400M GS
172,8500GT
173,8600M GT
174,8600GT
175,8800GT
176,8800GTS
177,8800 GTS
178,8800 GTX
179,8800m GTX
180,9300GE
181,9300GS
182,9300/nForce 730i
183,9400GT
184,9400M
185,9500M GS
186,9500GT
187,9600GSO
188,9600GSO512
189,9600GT
190,9600GT Zotac
191,9600M GS
192,9800GT
193,9800GT EE
194,9800GTX
195,9800GTX+
196,9800GX2
197,G210
198,GT220
199,GT230
200,GT240
201,GT240M
202,GTS250
203,GTX260M
204,GTX260
205,GTX260c216
206,GTX275
207,GTX280
208,GTX285
209,GTX295
210,GT 320M
211,320M
212,GT 325M
213,GT330
214,GT 330M
215,GTS 350M
216,GTS 360M
217,GT430
218,GT440
219,GT530
220,GT520M
221,GT525M
222,GT540M
223,GT550M
224,GT610M
225,GT650M
226,GTS450
227,GTX460SE
228,GTX460
229,GTX460 768MB
230,GTX460 1GB DirectCU
231,GTX460 1GB
232,GTX465
233,GTX470
234,GTX480
235,GTX480 AMP!Zotac
236,GTX550 Ti
237,GTX560 Ti
238,GTX 560M
239,GTX560
240,GTX570
241,GTX580
242,GTX590
243,GTX670
244,GTX680
245,Quadro FX 580
246,Quadro FX 770M
247,Quadro FX 880M
248,Quadro FX 1600M
249,Quadro FX 1800
250,Quadro FX 2000M
251,Quadro FX 2800M
252,Quadro FX 3000M
253,Quadro FX 3600M
254,Quadro FX 3800
255,Quadro NVS 135M
256,Quadro NVS 295
257,Quadro NVS 3100M
258,Quadro NVS 4200M
259,Quadro 5000
260,Tesla C1060
261,Tesla K20
262,Tesla M2050
263,Tesla S1070
264,Tesla S2070
265,4x Opteron 6174
266,2x Opteron 6172
267,2x Opteron 6128
268,Athlon XP 2000+
269,Athlon 64 3500+
270,Athlon 64 X2 3800+
271,Athlon 64 X2 4000+
272,Athlon 64 X2 4400+
273,Athlon 64 X2 6000+
274,Athlon 64 X2 6400+ Black Edition
275,Athlon II X2 240e
276,Athlon II X2 250
277,Athlon II X4 630
278,Phenom II X3 720
279,Phenom X4 9950 BE
280,Phenom II X4 810
281,Phenom II X4 955
282,Phenom II X4 965
283,Phenom II X6 1055T
284,Phenom II X6 1075T
285,Phenom II X6 1090T
286,Phenom II X6 1100T
287,Sempron 3000+
288,Turion X2 RM-70
289,Zacate E-350
290,Ontario C-50
291,A4-3400
292,A8-3850
293,A8-3870K
294,A10-5800K
295,ARM926EJ-S
296,Marvel Feroceon
297,ARM1136EJ-S
298,ARM1176JZ-S
299,Cortex-A8
300,AllWinner A10
301,Cortex-A9
302,Pentium III
303,Pentium III mobile ?
304,Pentium M 1.6ghz
305,Pentium M 1.73ghz
306,Old Xeon 512k
307,Pentium 4 2.0A
308,Pentium 4 630
309,Pentium Dual-Core E2180
310,Pentium Dual-Core E5400
311,Celeron E330
312,Celeron E3400
313,Core 2 Quad Q6600
314,Core 2 Quad Q8200
315,Core 2 Quad Q9400
316,Core 2 Quad Q9650
317,Core i3 530
318,Core i3 M350
319,Core i3-2100
320,Core i5 M450
321,Core i5-650
322,Core i5-750
323,Core i5 ?
