Date,Hashrate (TH/s)
2009-01-01,1e-08
2009-01-02,4.97e-08
2009-01-03,4.97e-08
2009-01-04,4.97e-08
2009-01-05,4.97e-08
2009-01-06,2.651333333e-07
2009-01-07,4.805666667e-07
2009-01-08,6.96e-07
2009-01-09,1.937333333e-06
2009-01-10,3.178666667e-06
2009-01-11,4.42e-06
2009-01-12,5.05e-06
2009-01-13,5.68e-06
2009-01-14,6.31e-06
2009-01-15,5.88e-06
2009-01-16,5.45e-06
2009-01-17,5.02e-06
2009-01-18,5.22e-06
2009-01-19,5.42e-06
2009-01-20,5.62e-06
2009-01-21,7.043333333e-06
2009-01-22,8.466666667e-06
2009-01-23,9.89e-06
2009-01-24,8.3e-06
2009-01-25,6.71e-06
2009-01-26,5.12e-06
2009-01-27,5.416666667e-06
2009-01-28,5.713333333e-06
2009-01-29,6.01e-06
2009-01-30,6.11e-06
2009-01-31,6.21e-06
2009-02-01,6.31e-06
2009-02-02,6.21e-06
2009-02-03,6.11e-06
2009-02-04,6.01e-06
2009-02-05,6.226666667e-06
2009-02-06,6.443333333e-06
2009-02-07,6.66e-06
2009-02-08,6.61e-06
2009-02-09,6.56e-06
2009-02-10,6.51e-06
2009-02-11,6.676666667e-06
2009-02-12,6.843333333e-06
2009-02-13,7.01e-06
2009-02-14,6.63e-06
2009-02-15,6.25e-06
2009-02-16,5.87e-06
2009-02-17,6.033333333e-06
2009-02-18,6.196666667e-06
2009-02-19,6.36e-06
2009-02-20,6.013333333e-06
2009-02-21,5.666666667e-06
2009-02-22,5.32e-06
2009-02-23,5.136666667e-06
2009-02-24,4.953333333e-06
2009-02-25,4.77e-06
2009-02-26,4.936666667e-06
2009-02-27,5.103333333e-06
2009-02-28,5.27e-06
2009-03-01,5.27e-06
2009-03-02,5.27e-06
2009-03-03,5.27e-06
2009-03-04,5.353333333e-06
2009-03-05,5.436666667e-06
2009-03-06,5.52e-06
2009-03-07,5.42e-06
2009-03-08,5.32e-06
2009-03-09,5.22e-06
2009-03-10,5.37e-06
2009-03-11,5.52e-06
2009-03-12,5.67e-06
2009-03-13,5.933333333e-06
2009-03-14,6.196666667e-06
2009-03-15,6.46e-06
2009-03-16,6.326666667e-06
2009-03-17,6.193333333e-06
2009-03-18,6.06e-06
2009-03-19,5.613333333e-06
2009-03-20,5.166666667e-06
2009-03-21,4.72e-06
2009-03-22,5.07e-06
2009-03-23,5.42e-06
2009-03-24,5.77e-06
2009-03-25,5.82e-06
2009-03-26,5.87e-06
2009-03-27,5.92e-06
2009-03-28,5.82e-06
2009-03-29,5.72e-06
2009-03-30,5.62e-06
2009-03-31,5.62e-06
2009-04-01,5.62e-06
2009-04-02,5.62e-06
2009-04-03,5.653333333e-06
2009-04-04,5.686666667e-06
2009-04-05,5.72e-06
2009-04-06,5.453333333e-06
2009-04-07,5.186666667e-06
2009-04-08,4.92e-06
2009-04-09,5.186666667e-06
2009-04-10,5.453333333e-06
2009-04-11,5.72e-06
2009-04-12,5.67e-06
2009-04-13,5.62e-06
2009-04-14,5.57e-06
2009-04-15,5.733333333e-06
2009-04-16,5.896666667e-06
2009-04-17,6.06e-06
2009-04-18,6.076666667e-06
2009-04-19,6.093333333e-06
2009-04-20,6.11e-06
2009-04-21,5.946666667e-06
2009-04-22,5.783333333e-06
2009-04-23,5.62e-06
2009-04-24,5.486666667e-06
2009-04-25,5.353333333e-06
2009-04-26,5.22e-06
2009-04-27,5.666666667e-06
2009-04-28,6.113333333e-06
2009-04-29,6.56e-06
2009-04-30,6.263333333e-06
2009-05-01,5.966666667e-06
2009-05-02,5.67e-06
2009-05-03,6.05e-06
2009-05-04,6.43e-06
